
  0%|                                                           | 180/300000 [00:01<22:26, 222.71it/s]
epoch 0  training loss: 0.6006062030792236
epoch 0  clean testing loss: 0.5073325037956238
epoch 100  training loss: 0.18388324975967407
epoch 100  clean testing loss: 0.08170848339796066
epoch 200  training loss: 0.15728650987148285
epoch 200  clean testing loss: 0.05739213526248932
epoch 300  training loss: 0.1464928239583969
epoch 300  clean testing loss: 0.048794545233249664
epoch 400  training loss: 0.13990958034992218
epoch 400  clean testing loss: 0.04430071637034416
epoch 500  training loss: 0.13136444985866547
epoch 500  clean testing loss: 0.03763109818100929
epoch 600  training loss: 0.12362514436244965

  0%|▏                                                         | 1034/300000 [00:03<11:16, 441.62it/s]
epoch 700  training loss: 0.11934111267328262
epoch 700  clean testing loss: 0.034117691218853
epoch 800  training loss: 0.11545486748218536
epoch 800  clean testing loss: 0.03428177908062935
epoch 900  training loss: 0.11188483983278275
epoch 900  clean testing loss: 0.034263648092746735
epoch 1000  training loss: 0.10951706767082214
epoch 1000  clean testing loss: 0.03484354913234711
epoch 1100  training loss: 0.1075885072350502
epoch 1100  clean testing loss: 0.03641241043806076
epoch 1200  training loss: 0.10590633004903793
epoch 1200  clean testing loss: 0.03496396541595459
epoch 1300  training loss: 0.10380760580301285


  1%|▊                                                         | 3959/300000 [00:10<11:02, 447.07it/s]
epoch 1400  training loss: 0.10050563514232635
epoch 1400  clean testing loss: 0.03581436350941658
epoch 1500  training loss: 0.09851288795471191
epoch 1500  clean testing loss: 0.03573951870203018
epoch 1600  training loss: 0.09629152715206146
epoch 1600  clean testing loss: 0.03716268390417099
epoch 1700  training loss: 0.09460648149251938
epoch 1700  clean testing loss: 0.037559106945991516
epoch 1800  training loss: 0.09368140250444412
epoch 1800  clean testing loss: 0.037766244262456894
epoch 1900  training loss: 0.09293831139802933
epoch 1900  clean testing loss: 0.038786955177783966
epoch 2000  training loss: 0.09000766277313232
epoch 2000  clean testing loss: 0.03904334455728531
epoch 2100  training loss: 0.08628839999437332
epoch 2100  clean testing loss: 0.03862268105149269
epoch 2200  training loss: 0.09090779721736908
epoch 2200  clean testing loss: 0.04999583214521408
epoch 2300  training loss: 0.08390673249959946
epoch 2300  clean testing loss: 0.042703576385974884
