
  0%|                                                           | 580/300000 [00:01<12:39, 394.44it/s]
epoch 0  training loss: 0.5566319823265076
epoch 0  clean testing loss: 0.4826399087905884
epoch 100  training loss: 0.11098937690258026
epoch 100  clean testing loss: 0.0728907361626625
epoch 200  training loss: 0.08557047694921494
epoch 200  clean testing loss: 0.04799094796180725
epoch 300  training loss: 0.07468759268522263
epoch 300  clean testing loss: 0.039873428642749786
epoch 400  training loss: 0.06632696837186813
epoch 400  clean testing loss: 0.03399660810828209
epoch 500  training loss: 0.06154567748308182
epoch 500  clean testing loss: 0.03132682293653488
epoch 600  training loss: 0.057578157633543015

  0%|▏                                                          | 800/300000 [00:01<11:35, 430.47it/s]
epoch 700  training loss: 0.05475888401269913
epoch 700  clean testing loss: 0.028472375124692917
epoch 800  training loss: 0.05296436697244644

  1%|▋                                                         | 3446/300000 [00:08<11:15, 439.33it/s]
epoch 900  training loss: 0.05084056407213211
epoch 900  clean testing loss: 0.026661798357963562
epoch 1000  training loss: 0.04949022829532623
epoch 1000  clean testing loss: 0.02694808691740036
epoch 1100  training loss: 0.0474444217979908
epoch 1100  clean testing loss: 0.02544461190700531
epoch 1200  training loss: 0.04695771262049675
epoch 1200  clean testing loss: 0.025852002203464508
epoch 1300  training loss: 0.04556842893362045
epoch 1300  clean testing loss: 0.02513909712433815
epoch 1400  training loss: 0.04333047568798065
epoch 1400  clean testing loss: 0.024667339399456978
epoch 1500  training loss: 0.042747851461172104
epoch 1500  clean testing loss: 0.024737965315580368
epoch 1600  training loss: 0.041679747402668
epoch 1600  clean testing loss: 0.024962259456515312
epoch 1700  training loss: 0.0409858264029026
epoch 1700  clean testing loss: 0.02492925524711609
epoch 1800  training loss: 0.03898017480969429
epoch 1800  clean testing loss: 0.025082485750317574
epoch 1900  training loss: 0.0390508659183979
epoch 1900  clean testing loss: 0.026508435606956482
epoch 2000  training loss: 0.03825649619102478
epoch 2000  clean testing loss: 0.026865864172577858
epoch 2100  training loss: 0.03759366646409035
epoch 2100  clean testing loss: 0.026952993124723434
epoch 2200  training loss: 0.03724263235926628
