
  0%|                                                           | 583/300000 [00:01<12:37, 395.13it/s]
epoch 0  training loss: 0.48660027980804443
epoch 0  clean testing loss: 0.46051523089408875
epoch 100  training loss: 0.08244715631008148
epoch 100  clean testing loss: 0.06856662780046463
epoch 200  training loss: 0.05370766296982765
epoch 200  clean testing loss: 0.04577220231294632
epoch 300  training loss: 0.040481988340616226
epoch 300  clean testing loss: 0.03554225340485573
epoch 400  training loss: 0.03392395004630089
epoch 400  clean testing loss: 0.02935519441962242
epoch 500  training loss: 0.030827000737190247
epoch 500  clean testing loss: 0.02657872997224331
epoch 600  training loss: 0.027725882828235626

  1%|▍                                                         | 2335/300000 [00:05<11:12, 442.92it/s]
epoch 700  training loss: 0.02587731182575226
epoch 700  clean testing loss: 0.02192912995815277
epoch 800  training loss: 0.02464863285422325
epoch 800  clean testing loss: 0.02106066234409809
epoch 900  training loss: 0.023371724411845207
epoch 900  clean testing loss: 0.019696447998285294
epoch 1000  training loss: 0.02295261062681675
epoch 1000  clean testing loss: 0.01966729573905468
epoch 1100  training loss: 0.02238534577190876
epoch 1100  clean testing loss: 0.01867995224893093
epoch 1200  training loss: 0.02190234512090683
epoch 1200  clean testing loss: 0.018466738983988762
epoch 1300  training loss: 0.02104930579662323
epoch 1300  clean testing loss: 0.017611483111977577
epoch 1400  training loss: 0.02096566930413246
epoch 1400  clean testing loss: 0.01799480989575386
epoch 1500  training loss: 0.019970983266830444
epoch 1500  clean testing loss: 0.016879426315426826
epoch 1600  training loss: 0.01953960210084915
epoch 1600  clean testing loss: 0.01647106558084488
epoch 1700  training loss: 0.020197859033942223
epoch 1700  clean testing loss: 0.017777487635612488
epoch 1800  training loss: 0.01871318183839321
epoch 1800  clean testing loss: 0.015887420624494553
epoch 1900  training loss: 0.01865466497838497
epoch 1900  clean testing loss: 0.015687715262174606
epoch 2000  training loss: 0.01860627718269825
epoch 2000  clean testing loss: 0.016354836523532867
epoch 2100  training loss: 0.01799658313393593
epoch 2100  clean testing loss: 0.015484402887523174
epoch 2200  training loss: 0.017244774848222733
epoch 2200  clean testing loss: 0.015165343880653381
epoch 2300  training loss: 0.017836418002843857
epoch 2300  clean testing loss: 0.015183246694505215
epoch 2400  training loss: 0.016716960817575455

  1%|▌                                                         | 2875/300000 [00:06<11:07, 445.35it/s]
epoch 2500  training loss: 0.016038918867707253
epoch 2500  clean testing loss: 0.01475043036043644
epoch 2600  training loss: 0.016363687813282013
epoch 2600  clean testing loss: 0.014806185849010944
epoch 2700  training loss: 0.015082987025380135
epoch 2700  clean testing loss: 0.014081179164350033
epoch 2800  training loss: 0.015603872947394848
epoch 2800  clean testing loss: 0.015444312244653702
epoch 2900  training loss: 0.017052823677659035

  1%|▊                                                         | 4134/300000 [00:09<11:04, 444.94it/s]
epoch 3000  training loss: 0.014644641429185867
epoch 3000  clean testing loss: 0.013727232813835144
epoch 3100  training loss: 0.013907898217439651
epoch 3100  clean testing loss: 0.013661904260516167
epoch 3200  training loss: 0.013731298968195915
epoch 3200  clean testing loss: 0.01364983431994915
epoch 3300  training loss: 0.013658531941473484
epoch 3300  clean testing loss: 0.013488434255123138
epoch 3400  training loss: 0.013795801438391209
epoch 3400  clean testing loss: 0.013947536237537861
epoch 3500  training loss: 0.013360890559852123
epoch 3500  clean testing loss: 0.01380120124667883
epoch 3600  training loss: 0.013503002934157848
epoch 3600  clean testing loss: 0.014190367422997952
epoch 3700  training loss: 0.014381798915565014
epoch 3700  clean testing loss: 0.014888892881572247
epoch 3800  training loss: 0.012971203774213791
