
  0%|▏                                                             | 660/300000 [00:01<09:11, 542.33it/s]
epoch 0  training loss: 0.4432172477245331
epoch 0  clean testing loss: 0.5133060812950134
epoch 100  training loss: 0.08965951204299927
epoch 100  clean testing loss: 0.10683343559503555
epoch 200  training loss: 0.06383654475212097
epoch 200  clean testing loss: 0.07522402703762054
epoch 300  training loss: 0.04818863049149513
epoch 300  clean testing loss: 0.05597372353076935
epoch 400  training loss: 0.038905102759599686
epoch 400  clean testing loss: 0.04512001946568489
epoch 500  training loss: 0.033576905727386475
epoch 500  clean testing loss: 0.03869426250457764
epoch 600  training loss: 0.030268220230937004
epoch 600  clean testing loss: 0.0345044769346714
epoch 700  training loss: 0.028159400448203087

  1%|▊                                                            | 4031/300000 [00:07<08:54, 553.69it/s]
epoch 800  training loss: 0.026552336290478706
epoch 800  clean testing loss: 0.029542909935116768
epoch 900  training loss: 0.025233842432498932
epoch 900  clean testing loss: 0.027952680364251137
epoch 1000  training loss: 0.024681027978658676
epoch 1000  clean testing loss: 0.02710568532347679
epoch 1100  training loss: 0.023409059271216393
epoch 1100  clean testing loss: 0.02544301375746727
epoch 1200  training loss: 0.022877221927046776
epoch 1200  clean testing loss: 0.02457822673022747
epoch 1300  training loss: 0.02228597365319729
epoch 1300  clean testing loss: 0.02373608574271202
epoch 1400  training loss: 0.02186538092792034
epoch 1400  clean testing loss: 0.02316861040890217
epoch 1500  training loss: 0.021341577172279358
epoch 1500  clean testing loss: 0.022399000823497772
epoch 1600  training loss: 0.02094675600528717
epoch 1600  clean testing loss: 0.02180642820894718
epoch 1700  training loss: 0.020656846463680267
epoch 1700  clean testing loss: 0.021286023780703545
epoch 1800  training loss: 0.02053765393793583
epoch 1800  clean testing loss: 0.02116415835916996
epoch 1900  training loss: 0.02028723433613777
epoch 1900  clean testing loss: 0.020863717421889305
epoch 2000  training loss: 0.019647331908345222
epoch 2000  clean testing loss: 0.02005596272647381
epoch 2100  training loss: 0.019316416233778
epoch 2100  clean testing loss: 0.019680462777614594
epoch 2200  training loss: 0.019038377329707146
epoch 2200  clean testing loss: 0.019360287114977837
epoch 2300  training loss: 0.018798451870679855
epoch 2300  clean testing loss: 0.019093738868832588
epoch 2400  training loss: 0.018578244373202324
epoch 2400  clean testing loss: 0.01883770525455475
epoch 2500  training loss: 0.018315808847546577
epoch 2500  clean testing loss: 0.018601860851049423
epoch 2600  training loss: 0.0180971622467041
epoch 2600  clean testing loss: 0.018397530540823936
epoch 2700  training loss: 0.017905576154589653
epoch 2700  clean testing loss: 0.018229611217975616
epoch 2800  training loss: 0.01773105375468731
epoch 2800  clean testing loss: 0.01808169111609459
epoch 2900  training loss: 0.01797320321202278
epoch 2900  clean testing loss: 0.018185006454586983
epoch 3000  training loss: 0.017759650945663452
epoch 3000  clean testing loss: 0.017964817583560944
epoch 3100  training loss: 0.017250919714570045
