
  0%|▏                                                             | 675/300000 [00:01<09:45, 511.41it/s]
epoch 0  training loss: 1.4568252563476562
epoch 0  clean testing loss: 0.520784854888916
epoch 100  training loss: 1.172088384628296
epoch 100  clean testing loss: 0.22509773075580597
epoch 200  training loss: 1.1001969575881958
epoch 200  clean testing loss: 0.12832579016685486
epoch 300  training loss: 1.082419753074646
epoch 300  clean testing loss: 0.11595398187637329
epoch 400  training loss: 1.0626388788223267
epoch 400  clean testing loss: 0.1037822812795639
epoch 500  training loss: 1.041537880897522
epoch 500  clean testing loss: 0.09480223804712296
epoch 600  training loss: 1.02276611328125
epoch 600  clean testing loss: 0.0919588953256607
epoch 700  training loss: 1.0057742595672607

  1%|▎                                                            | 1727/300000 [00:03<09:35, 518.68it/s]
epoch 800  training loss: 0.989769697189331
epoch 800  clean testing loss: 0.09669063240289688
epoch 900  training loss: 0.9731279015541077
epoch 900  clean testing loss: 0.0989239513874054
epoch 1000  training loss: 0.9567176699638367
epoch 1000  clean testing loss: 0.10496457666158676
epoch 1100  training loss: 0.9408794641494751
epoch 1100  clean testing loss: 0.1134691908955574
epoch 1200  training loss: 0.9260671734809875
epoch 1200  clean testing loss: 0.11993363499641418
epoch 1300  training loss: 0.9121466279029846
epoch 1300  clean testing loss: 0.1311628818511963
epoch 1400  training loss: 0.8976084589958191
epoch 1400  clean testing loss: 0.1366191804409027
epoch 1500  training loss: 0.8842629790306091
epoch 1500  clean testing loss: 0.14811380207538605
epoch 1600  training loss: 0.869898796081543
epoch 1600  clean testing loss: 0.15613549947738647
epoch 1700  training loss: 0.8566371202468872
epoch 1700  clean testing loss: 0.16567794978618622
epoch 1800  training loss: 0.8427330851554871

  1%|▌                                                            | 2780/300000 [00:05<09:30, 521.03it/s]
epoch 1900  training loss: 0.8299053311347961
epoch 1900  clean testing loss: 0.17105811834335327
epoch 2000  training loss: 0.8165858387947083
epoch 2000  clean testing loss: 0.1813579797744751
epoch 2100  training loss: 0.8054080009460449
epoch 2100  clean testing loss: 0.19697800278663635
epoch 2200  training loss: 0.7920627593994141
epoch 2200  clean testing loss: 0.20184071362018585
epoch 2300  training loss: 0.7807425856590271
epoch 2300  clean testing loss: 0.20091944932937622
epoch 2400  training loss: 0.7684260010719299
epoch 2400  clean testing loss: 0.20813438296318054
epoch 2500  training loss: 0.7574406266212463
epoch 2500  clean testing loss: 0.23158405721187592
epoch 2600  training loss: 0.7440465688705444
epoch 2600  clean testing loss: 0.22918915748596191
epoch 2700  training loss: 0.733182430267334
epoch 2700  clean testing loss: 0.22738853096961975
epoch 2800  training loss: 0.7220636010169983

  1%|▊                                                            | 3821/300000 [00:07<09:38, 511.70it/s]
epoch 2900  training loss: 0.7117804884910583
epoch 2900  clean testing loss: 0.24420075118541718
epoch 3000  training loss: 0.703174889087677
epoch 3000  clean testing loss: 0.24623438715934753
epoch 3100  training loss: 0.6938144564628601
epoch 3100  clean testing loss: 0.2564276158809662
epoch 3200  training loss: 0.686323881149292
epoch 3200  clean testing loss: 0.26719963550567627
epoch 3300  training loss: 0.677218496799469
epoch 3300  clean testing loss: 0.26217523217201233
epoch 3400  training loss: 0.6699358224868774
epoch 3400  clean testing loss: 0.2801887094974518
epoch 3500  training loss: 0.6610891222953796
epoch 3500  clean testing loss: 0.27187874913215637
epoch 3600  training loss: 0.6517324447631836
epoch 3600  clean testing loss: 0.2876143455505371
epoch 3700  training loss: 0.6435756683349609
epoch 3700  clean testing loss: 0.28736624121665955
epoch 3800  training loss: 0.6371583342552185

  2%|▉                                                            | 4810/300000 [00:09<09:32, 515.51it/s]
epoch 3900  training loss: 0.6295967698097229
epoch 3900  clean testing loss: 0.30790045857429504
epoch 4000  training loss: 0.6224026083946228
epoch 4000  clean testing loss: 0.30808448791503906
epoch 4100  training loss: 0.6154115200042725
epoch 4100  clean testing loss: 0.31789880990982056
epoch 4200  training loss: 0.6084156632423401
epoch 4200  clean testing loss: 0.3233656883239746
epoch 4300  training loss: 0.6017512679100037
epoch 4300  clean testing loss: 0.32624298334121704
epoch 4400  training loss: 0.5943103432655334
epoch 4400  clean testing loss: 0.3277236819267273
epoch 4500  training loss: 0.5877634286880493
epoch 4500  clean testing loss: 0.32852596044540405
epoch 4600  training loss: 0.5843502879142761
epoch 4600  clean testing loss: 0.3268807828426361
epoch 4700  training loss: 0.5762206315994263
epoch 4700  clean testing loss: 0.3384147584438324
epoch 4800  training loss: 0.5717307329177856
epoch 4800  clean testing loss: 0.35475587844848633
epoch 4900  training loss: 0.5669562816619873

  2%|█▏                                                           | 5866/300000 [00:11<09:31, 514.78it/s]
epoch 5000  training loss: 0.5598691701889038
epoch 5000  clean testing loss: 0.3582969009876251
epoch 5100  training loss: 0.5536317229270935
epoch 5100  clean testing loss: 0.3604488670825958
epoch 5200  training loss: 0.5474403500556946
epoch 5200  clean testing loss: 0.3587431311607361
epoch 5300  training loss: 0.5425208806991577
epoch 5300  clean testing loss: 0.3633555769920349
epoch 5400  training loss: 0.5377827286720276
epoch 5400  clean testing loss: 0.36884161829948425
epoch 5500  training loss: 0.5349539518356323
epoch 5500  clean testing loss: 0.37086743116378784
