
  0%|▏                                                                                 | 706/300000 [00:01<09:18, 536.00it/s]
epoch 0  training loss: 0.5808315873146057
epoch 0  clean testing loss: 0.4888615906238556
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 100  training loss: 0.2646593749523163
epoch 100  clean testing loss: 0.1614859402179718
epoch 200  training loss: 0.19356447458267212
epoch 200  clean testing loss: 0.0872209221124649
epoch 300  training loss: 0.178827702999115
epoch 300  clean testing loss: 0.07327443361282349
epoch 400  training loss: 0.16508670151233673
epoch 400  clean testing loss: 0.06149575486779213
epoch 500  training loss: 0.15375474095344543
epoch 500  clean testing loss: 0.053764041513204575
epoch 600  training loss: 0.14607129991054535
epoch 600  clean testing loss: 0.04943104460835457
epoch 700  training loss: 0.14068961143493652
epoch 700  clean testing loss: 0.046545159071683884
epoch 800  training loss: 0.13656489551067352

  1%|▍                                                                                | 1688/300000 [00:03<10:22, 479.57it/s]
epoch 900  training loss: 0.13310003280639648
epoch 900  clean testing loss: 0.04274183511734009
epoch 1000  training loss: 0.13029725849628448
epoch 1000  clean testing loss: 0.041399843990802765
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 1100  training loss: 0.1276841014623642
epoch 1100  clean testing loss: 0.0400267019867897
epoch 1200  training loss: 0.1251838505268097
epoch 1200  clean testing loss: 0.038774002343416214
epoch 1300  training loss: 0.12286382913589478
epoch 1300  clean testing loss: 0.03759397193789482
epoch 1400  training loss: 0.12080144137144089
epoch 1400  clean testing loss: 0.03670153766870499
epoch 1500  training loss: 0.1188160628080368
epoch 1500  clean testing loss: 0.03586931899189949
epoch 1600  training loss: 0.11691661179065704
epoch 1600  clean testing loss: 0.035184167325496674
epoch 1700  training loss: 0.11497379094362259

  1%|▌                                                                               | 2120/300000 [00:09<1:21:55, 60.60it/s]
epoch 1800  training loss: 0.11315788328647614
epoch 1800  clean testing loss: 0.03433072939515114
epoch 1900  training loss: 0.11166823655366898
epoch 1900  clean testing loss: 0.03410283476114273
epoch 2000  training loss: 0.10993804037570953
epoch 2000  clean testing loss: 0.03412548080086708
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 2100  training loss: 0.10850352793931961
epoch 2100  clean testing loss: 0.0340610109269619
epoch 2200  training loss: 0.10714156180620193

  1%|▊                                                                                | 3199/300000 [00:11<09:19, 530.02it/s]
epoch 2300  training loss: 0.10613979399204254
epoch 2300  clean testing loss: 0.03479676693677902
epoch 2400  training loss: 0.10479283332824707
epoch 2400  clean testing loss: 0.03454331308603287
epoch 2500  training loss: 0.10389663279056549
epoch 2500  clean testing loss: 0.03475366532802582
epoch 2600  training loss: 0.10278110206127167
epoch 2600  clean testing loss: 0.035355038940906525
epoch 2700  training loss: 0.10178519040346146
epoch 2700  clean testing loss: 0.03517712652683258
epoch 2800  training loss: 0.10061445832252502
epoch 2800  clean testing loss: 0.03506492078304291
epoch 2900  training loss: 0.09972493350505829
epoch 2900  clean testing loss: 0.03558968007564545
epoch 3000  training loss: 0.09878860414028168
epoch 3000  clean testing loss: 0.0356362983584404
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 3100  training loss: 0.09807225316762924
epoch 3100  clean testing loss: 0.035796165466308594
epoch 3200  training loss: 0.09725108742713928

  1%|█▏                                                                               | 4279/300000 [00:13<09:16, 531.65it/s]
epoch 3300  training loss: 0.09654990583658218
epoch 3300  clean testing loss: 0.03624467924237251
epoch 3400  training loss: 0.09592871367931366
epoch 3400  clean testing loss: 0.03614199906587601
epoch 3500  training loss: 0.09522929787635803
epoch 3500  clean testing loss: 0.03640221059322357
epoch 3600  training loss: 0.09469202160835266
epoch 3600  clean testing loss: 0.03632521629333496
epoch 3700  training loss: 0.09388534724712372
epoch 3700  clean testing loss: 0.03673376142978668
epoch 3800  training loss: 0.09337349981069565
epoch 3800  clean testing loss: 0.03730538487434387
epoch 3900  training loss: 0.09286650270223618
epoch 3900  clean testing loss: 0.03750886023044586
epoch 4000  training loss: 0.09215259552001953
epoch 4000  clean testing loss: 0.037219125777482986
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 4100  training loss: 0.0916350781917572
epoch 4100  clean testing loss: 0.03765791282057762
epoch 4200  training loss: 0.0910787433385849
epoch 4200  clean testing loss: 0.03755255416035652
epoch 4300  training loss: 0.09062855690717697

