
  0%|▏                                                                                 | 699/300000 [00:02<09:44, 512.43it/s]
epoch 0  training loss: 1.5251766443252563
epoch 0  clean testing loss: 0.5063887238502502
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+00_invop0 ...
epoch 100  training loss: 1.15994393825531
epoch 100  clean testing loss: 0.19177864491939545
epoch 200  training loss: 1.0649160146713257
epoch 200  clean testing loss: 0.1221420019865036
epoch 300  training loss: 1.0459462404251099
epoch 300  clean testing loss: 0.11187183111906052
epoch 400  training loss: 1.0291227102279663
epoch 400  clean testing loss: 0.10251844674348831
epoch 500  training loss: 1.0122755765914917
epoch 500  clean testing loss: 0.09402148425579071
epoch 600  training loss: 0.9958437085151672
epoch 600  clean testing loss: 0.08767271041870117
epoch 700  training loss: 0.9809308648109436

  1%|▍                                                                                | 1785/300000 [00:05<09:11, 541.11it/s]
epoch 800  training loss: 0.9675013422966003
epoch 800  clean testing loss: 0.0886896401643753
epoch 900  training loss: 0.9556564092636108
epoch 900  clean testing loss: 0.09181079268455505
epoch 1000  training loss: 0.9442986249923706
epoch 1000  clean testing loss: 0.0984780564904213
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+00_invop0 ...
epoch 1100  training loss: 0.9330991506576538
epoch 1100  clean testing loss: 0.10363709926605225
epoch 1200  training loss: 0.9222881197929382
epoch 1200  clean testing loss: 0.10650598257780075
epoch 1300  training loss: 0.9125214219093323
epoch 1300  clean testing loss: 0.1159481555223465
epoch 1400  training loss: 0.9016921520233154
epoch 1400  clean testing loss: 0.11968214064836502
epoch 1500  training loss: 0.8918850421905518
epoch 1500  clean testing loss: 0.12873917818069458
epoch 1600  training loss: 0.881001353263855
epoch 1600  clean testing loss: 0.1328299641609192
epoch 1700  training loss: 0.8707449436187744
epoch 1700  clean testing loss: 0.13900522887706757
epoch 1800  training loss: 0.8611494302749634

  1%|▊                                                                                | 2873/300000 [00:07<09:11, 539.21it/s]
epoch 1900  training loss: 0.8510906100273132
epoch 1900  clean testing loss: 0.14932547509670258
epoch 2000  training loss: 0.8409536480903625
epoch 2000  clean testing loss: 0.15482909977436066
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+00_invop0 ...
epoch 2100  training loss: 0.8310776352882385
epoch 2100  clean testing loss: 0.15928366780281067
epoch 2200  training loss: 0.8203087449073792
epoch 2200  clean testing loss: 0.16570386290550232
epoch 2300  training loss: 0.8098527789115906
epoch 2300  clean testing loss: 0.1735539734363556
epoch 2400  training loss: 0.7998136281967163
epoch 2400  clean testing loss: 0.17754346132278442
epoch 2500  training loss: 0.7886220812797546
epoch 2500  clean testing loss: 0.18585367500782013
epoch 2600  training loss: 0.7792494297027588
epoch 2600  clean testing loss: 0.19600476324558258
epoch 2700  training loss: 0.7672669887542725
epoch 2700  clean testing loss: 0.20522534847259521
epoch 2800  training loss: 0.7596080899238586
epoch 2800  clean testing loss: 0.20629984140396118
epoch 2900  training loss: 0.7469322681427002

  1%|█                                                                                | 3968/300000 [00:09<09:09, 538.57it/s]
epoch 3000  training loss: 0.739543616771698
epoch 3000  clean testing loss: 0.2299349159002304
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+00_invop0 ...
epoch 3100  training loss: 0.7305126190185547
epoch 3100  clean testing loss: 0.2313959300518036
epoch 3200  training loss: 0.72342848777771
epoch 3200  clean testing loss: 0.238160640001297
epoch 3300  training loss: 0.7172910571098328
epoch 3300  clean testing loss: 0.24687965214252472
epoch 3400  training loss: 0.7105310559272766
epoch 3400  clean testing loss: 0.2465914934873581
epoch 3500  training loss: 0.7028273940086365
epoch 3500  clean testing loss: 0.25636470317840576
epoch 3600  training loss: 0.6962255239486694
epoch 3600  clean testing loss: 0.26681870222091675
epoch 3700  training loss: 0.6880760788917542
epoch 3700  clean testing loss: 0.266535222530365
epoch 3800  training loss: 0.6827892065048218
epoch 3800  clean testing loss: 0.2679934799671173
epoch 3900  training loss: 0.6760417222976685
epoch 3900  clean testing loss: 0.2791607081890106
epoch 4000  training loss: 0.6696244478225708
epoch 4000  clean testing loss: 0.27669093012809753

  2%|█▎                                                                               | 5001/300000 [00:11<09:11, 534.78it/s]
epoch 4100  training loss: 0.6638681888580322
epoch 4100  clean testing loss: 0.2825677692890167
epoch 4200  training loss: 0.6607990264892578
