
  0%|                                                                                  | 324/300000 [00:01<12:26, 401.47it/s]
epoch 0  training loss: 5.282492637634277
epoch 0  clean testing loss: 0.4946911931037903
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+00_invop0 ...
epoch 100  training loss: 4.9839701652526855
epoch 100  clean testing loss: 0.22519651055335999
epoch 200  training loss: 4.856873512268066
epoch 200  clean testing loss: 0.12440329045057297
epoch 300  training loss: 4.798385143280029
epoch 300  clean testing loss: 0.13287897408008575
epoch 400  training loss: 4.72951602935791
epoch 400  clean testing loss: 0.1543218344449997
epoch 500  training loss: 4.654365539550781
epoch 500  clean testing loss: 0.18520893156528473
epoch 600  training loss: 4.587284564971924
epoch 600  clean testing loss: 0.221328467130661
epoch 700  training loss: 4.528722763061523
epoch 700  clean testing loss: 0.261709600687027
epoch 800  training loss: 4.474380970001221

  0%|▍                                                                                | 1407/300000 [00:03<09:15, 537.90it/s]
epoch 900  training loss: 4.420522212982178
epoch 900  clean testing loss: 0.344934344291687
epoch 1000  training loss: 4.36325216293335
epoch 1000  clean testing loss: 0.38659316301345825
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+00_invop0 ...
epoch 1100  training loss: 4.304340839385986
epoch 1100  clean testing loss: 0.42402365803718567
epoch 1200  training loss: 4.239936828613281
epoch 1200  clean testing loss: 0.4658649265766144
epoch 1300  training loss: 4.173581123352051
epoch 1300  clean testing loss: 0.5068718791007996
epoch 1400  training loss: 4.106298923492432
epoch 1400  clean testing loss: 0.5610796213150024
epoch 1500  training loss: 4.036726474761963
epoch 1500  clean testing loss: 0.5991098880767822
epoch 1600  training loss: 3.9696123600006104
epoch 1600  clean testing loss: 0.6471395492553711
epoch 1700  training loss: 3.9011569023132324
epoch 1700  clean testing loss: 0.6997578144073486
epoch 1800  training loss: 3.829414129257202

  1%|▋                                                                                | 2502/300000 [00:05<09:10, 540.63it/s]
epoch 1900  training loss: 3.7636890411376953
epoch 1900  clean testing loss: 0.8163582682609558
epoch 2000  training loss: 3.6964826583862305
epoch 2000  clean testing loss: 0.86600661277771
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+00_invop0 ...
epoch 2100  training loss: 3.633232593536377
epoch 2100  clean testing loss: 0.9460648894309998
epoch 2200  training loss: 3.5680391788482666
epoch 2200  clean testing loss: 0.9836163520812988
epoch 2300  training loss: 3.498819589614868
epoch 2300  clean testing loss: 1.0675700902938843
epoch 2400  training loss: 3.4281628131866455
epoch 2400  clean testing loss: 1.119231939315796
epoch 2500  training loss: 3.3609981536865234
epoch 2500  clean testing loss: 1.1816949844360352
epoch 2600  training loss: 3.304163694381714
epoch 2600  clean testing loss: 1.245108723640442
epoch 2700  training loss: 3.2404515743255615
epoch 2700  clean testing loss: 1.3120872974395752
epoch 2800  training loss: 3.1751902103424072
epoch 2800  clean testing loss: 1.4055275917053223
epoch 2900  training loss: 3.1205427646636963

  1%|▉                                                                                | 3546/300000 [00:07<09:10, 538.88it/s]
epoch 3000  training loss: 3.062926769256592
epoch 3000  clean testing loss: 1.5313103199005127
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+00_invop0 ...
epoch 3100  training loss: 3.007016897201538
epoch 3100  clean testing loss: 1.5628445148468018
epoch 3200  training loss: 2.964879035949707
epoch 3200  clean testing loss: 1.6138941049575806
epoch 3300  training loss: 2.916548728942871
epoch 3300  clean testing loss: 1.6912556886672974
epoch 3400  training loss: 2.8730030059814453
epoch 3400  clean testing loss: 1.741901159286499
epoch 3500  training loss: 2.837226152420044
epoch 3500  clean testing loss: 1.7768319845199585
epoch 3600  training loss: 2.790578842163086
epoch 3600  clean testing loss: 1.8475464582443237
epoch 3700  training loss: 2.7556498050689697
epoch 3700  clean testing loss: 1.8873575925827026
epoch 3800  training loss: 2.7249577045440674
epoch 3800  clean testing loss: 1.9370934963226318
epoch 3900  training loss: 2.681675434112549
epoch 3900  clean testing loss: 2.0031793117523193
epoch 4000  training loss: 2.649275541305542
epoch 4000  clean testing loss: 2.0538556575775146

  2%|█▎                                                                               | 4645/300000 [00:09<09:04, 542.30it/s]
epoch 4100  training loss: 2.6185126304626465
epoch 4100  clean testing loss: 2.113976240158081
epoch 4200  training loss: 2.5912892818450928
epoch 4200  clean testing loss: 2.1464526653289795
epoch 4300  training loss: 2.5660459995269775
epoch 4300  clean testing loss: 2.2211334705352783
epoch 4400  training loss: 2.541548013687134
epoch 4400  clean testing loss: 2.236506938934326
epoch 4500  training loss: 2.5067880153656006
epoch 4500  clean testing loss: 2.293257236480713
epoch 4600  training loss: 2.480388879776001
epoch 4600  clean testing loss: 2.328772783279419
epoch 4700  training loss: 2.4604454040527344
epoch 4700  clean testing loss: 2.355755090713501
epoch 4800  training loss: 2.439079761505127
epoch 4800  clean testing loss: 2.438241720199585
epoch 4900  training loss: 2.416990280151367
epoch 4900  clean testing loss: 2.4341087341308594
epoch 5000  training loss: 2.395416736602783
epoch 5000  clean testing loss: 2.5058753490448
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+00_invop0 ...
epoch 5100  training loss: 2.3669610023498535

  2%|█▌                                                                               | 5744/300000 [00:11<09:05, 539.04it/s]
epoch 5200  training loss: 2.336919069290161
epoch 5200  clean testing loss: 2.549006462097168
epoch 5300  training loss: 2.3227179050445557
epoch 5300  clean testing loss: 2.5958590507507324
epoch 5400  training loss: 2.2959439754486084
epoch 5400  clean testing loss: 2.60693621635437
epoch 5500  training loss: 2.2725725173950195
epoch 5500  clean testing loss: 2.649697780609131
epoch 5600  training loss: 2.253087282180786
epoch 5600  clean testing loss: 2.7099382877349854
epoch 5700  training loss: 2.2339391708374023
epoch 5700  clean testing loss: 2.7162985801696777
epoch 5800  training loss: 2.2135181427001953
epoch 5800  clean testing loss: 2.7763314247131348
epoch 5900  training loss: 2.1949546337127686
epoch 5900  clean testing loss: 2.803730010986328
epoch 6000  training loss: 2.1897330284118652
epoch 6000  clean testing loss: 2.8272526264190674
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+00_invop0 ...
epoch 6100  training loss: 2.1628174781799316
epoch 6100  clean testing loss: 2.8645570278167725
epoch 6200  training loss: 2.1479108333587646

