
  0%|▏                                                                                 | 698/300000 [00:01<09:25, 528.85it/s]
epoch 0  training loss: 10.444828033447266
epoch 0  clean testing loss: 0.500616729259491
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+01_invop0 ...
epoch 100  training loss: 10.118910789489746
epoch 100  clean testing loss: 0.31892743706703186
epoch 200  training loss: 9.945676803588867
epoch 200  clean testing loss: 0.18930286169052124
epoch 300  training loss: 9.846792221069336
epoch 300  clean testing loss: 0.22589118778705597
epoch 400  training loss: 9.734204292297363
epoch 400  clean testing loss: 0.31420785188674927
epoch 500  training loss: 9.61524486541748
epoch 500  clean testing loss: 0.40821534395217896
epoch 600  training loss: 9.476183891296387
epoch 600  clean testing loss: 0.5219691395759583
epoch 700  training loss: 9.310754776000977

  1%|▍                                                                                | 1721/300000 [00:03<10:14, 485.75it/s]
epoch 800  training loss: 9.101107597351074
epoch 800  clean testing loss: 0.7706317901611328
epoch 900  training loss: 8.863154411315918
epoch 900  clean testing loss: 0.9038758873939514
epoch 1000  training loss: 8.629779815673828
epoch 1000  clean testing loss: 1.0819041728973389
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+01_invop0 ...
epoch 1100  training loss: 8.413138389587402
epoch 1100  clean testing loss: 1.2167761325836182
epoch 1200  training loss: 8.21237850189209
epoch 1200  clean testing loss: 1.3608328104019165
epoch 1300  training loss: 8.024914741516113
epoch 1300  clean testing loss: 1.5030268430709839
epoch 1400  training loss: 7.8527679443359375
epoch 1400  clean testing loss: 1.6048941612243652
epoch 1500  training loss: 7.676555156707764
epoch 1500  clean testing loss: 1.741816759109497
epoch 1600  training loss: 7.522411346435547
epoch 1600  clean testing loss: 1.8995007276535034
epoch 1700  training loss: 7.369278907775879
epoch 1700  clean testing loss: 1.97356116771698
epoch 1800  training loss: 7.222456455230713

  1%|▊                                                                                | 2799/300000 [00:05<09:16, 534.47it/s]
epoch 1900  training loss: 7.097125053405762
epoch 1900  clean testing loss: 2.291884183883667
epoch 2000  training loss: 6.9618000984191895
epoch 2000  clean testing loss: 2.3575122356414795
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+01_invop0 ...
epoch 2100  training loss: 6.843167781829834
