

  0%|▏                                                                                 | 749/300000 [00:07<10:32, 472.87it/s]
epoch 0  training loss: 43.99616241455078
epoch 0  clean testing loss: 0.47397977113723755
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...
epoch 100  training loss: 43.40073013305664
epoch 100  clean testing loss: 0.15858890116214752
epoch 200  training loss: 42.91409683227539
epoch 200  clean testing loss: 0.231209859251976
epoch 300  training loss: 42.64456558227539
epoch 300  clean testing loss: 0.3403122127056122
epoch 400  training loss: 42.276939392089844
epoch 400  clean testing loss: 0.6049443483352661
epoch 500  training loss: 41.86884307861328
epoch 500  clean testing loss: 1.0610555410385132
epoch 600  training loss: 41.500431060791016
epoch 600  clean testing loss: 1.4504694938659668
epoch 700  training loss: 41.1214714050293

  0%|▍                                                                                | 1454/300000 [00:08<09:14, 538.67it/s]
epoch 800  training loss: 40.68487548828125
epoch 800  clean testing loss: 2.1648690700531006
epoch 900  training loss: 40.188072204589844
epoch 900  clean testing loss: 2.646338939666748
epoch 1000  training loss: 39.59297180175781
epoch 1000  clean testing loss: 3.167027473449707
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...
epoch 1100  training loss: 38.89664840698242
epoch 1100  clean testing loss: 3.8215181827545166
epoch 1200  training loss: 38.180721282958984
epoch 1200  clean testing loss: 4.599477767944336
epoch 1300  training loss: 37.4708137512207
epoch 1300  clean testing loss: 5.3109612464904785
epoch 1400  training loss: 36.77188491821289
epoch 1400  clean testing loss: 5.9684319496154785
epoch 1500  training loss: 36.09668731689453
epoch 1500  clean testing loss: 6.562224864959717
epoch 1600  training loss: 35.45526885986328
epoch 1600  clean testing loss: 6.965968132019043
epoch 1700  training loss: 34.81822204589844
epoch 1700  clean testing loss: 7.326211929321289
epoch 1800  training loss: 34.21516799926758
epoch 1800  clean testing loss: 7.779635906219482
epoch 1900  training loss: 33.64634704589844
epoch 1900  clean testing loss: 8.243138313293457
epoch 2000  training loss: 33.1403923034668
epoch 2000  clean testing loss: 8.694901466369629

  1%|▊                                                                                | 2806/300000 [00:13<09:36, 515.64it/s]
epoch 2100  training loss: 32.681434631347656
epoch 2100  clean testing loss: 9.147831916809082
epoch 2200  training loss: 32.237083435058594
epoch 2200  clean testing loss: 9.469985008239746
epoch 2300  training loss: 31.759523391723633
epoch 2300  clean testing loss: 9.86733627319336
epoch 2400  training loss: 31.327301025390625
epoch 2400  clean testing loss: 10.139707565307617
epoch 2500  training loss: 30.874759674072266
epoch 2500  clean testing loss: 10.480313301086426
epoch 2600  training loss: 30.493127822875977
epoch 2600  clean testing loss: 10.851606369018555
epoch 2700  training loss: 30.082080841064453
epoch 2700  clean testing loss: 11.210958480834961
epoch 2800  training loss: 29.736576080322266
epoch 2800  clean testing loss: 11.569107055664062
epoch 2900  training loss: 29.36832046508789
epoch 2900  clean testing loss: 11.877814292907715
epoch 3000  training loss: 29.0577392578125
epoch 3000  clean testing loss: 12.281853675842285
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...

epoch 3100  training loss: 28.749216079711914
epoch 3100  clean testing loss: 12.471406936645508
epoch 3200  training loss: 28.49523162841797
epoch 3200  clean testing loss: 12.715751647949219
epoch 3300  training loss: 28.236669540405273
epoch 3300  clean testing loss: 13.004504203796387
epoch 3400  training loss: 27.986284255981445
epoch 3400  clean testing loss: 13.287816047668457
epoch 3500  training loss: 27.774532318115234
epoch 3500  clean testing loss: 13.649090766906738
epoch 3600  training loss: 27.511404037475586
epoch 3600  clean testing loss: 13.8290376663208
epoch 3700  training loss: 27.292877197265625
epoch 3700  clean testing loss: 13.96222972869873
epoch 3800  training loss: 27.044818878173828
epoch 3800  clean testing loss: 14.268596649169922
epoch 3900  training loss: 26.83091163635254
epoch 3900  clean testing loss: 14.510122299194336
epoch 4000  training loss: 26.617576599121094
epoch 4000  clean testing loss: 14.713748931884766
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...
epoch 4100  training loss: 26.459915161132812

  2%|█▎                                                                               | 4912/300000 [00:17<09:14, 532.00it/s]
epoch 4200  training loss: 26.272024154663086
epoch 4200  clean testing loss: 15.345623016357422
epoch 4300  training loss: 26.036209106445312
epoch 4300  clean testing loss: 15.504908561706543
epoch 4400  training loss: 25.90328025817871
epoch 4400  clean testing loss: 15.614813804626465
epoch 4500  training loss: 25.72950553894043
epoch 4500  clean testing loss: 15.95180892944336
epoch 4600  training loss: 25.485172271728516
epoch 4600  clean testing loss: 16.087081909179688
epoch 4700  training loss: 25.305683135986328
epoch 4700  clean testing loss: 16.26106071472168
epoch 4800  training loss: 25.19853401184082
epoch 4800  clean testing loss: 16.67609214782715
epoch 4900  training loss: 25.00002098083496
epoch 4900  clean testing loss: 16.815397262573242
epoch 5000  training loss: 24.883018493652344
epoch 5000  clean testing loss: 17.21209144592285
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...
epoch 5100  training loss: 24.678308486938477
epoch 5100  clean testing loss: 17.23636817932129
epoch 5200  training loss: 24.51338005065918

  2%|█▌                                                                               | 5992/300000 [00:19<09:12, 531.67it/s]
epoch 5300  training loss: 24.40117645263672
epoch 5300  clean testing loss: 17.850351333618164
epoch 5400  training loss: 24.168184280395508
epoch 5400  clean testing loss: 17.881357192993164
epoch 5500  training loss: 24.01972007751465
epoch 5500  clean testing loss: 18.12131690979004
epoch 5600  training loss: 23.85988426208496
epoch 5600  clean testing loss: 18.28993797302246
epoch 5700  training loss: 23.722763061523438
epoch 5700  clean testing loss: 18.52776336669922
epoch 5800  training loss: 23.572572708129883
epoch 5800  clean testing loss: 18.730005264282227
epoch 5900  training loss: 23.419532775878906
epoch 5900  clean testing loss: 18.92652130126953
epoch 6000  training loss: 23.282041549682617
epoch 6000  clean testing loss: 19.15312957763672
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...
epoch 6100  training loss: 23.145822525024414
epoch 6100  clean testing loss: 19.295169830322266
epoch 6200  training loss: 23.020641326904297

  2%|█▊                                                                               | 6856/300000 [00:21<09:08, 534.21it/s]
epoch 6300  training loss: 22.902469635009766
epoch 6300  clean testing loss: 19.624372482299805
epoch 6400  training loss: 22.786470413208008
epoch 6400  clean testing loss: 19.85675811767578
epoch 6500  training loss: 22.619001388549805
epoch 6500  clean testing loss: 20.058029174804688
epoch 6600  training loss: 22.54839324951172
epoch 6600  clean testing loss: 20.360361099243164
epoch 6700  training loss: 22.429779052734375
epoch 6700  clean testing loss: 20.444454193115234
epoch 6800  training loss: 22.297903060913086
epoch 6800  clean testing loss: 20.718400955200195
epoch 6900  training loss: 22.2075252532959

  2%|█▊                                                                              | 7018/300000 [00:25<1:57:09, 41.68it/s]
epoch 7000  training loss: 22.05541229248047
epoch 7000  clean testing loss: 21.005889892578125
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e+01_invop0 ...
epoch 7100  training loss: 21.9814510345459
epoch 7100  clean testing loss: 21.162555694580078
epoch 7200  training loss: 21.85698127746582
epoch 7200  clean testing loss: 21.434364318847656
epoch 7300  training loss: 21.72007942199707

  3%|██▏                                                                              | 8149/300000 [00:27<09:15, 525.74it/s]
epoch 7400  training loss: 21.641183853149414
epoch 7400  clean testing loss: 21.696590423583984
epoch 7500  training loss: 21.530208587646484
epoch 7500  clean testing loss: 21.75722312927246
epoch 7600  training loss: 21.402496337890625
epoch 7600  clean testing loss: 21.91486930847168
epoch 7700  training loss: 21.295766830444336
epoch 7700  clean testing loss: 22.03636360168457
epoch 7800  training loss: 21.23877716064453
epoch 7800  clean testing loss: 22.19585609436035
