
  0%|          | 665/300000 [00:01<09:49, 507.63it/s]
epoch 0  training loss: 0.7730321288108826
epoch 0  clean testing loss: 0.5255364179611206
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise3.00e-01_invop0 ...
epoch 100  training loss: 0.408232182264328
epoch 100  clean testing loss: 0.15961341559886932
epoch 200  training loss: 0.3441486060619354
epoch 200  clean testing loss: 0.09720142185688019
epoch 300  training loss: 0.3328268826007843
epoch 300  clean testing loss: 0.08604912459850311
epoch 400  training loss: 0.32074135541915894
epoch 400  clean testing loss: 0.07488799095153809
epoch 500  training loss: 0.30930426716804504
epoch 500  clean testing loss: 0.06650831550359726
epoch 600  training loss: 0.3008752465248108
epoch 600  clean testing loss: 0.06186612695455551
epoch 700  training loss: 0.2949863076210022

  1%|          | 1650/300000 [00:03<11:56, 416.46it/s]
epoch 800  training loss: 0.2901037633419037
epoch 800  clean testing loss: 0.05939978361129761
epoch 900  training loss: 0.28585579991340637
epoch 900  clean testing loss: 0.05879294127225876
epoch 1000  training loss: 0.28185999393463135
epoch 1000  clean testing loss: 0.058327674865722656
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise3.00e-01_invop0 ...
epoch 1100  training loss: 0.2776468098163605
epoch 1100  clean testing loss: 0.05707687884569168
epoch 1200  training loss: 0.2736990451812744
epoch 1200  clean testing loss: 0.05712540075182915
epoch 1300  training loss: 0.26982662081718445
epoch 1300  clean testing loss: 0.05724717676639557
epoch 1400  training loss: 0.266309916973114
epoch 1400  clean testing loss: 0.05708129703998566
epoch 1500  training loss: 0.26300910115242004
epoch 1500  clean testing loss: 0.05750572308897972
epoch 1600  training loss: 0.25990021228790283
epoch 1600  clean testing loss: 0.057919688522815704
epoch 1700  training loss: 0.257016122341156

  1%|          | 2684/300000 [00:05<09:40, 512.34it/s]
epoch 1800  training loss: 0.2544166147708893
epoch 1800  clean testing loss: 0.05995471030473709
epoch 1900  training loss: 0.2517925202846527
epoch 1900  clean testing loss: 0.06016918271780014
epoch 2000  training loss: 0.2495620995759964
epoch 2000  clean testing loss: 0.06015823781490326
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise3.00e-01_invop0 ...
epoch 2100  training loss: 0.24718286097049713
epoch 2100  clean testing loss: 0.06097511574625969
epoch 2200  training loss: 0.24494554102420807
epoch 2200  clean testing loss: 0.0621408186852932
epoch 2300  training loss: 0.2430601865053177
epoch 2300  clean testing loss: 0.06373446434736252
epoch 2400  training loss: 0.24066388607025146
epoch 2400  clean testing loss: 0.06316670030355453
epoch 2500  training loss: 0.23851098120212555
epoch 2500  clean testing loss: 0.0640997365117073
epoch 2600  training loss: 0.23637746274471283
epoch 2600  clean testing loss: 0.06445898115634918
epoch 2700  training loss: 0.23436911404132843

  1%|          | 3253/300000 [00:06<09:46, 505.64it/s]
epoch 2800  training loss: 0.23254090547561646
epoch 2800  clean testing loss: 0.06729020923376083
epoch 2900  training loss: 0.23039478063583374
epoch 2900  clean testing loss: 0.06653006374835968
epoch 3000  training loss: 0.2284226268529892
epoch 3000  clean testing loss: 0.06781578063964844
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise3.00e-01_invop0 ...
epoch 3100  training loss: 0.22683711349964142
epoch 3100  clean testing loss: 0.06883250176906586
epoch 3200  training loss: 0.225412517786026
epoch 3200  clean testing loss: 0.06962549686431885

epoch 3400  clean testing loss: 0.0709928423166275
epoch 3300  clean testing loss: 0.07151385396718979
epoch 3400  training loss: 0.22258692979812622
epoch 3400  clean testing loss: 0.0709928423166275
epoch 3500  training loss: 0.22091321647167206
epoch 3500  clean testing loss: 0.07196102291345596
epoch 3600  training loss: 0.2195129543542862
epoch 3600  clean testing loss: 0.07378628849983215
epoch 3700  training loss: 0.21838216483592987
epoch 3700  clean testing loss: 0.07355034351348877
epoch 3800  training loss: 0.21686603128910065
epoch 3800  clean testing loss: 0.07462728023529053
epoch 3900  training loss: 0.21570542454719543
epoch 3900  clean testing loss: 0.07524852454662323
epoch 4000  training loss: 0.21474744379520416
epoch 4000  clean testing loss: 0.07722768187522888
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise3.00e-01_invop0 ...
epoch 4100  training loss: 0.21343779563903809
epoch 4100  clean testing loss: 0.07731673121452332
epoch 4200  training loss: 0.212225079536438

  2%|▏         | 5164/300000 [00:18<09:39, 508.99it/s]
epoch 4300  training loss: 0.2110692262649536
epoch 4300  clean testing loss: 0.07729987055063248
epoch 4400  training loss: 0.2097194641828537
epoch 4400  clean testing loss: 0.07966523617506027
epoch 4500  training loss: 0.20829744637012482
epoch 4500  clean testing loss: 0.07918106019496918
epoch 4600  training loss: 0.2070995569229126
epoch 4600  clean testing loss: 0.07937406003475189
epoch 4700  training loss: 0.20601873099803925
epoch 4700  clean testing loss: 0.07978381961584091
epoch 4800  training loss: 0.2048802226781845
epoch 4800  clean testing loss: 0.08089122176170349
epoch 4900  training loss: 0.20389893651008606
epoch 4900  clean testing loss: 0.08047255128622055
epoch 5000  training loss: 0.20237895846366882
epoch 5000  clean testing loss: 0.08149714022874832
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise3.00e-01_invop0 ...
epoch 5100  training loss: 0.20157036185264587
epoch 5100  clean testing loss: 0.08301683515310287
epoch 5200  training loss: 0.20008166134357452

  2%|▏         | 6201/300000 [00:20<09:42, 504.71it/s]
epoch 5300  training loss: 0.19919393956661224
epoch 5300  clean testing loss: 0.08254848420619965
epoch 5400  training loss: 0.19809144735336304
epoch 5400  clean testing loss: 0.08331374078989029
epoch 5500  training loss: 0.19709256291389465
epoch 5500  clean testing loss: 0.08581125736236572
epoch 5600  training loss: 0.19552792608737946
epoch 5600  clean testing loss: 0.08505644649267197
epoch 5700  training loss: 0.19438941776752472
