
  0%|          | 668/300000 [00:01<09:46, 510.40it/s]
epoch 0  training loss: 0.9441112279891968
epoch 0  clean testing loss: 0.5003780722618103
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e-01_invop0 ...
epoch 100  training loss: 0.6491478085517883
epoch 100  clean testing loss: 0.15424948930740356
epoch 200  training loss: 0.589629590511322
epoch 200  clean testing loss: 0.09512262046337128
epoch 300  training loss: 0.5571102499961853
epoch 300  clean testing loss: 0.0801306739449501
epoch 400  training loss: 0.5328588485717773
epoch 400  clean testing loss: 0.07519108802080154
epoch 500  training loss: 0.5209676027297974
epoch 500  clean testing loss: 0.07534937560558319
epoch 600  training loss: 0.5141452550888062
epoch 600  clean testing loss: 0.07465103268623352
epoch 700  training loss: 0.5088512301445007

  1%|          | 1658/300000 [00:03<11:15, 441.39it/s]
epoch 800  training loss: 0.5041573643684387
epoch 800  clean testing loss: 0.07530699670314789
epoch 900  training loss: 0.4998036026954651
epoch 900  clean testing loss: 0.07623951882123947
epoch 1000  training loss: 0.4955950677394867
epoch 1000  clean testing loss: 0.07713297009468079
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e-01_invop0 ...
epoch 1100  training loss: 0.49132126569747925
epoch 1100  clean testing loss: 0.07842560112476349
epoch 1200  training loss: 0.48699814081192017
epoch 1200  clean testing loss: 0.07924717664718628
epoch 1300  training loss: 0.4826172888278961
epoch 1300  clean testing loss: 0.08020856231451035
epoch 1400  training loss: 0.47829753160476685
epoch 1400  clean testing loss: 0.08033118396997452
epoch 1500  training loss: 0.47404977679252625
epoch 1500  clean testing loss: 0.08158514648675919
epoch 1600  training loss: 0.4700918197631836
epoch 1600  clean testing loss: 0.0848051980137825
epoch 1700  training loss: 0.4658576250076294

  1%|          | 2694/300000 [00:05<09:36, 515.32it/s]
epoch 1800  training loss: 0.46138009428977966
epoch 1800  clean testing loss: 0.08671624958515167
epoch 1900  training loss: 0.4568578898906708
epoch 1900  clean testing loss: 0.08671572804450989
epoch 2000  training loss: 0.45240968465805054
epoch 2000  clean testing loss: 0.09047383815050125
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e-01_invop0 ...
epoch 2100  training loss: 0.4477074146270752
epoch 2100  clean testing loss: 0.09007782489061356
epoch 2200  training loss: 0.4425577223300934
epoch 2200  clean testing loss: 0.09179898351430893
epoch 2300  training loss: 0.4380747973918915
epoch 2300  clean testing loss: 0.0950125977396965
epoch 2400  training loss: 0.43290475010871887
epoch 2400  clean testing loss: 0.09773692488670349
epoch 2500  training loss: 0.42828142642974854
epoch 2500  clean testing loss: 0.09741661697626114
epoch 2600  training loss: 0.4234621822834015
epoch 2600  clean testing loss: 0.0996313989162445
epoch 2700  training loss: 0.4196901321411133

  1%|          | 3687/300000 [00:07<09:36, 514.21it/s]
epoch 2800  training loss: 0.4149532914161682
epoch 2800  clean testing loss: 0.10383290797472
epoch 2900  training loss: 0.4108588993549347
epoch 2900  clean testing loss: 0.10836922377347946
epoch 3000  training loss: 0.4073048233985901
epoch 3000  clean testing loss: 0.11024414747953415
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise5.00e-01_invop0 ...
epoch 3100  training loss: 0.40303486585617065
epoch 3100  clean testing loss: 0.11161274462938309
epoch 3200  training loss: 0.3997558653354645
epoch 3200  clean testing loss: 0.11401959508657455
