
  0%|          | 707/300000 [00:11<11:50, 421.07it/s]
epoch 0  training loss: 1.2079639434814453
epoch 0  clean testing loss: 0.5018214583396912
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise7.00e-01_invop0 ...
epoch 100  training loss: 0.8544462323188782
epoch 100  clean testing loss: 0.16133108735084534
epoch 200  training loss: 0.8034431338310242
epoch 200  clean testing loss: 0.11112099885940552
epoch 300  training loss: 0.7839948534965515
epoch 300  clean testing loss: 0.09954674541950226
epoch 400  training loss: 0.7635090351104736
epoch 400  clean testing loss: 0.09148404002189636
epoch 500  training loss: 0.7475839257240295
epoch 500  clean testing loss: 0.08995712548494339
epoch 600  training loss: 0.7365135550498962
epoch 600  clean testing loss: 0.09173090010881424
epoch 700  training loss: 0.7283977270126343

  1%|          | 1691/300000 [00:13<10:06, 491.94it/s]
epoch 800  training loss: 0.7208409309387207
epoch 800  clean testing loss: 0.09475470334291458
epoch 900  training loss: 0.7130083441734314
epoch 900  clean testing loss: 0.09542091935873032
epoch 1000  training loss: 0.704106330871582
epoch 1000  clean testing loss: 0.09659630060195923
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise7.00e-01_invop0 ...
epoch 1100  training loss: 0.6943093538284302
epoch 1100  clean testing loss: 0.09720496088266373
epoch 1200  training loss: 0.6838921308517456
epoch 1200  clean testing loss: 0.09883926063776016
epoch 1300  training loss: 0.6734664440155029
epoch 1300  clean testing loss: 0.10068310797214508
epoch 1400  training loss: 0.6628184914588928
epoch 1400  clean testing loss: 0.10098474472761154
epoch 1500  training loss: 0.651668131351471
epoch 1500  clean testing loss: 0.10381216555833817
epoch 1600  training loss: 0.6411709189414978
epoch 1600  clean testing loss: 0.10481187701225281
epoch 1700  training loss: 0.6297585964202881

  1%|          | 2723/300000 [00:15<09:48, 504.85it/s]
epoch 1800  training loss: 0.6188607215881348
epoch 1800  clean testing loss: 0.11166449636220932
epoch 1900  training loss: 0.6091411709785461
epoch 1900  clean testing loss: 0.11684808880090714
epoch 2000  training loss: 0.6010422706604004
epoch 2000  clean testing loss: 0.11738449335098267
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise7.00e-01_invop0 ...
epoch 2100  training loss: 0.5925642848014832
epoch 2100  clean testing loss: 0.12740680575370789
epoch 2200  training loss: 0.5846768021583557
epoch 2200  clean testing loss: 0.13047078251838684
epoch 2300  training loss: 0.5774654746055603
epoch 2300  clean testing loss: 0.1359703689813614
epoch 2400  training loss: 0.5697289109230042
epoch 2400  clean testing loss: 0.13515208661556244
epoch 2500  training loss: 0.5628547668457031
epoch 2500  clean testing loss: 0.1424005776643753
epoch 2600  training loss: 0.5560296177864075
epoch 2600  clean testing loss: 0.1456070840358734
epoch 2700  training loss: 0.549511730670929

  1%|          | 3707/300000 [00:17<09:45, 506.06it/s]
epoch 2800  training loss: 0.5433092713356018
epoch 2800  clean testing loss: 0.1520194709300995
epoch 2900  training loss: 0.5375989079475403
epoch 2900  clean testing loss: 0.15899482369422913
epoch 3000  training loss: 0.5336363315582275
epoch 3000  clean testing loss: 0.15746444463729858
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise7.00e-01_invop0 ...
epoch 3100  training loss: 0.5265979766845703
epoch 3100  clean testing loss: 0.16347037255764008
epoch 3200  training loss: 0.5217111706733704
epoch 3200  clean testing loss: 0.16692939400672913
epoch 3300  training loss: 0.5165712237358093
epoch 3300  clean testing loss: 0.16778913140296936
epoch 3400  training loss: 0.5118275880813599
epoch 3400  clean testing loss: 0.17543992400169373
epoch 3500  training loss: 0.5066951513290405
epoch 3500  clean testing loss: 0.17657391726970673
epoch 3600  training loss: 0.5028894543647766
epoch 3600  clean testing loss: 0.1777092069387436
epoch 3700  training loss: 0.497355192899704

  1%|▏         | 3968/300000 [00:17<09:36, 513.86it/s]
epoch 3800  training loss: 0.493045836687088
epoch 3800  clean testing loss: 0.19199858605861664
epoch 3900  training loss: 0.48926815390586853
epoch 3900  clean testing loss: 0.19721482694149017
epoch 4000  training loss: 0.48587238788604736

  2%|▏         | 4794/300000 [00:27<10:41, 459.87it/s]
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise7.00e-01_invop0 ...
epoch 4100  training loss: 0.4814366400241852
epoch 4100  clean testing loss: 0.20361477136611938
epoch 4200  training loss: 0.47558626532554626
epoch 4200  clean testing loss: 0.2021971195936203
epoch 4300  training loss: 0.4728763699531555
epoch 4300  clean testing loss: 0.20223993062973022
epoch 4400  training loss: 0.4694042503833771
epoch 4400  clean testing loss: 0.20521531999111176
epoch 4500  training loss: 0.46425750851631165
epoch 4500  clean testing loss: 0.20900046825408936
epoch 4600  training loss: 0.4604533016681671
epoch 4600  clean testing loss: 0.21218693256378174
epoch 4700  training loss: 0.4554901421070099
