
  1%|          | 985/100000 [00:02<03:11, 517.17it/s]
epoch 0  training loss: 1.5763006210327148
epoch 0  clean testing loss: 0.45126873254776
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+00_invop0 ...
epoch 100  training loss: 1.1955987215042114
epoch 100  clean testing loss: 0.12370601296424866
epoch 200  training loss: 1.1256272792816162
epoch 200  clean testing loss: 0.08132746070623398
epoch 300  training loss: 1.0981011390686035
epoch 300  clean testing loss: 0.0694466382265091
epoch 400  training loss: 1.0696035623550415
epoch 400  clean testing loss: 0.0640808716416359
epoch 500  training loss: 1.0485079288482666
epoch 500  clean testing loss: 0.06472963094711304
epoch 600  training loss: 1.033249020576477
epoch 600  clean testing loss: 0.06630588322877884
epoch 700  training loss: 1.0207867622375488

  2%|▏         | 1926/100000 [00:03<03:16, 499.95it/s]
epoch 800  training loss: 1.0096970796585083
epoch 800  clean testing loss: 0.07213309407234192
epoch 900  training loss: 0.9995257258415222
epoch 900  clean testing loss: 0.07511061429977417
epoch 1000  training loss: 0.9892758131027222
epoch 1000  clean testing loss: 0.07865261286497116
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e+00_invop0 ...
epoch 1100  training loss: 0.9786806702613831
epoch 1100  clean testing loss: 0.08340945839881897
epoch 1200  training loss: 0.9686287641525269
epoch 1200  clean testing loss: 0.08885068446397781
epoch 1300  training loss: 0.9585681557655334
epoch 1300  clean testing loss: 0.09456624835729599
epoch 1400  training loss: 0.9485651254653931
epoch 1400  clean testing loss: 0.09883483499288559
epoch 1500  training loss: 0.939385175704956
epoch 1500  clean testing loss: 0.10470044612884521
epoch 1600  training loss: 0.9294471740722656
epoch 1600  clean testing loss: 0.11059913039207458
epoch 1700  training loss: 0.9204166531562805

  3%|▎         | 2975/100000 [00:06<03:06, 519.59it/s]
epoch 1800  training loss: 0.910622239112854
epoch 1800  clean testing loss: 0.12058307230472565
epoch 1900  training loss: 0.9017521142959595
epoch 1900  clean testing loss: 0.1276179552078247
epoch 2000  training loss: 0.8911790251731873
