
  0%|                                                                                | 95/100000 [00:01<23:31, 70.75it/s]
epoch 0  training loss: 40.66864776611328
epoch 0  clean testing loss: 48.85091781616211
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size10_noise1.00e-01_invop1 ...
epoch 100  training loss: 0.40798765420913696

  0%|▏                                                                              | 239/100000 [00:03<23:02, 72.18it/s]
epoch 200  training loss: 0.0007066367543302476

  0%|▎                                                                              | 383/100000 [00:05<23:25, 70.89it/s]
epoch 300  training loss: 0.00011019178054993972

  1%|▍                                                                              | 527/100000 [00:07<23:33, 70.38it/s]
epoch 400  training loss: 6.147703288661432e-07
epoch 400  clean testing loss: 2.83744740486145
epoch 500  training loss: 2.3535940840702096e-07

  1%|▍                                                                              | 599/100000 [00:08<23:27, 70.64it/s]
epoch 600  training loss: 8.961016106923125e-08

  1%|▊                                                                             | 1071/100000 [00:19<38:45, 42.54it/s]
epoch 700  training loss: 0.00014111991913523525
epoch 700  clean testing loss: 2.788830518722534
epoch 800  training loss: 2.9455887329277175e-07
epoch 800  clean testing loss: 2.823451519012451
epoch 900  training loss: 5.321284788806224e-06
epoch 900  clean testing loss: 2.8079166412353516
epoch 1000  training loss: 3.170706258970313e-05
epoch 1000  clean testing loss: 2.7938199043273926

  1%|▉                                                                             | 1215/100000 [00:21<22:32, 73.02it/s]
epoch 1100  training loss: 0.000427080609370023
epoch 1100  clean testing loss: 2.8459417819976807
epoch 1200  training loss: 6.39119525658316e-06

  1%|█                                                                             | 1359/100000 [00:23<23:18, 70.52it/s]
epoch 1300  training loss: 2.920666338468436e-05

  1%|█▏                                                                            | 1496/100000 [00:25<25:23, 64.65it/s]
epoch 1400  training loss: 5.4015786190575454e-06
epoch 1400  clean testing loss: 2.847015380859375
epoch 1500  training loss: 1.8297940187039785e-05

  2%|█▎                                                                            | 1622/100000 [00:27<26:10, 62.64it/s]
epoch 1600  training loss: 0.00011792425357270986

  2%|█▎                                                                            | 1755/100000 [00:29<25:33, 64.06it/s]
epoch 1700  training loss: 1.946652446349617e-05

  2%|█▍                                                                            | 1881/100000 [00:31<25:15, 64.74it/s]
epoch 1800  training loss: 1.8255786926602013e-05

  2%|█▌                                                                            | 2007/100000 [00:33<26:36, 61.36it/s]
epoch 1900  training loss: 4.0826522308634594e-05
epoch 1900  clean testing loss: 2.909468650817871
epoch 2000  training loss: 0.0001980573870241642
epoch 2000  clean testing loss: 2.8831355571746826

  2%|█▋                                                                            | 2140/100000 [00:35<25:27, 64.08it/s]
epoch 2100  training loss: 1.5367329979198985e-05

  2%|█▊                                                                            | 2266/100000 [00:37<25:21, 64.22it/s]
epoch 2200  training loss: 6.78132419125177e-05

  2%|█▊                                                                            | 2399/100000 [00:39<25:26, 63.95it/s]
epoch 2300  training loss: 4.302152319723973e-06
epoch 2300  clean testing loss: 2.846046209335327
epoch 2400  training loss: 0.003290311200544238

  3%|█▉                                                                            | 2525/100000 [00:41<25:12, 64.43it/s]
epoch 2500  training loss: 2.9268217986100353e-05

  3%|██                                                                            | 2658/100000 [00:43<25:11, 64.41it/s]
epoch 2600  training loss: 3.347418669363833e-06

  3%|██                                                                            | 2700/100000 [00:44<25:14, 64.26it/s]
epoch 2700  training loss: 0.0002668650995474309

  3%|██▍                                                                           | 3100/100000 [00:54<27:02, 59.74it/s]
epoch 2800  training loss: 1.4702787893838831e-06
epoch 2800  clean testing loss: 2.801060199737549
epoch 2900  training loss: 6.453433343267534e-06
epoch 2900  clean testing loss: 2.8094425201416016
epoch 3000  training loss: 8.926240298023913e-07
epoch 3000  clean testing loss: 2.797348976135254
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size10_noise1.00e-01_invop1 ...
epoch 3100  training loss: 1.6415713616879657e-05
epoch 3100  clean testing loss: 2.785783529281616
epoch 3200  training loss: 2.877788574551232e-06
epoch 3200  clean testing loss: 2.757352113723755
epoch 3300  training loss: 0.00040142968646250665

  3%|██▋                                                                           | 3366/100000 [00:58<24:52, 64.75it/s]
