
  0%|                                                                                | 84/100000 [00:01<26:15, 63.41it/s]
epoch 0  training loss: 52.24414825439453
epoch 0  clean testing loss: 56.10417938232422

  0%|▏                                                                              | 210/100000 [00:03<25:44, 64.62it/s]
epoch 100  training loss: 0.5423845648765564
epoch 100  clean testing loss: 0.903765082359314
epoch 200  training loss: 0.11656943708658218

  0%|▎                                                                              | 343/100000 [00:05<25:47, 64.40it/s]
epoch 300  training loss: 0.057214539498090744

  0%|▎                                                                              | 469/100000 [00:07<25:38, 64.71it/s]
epoch 400  training loss: 0.037811823189258575
epoch 400  clean testing loss: 0.32237473130226135
epoch 500  training loss: 0.03156481310725212

  1%|▍                                                                              | 602/100000 [00:09<25:39, 64.55it/s]
epoch 600  training loss: 0.03232460841536522

  1%|▌                                                                              | 728/100000 [00:11<25:31, 64.83it/s]
epoch 700  training loss: 0.024941163137555122

  1%|▋                                                                              | 861/100000 [00:13<25:41, 64.30it/s]
epoch 800  training loss: 0.018048573285341263
epoch 800  clean testing loss: 0.3293232321739197
epoch 900  training loss: 0.022345134988427162

  1%|▊                                                                              | 987/100000 [00:15<25:39, 64.30it/s]
epoch 1000  training loss: 0.018385784700512886
epoch 1000  clean testing loss: 0.3455260694026947

  1%|▊                                                                             | 1120/100000 [00:17<25:35, 64.38it/s]
epoch 1100  training loss: 0.014560030773282051

  1%|▉                                                                             | 1197/100000 [00:18<25:31, 64.50it/s]
epoch 1200  training loss: 0.017691191285848618
epoch 1200  clean testing loss: 0.31730276346206665
epoch 1300  training loss: 0.011710687540471554
epoch 1300  clean testing loss: 0.31514179706573486
epoch 1400  training loss: 0.015470277518033981
epoch 1400  clean testing loss: 0.3145785331726074
epoch 1500  training loss: 0.016872940585017204
epoch 1500  clean testing loss: 0.32655608654022217
epoch 1600  training loss: 0.01381242461502552
epoch 1600  clean testing loss: 0.33910536766052246
epoch 1700  training loss: 0.017062459141016006
epoch 1700  clean testing loss: 0.35203981399536133
epoch 1800  training loss: 0.01772034354507923
epoch 1800  clean testing loss: 0.34156349301338196
epoch 1900  training loss: 0.010970105417072773
epoch 1900  clean testing loss: 0.34595754742622375
epoch 2000  training loss: 0.010141169652342796
epoch 2000  clean testing loss: 0.35658377408981323

  2%|█▌                                                                            | 2018/100000 [00:30<26:03, 62.66it/s]
epoch 2100  training loss: 0.011113625951111317

  2%|█▋                                                                            | 2095/100000 [00:31<25:10, 64.81it/s]
epoch 2200  training loss: 0.009770985692739487
