
  1%|          | 678/100000 [00:01<03:11, 518.50it/s]
epoch 0  training loss: 0.5688302516937256
epoch 0  clean testing loss: 0.5450456738471985
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size10_noise1.00e-01_invop0 ...
epoch 100  training loss: 0.27331510186195374
epoch 100  clean testing loss: 0.34294387698173523
epoch 200  training loss: 0.07451749593019485
epoch 200  clean testing loss: 0.1562635600566864
epoch 300  training loss: 0.049104515463113785
epoch 300  clean testing loss: 0.15481500327587128
epoch 400  training loss: 0.029454750940203667
epoch 400  clean testing loss: 0.15650571882724762
epoch 500  training loss: 0.012216387316584587
epoch 500  clean testing loss: 0.17121413350105286
epoch 600  training loss: 0.002885121153667569
epoch 600  clean testing loss: 0.19341735541820526
epoch 700  training loss: 0.0008030841127038002

  2%|▏         | 1681/100000 [00:03<03:34, 457.77it/s]
epoch 800  training loss: 0.0005505327135324478
epoch 800  clean testing loss: 0.21281452476978302
epoch 900  training loss: 0.000501086178701371
epoch 900  clean testing loss: 0.21366380155086517
epoch 1000  training loss: 0.0004817760200239718
epoch 1000  clean testing loss: 0.21403451263904572
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size10_noise1.00e-01_invop0 ...
epoch 1100  training loss: 0.0004653721989598125
epoch 1100  clean testing loss: 0.21442990005016327
epoch 1200  training loss: 0.00044726961641572416
epoch 1200  clean testing loss: 0.21470136940479279
epoch 1300  training loss: 0.0004312732780817896
epoch 1300  clean testing loss: 0.21494393050670624
epoch 1400  training loss: 0.0004115512128919363
epoch 1400  clean testing loss: 0.21540232002735138
epoch 1500  training loss: 0.00039648363599553704
epoch 1500  clean testing loss: 0.21565376222133636
epoch 1600  training loss: 0.0003792266361415386
epoch 1600  clean testing loss: 0.21573959290981293
epoch 1700  training loss: 0.00036167126381769776

  3%|▎         | 2732/100000 [00:05<03:07, 519.04it/s]
epoch 1800  training loss: 0.00034880367456935346
epoch 1800  clean testing loss: 0.21639953553676605
epoch 1900  training loss: 0.0003371808852534741
epoch 1900  clean testing loss: 0.21649174392223358
epoch 2000  training loss: 0.0003204908571206033
epoch 2000  clean testing loss: 0.2171029895544052
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size10_noise1.00e-01_invop0 ...
epoch 2100  training loss: 0.0003138961910735816
epoch 2100  clean testing loss: 0.21728451550006866
epoch 2200  training loss: 0.00030071064247749746
epoch 2200  clean testing loss: 0.2174208164215088
epoch 2300  training loss: 0.0002883979759644717
epoch 2300  clean testing loss: 0.21760593354701996
epoch 2400  training loss: 0.0002756076864898205
epoch 2400  clean testing loss: 0.21784400939941406
epoch 2500  training loss: 0.00026703800540417433
epoch 2500  clean testing loss: 0.2180738002061844
epoch 2600  training loss: 0.0002613972465042025
epoch 2600  clean testing loss: 0.21827368438243866
epoch 2700  training loss: 0.00025430062669329345
epoch 2700  clean testing loss: 0.21849751472473145
epoch 2800  training loss: 0.0002480941766407341

  3%|▎         | 2891/100000 [00:05<03:06, 520.37it/s]
epoch 2900  training loss: 0.00024399634276051074
epoch 2900  clean testing loss: 0.21878860890865326
epoch 3000  training loss: 0.00023607791808899492
epoch 3000  clean testing loss: 0.21905238926410675
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size10_noise1.00e-01_invop0 ...
epoch 3100  training loss: 0.00023076699289958924
epoch 3100  clean testing loss: 0.21926473081111908
epoch 3200  training loss: 0.00022558528871741146
epoch 3200  clean testing loss: 0.21953915059566498
epoch 3300  training loss: 0.00021924186148680747
epoch 3300  clean testing loss: 0.21990075707435608
epoch 3400  training loss: 0.00021656132594216615
epoch 3400  clean testing loss: 0.22028283774852753
epoch 3500  training loss: 0.00020796878379769623
epoch 3500  clean testing loss: 0.2203383892774582
epoch 3600  training loss: 0.00020720926113426685
epoch 3600  clean testing loss: 0.22061510384082794
epoch 3700  training loss: 0.00020519073586910963

  4%|▍         | 3944/100000 [00:09<03:07, 513.13it/s]
epoch 3800  training loss: 0.00020648077770601958
epoch 3800  clean testing loss: 0.2210816591978073
epoch 3900  training loss: 0.0001941736991284415
epoch 3900  clean testing loss: 0.22166447341442108
epoch 4000  training loss: 0.0001931687438627705
epoch 4000  clean testing loss: 0.22190570831298828
