
  1%|          | 1086/100000 [00:03<03:13, 510.38it/s]
epoch 0  training loss: 0.5248044729232788
epoch 0  clean testing loss: 0.4962518513202667
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size50_noise1.00e-01_invop0 ...
epoch 100  training loss: 0.24473685026168823
epoch 100  clean testing loss: 0.20760710537433624
epoch 200  training loss: 0.18229208886623383
epoch 200  clean testing loss: 0.17302009463310242
epoch 300  training loss: 0.15802770853042603
epoch 300  clean testing loss: 0.1663321703672409
epoch 400  training loss: 0.1341855525970459
epoch 400  clean testing loss: 0.15315492451190948
epoch 500  training loss: 0.11100020259618759
epoch 500  clean testing loss: 0.13872450590133667
epoch 600  training loss: 0.09670672565698624
epoch 600  clean testing loss: 0.12994800508022308
epoch 700  training loss: 0.08795516937971115
epoch 700  clean testing loss: 0.12854203581809998
epoch 800  training loss: 0.08076170086860657
epoch 800  clean testing loss: 0.1276499330997467
epoch 900  training loss: 0.07342372089624405
epoch 900  clean testing loss: 0.12372567504644394
epoch 1000  training loss: 0.06542295962572098
epoch 1000  clean testing loss: 0.12071491777896881
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size50_noise1.00e-01_invop0 ...
epoch 1100  training loss: 0.05746114253997803

  2%|▏         | 2072/100000 [00:05<03:12, 507.48it/s]
epoch 1200  training loss: 0.05082740634679794
epoch 1200  clean testing loss: 0.11614574491977692
epoch 1300  training loss: 0.04538775235414505
epoch 1300  clean testing loss: 0.11675908416509628
epoch 1400  training loss: 0.04077094793319702
epoch 1400  clean testing loss: 0.11596029251813889
epoch 1500  training loss: 0.03665746748447418
epoch 1500  clean testing loss: 0.11981867253780365
epoch 1600  training loss: 0.033377647399902344
epoch 1600  clean testing loss: 0.12112937867641449
epoch 1700  training loss: 0.030781950801610947
epoch 1700  clean testing loss: 0.12278478592634201
epoch 1800  training loss: 0.028862368315458298
epoch 1800  clean testing loss: 0.12540081143379211
epoch 1900  training loss: 0.02735552191734314
epoch 1900  clean testing loss: 0.12778592109680176
epoch 2000  training loss: 0.025685016065835953
epoch 2000  clean testing loss: 0.13104738295078278
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size50_noise1.00e-01_invop0 ...
epoch 2100  training loss: 0.024310769513249397

  3%|▎         | 2847/100000 [00:07<03:10, 510.08it/s]
epoch 2200  training loss: 0.022981418296694756
epoch 2200  clean testing loss: 0.13693378865718842
epoch 2300  training loss: 0.02189622074365616
epoch 2300  clean testing loss: 0.13898570835590363
epoch 2400  training loss: 0.02070234715938568
epoch 2400  clean testing loss: 0.14275765419006348
epoch 2500  training loss: 0.01986960880458355
epoch 2500  clean testing loss: 0.14750371873378754
epoch 2600  training loss: 0.01848958060145378
epoch 2600  clean testing loss: 0.1481698453426361
epoch 2700  training loss: 0.01761559769511223
epoch 2700  clean testing loss: 0.15199248492717743
epoch 2800  training loss: 0.016574127599596977
epoch 2800  clean testing loss: 0.15487127006053925
epoch 2900  training loss: 0.015461749397218227
epoch 2900  clean testing loss: 0.15293985605239868
epoch 3000  training loss: 0.01462955679744482
epoch 3000  clean testing loss: 0.15748253464698792
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size50_noise1.00e-01_invop0 ...
epoch 3100  training loss: 0.013848535716533661

  3%|▎         | 3159/100000 [00:07<03:11, 507.01it/s]
epoch 3200  training loss: 0.013289699330925941
epoch 3200  clean testing loss: 0.15914735198020935
epoch 3300  training loss: 0.012854156084358692
epoch 3300  clean testing loss: 0.1604057252407074
epoch 3400  training loss: 0.012475495226681232
epoch 3400  clean testing loss: 0.16497281193733215
epoch 3500  training loss: 0.011890719644725323
epoch 3500  clean testing loss: 0.1652051955461502
epoch 3600  training loss: 0.011627230793237686
epoch 3600  clean testing loss: 0.16727149486541748
epoch 3700  training loss: 0.011200662702322006
epoch 3700  clean testing loss: 0.16673938930034637
epoch 3800  training loss: 0.010891798883676529
epoch 3800  clean testing loss: 0.1672053039073944
epoch 3900  training loss: 0.010879501700401306
epoch 3900  clean testing loss: 0.1674596220254898
epoch 4000  training loss: 0.010343321599066257
epoch 4000  clean testing loss: 0.17114509642124176

  5%|▍         | 4665/100000 [00:18<03:49, 416.22it/s]
epoch 4100  training loss: 0.0101951127871871
epoch 4100  clean testing loss: 0.16966062784194946
epoch 4200  training loss: 0.009991513565182686
epoch 4200  clean testing loss: 0.17271725833415985
epoch 4300  training loss: 0.009781083092093468
epoch 4300  clean testing loss: 0.1723916232585907
epoch 4400  training loss: 0.009745965711772442
