
  0%|                                                                                | 79/100000 [00:01<28:25, 58.59it/s]
epoch 0  training loss: 42.660789489746094
epoch 0  clean testing loss: 40.770721435546875
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop1 ...
epoch 100  training loss: 0.12573763728141785

  0%|▏                                                                              | 197/100000 [00:03<27:51, 59.70it/s]
epoch 200  training loss: 0.10231992602348328

  0%|▏                                                                              | 315/100000 [00:05<27:53, 59.55it/s]
epoch 300  training loss: 0.09768400341272354

  0%|▎                                                                              | 434/100000 [00:07<27:49, 59.62it/s]
epoch 400  training loss: 0.0949665755033493

  1%|▍                                                                              | 554/100000 [00:09<28:06, 58.98it/s]
epoch 500  training loss: 0.09305360168218613

  1%|▌                                                                              | 663/100000 [00:11<33:36, 49.26it/s]
epoch 600  training loss: 0.09165039658546448

  1%|▌                                                                              | 761/100000 [00:13<33:47, 48.96it/s]
epoch 700  training loss: 0.09059964120388031

  1%|▋                                                                              | 861/100000 [00:15<33:19, 49.59it/s]
epoch 800  training loss: 0.08979608863592148

  1%|▊                                                                              | 959/100000 [00:17<33:13, 49.68it/s]
epoch 900  training loss: 0.08916860073804855

  1%|▊                                                                             | 1059/100000 [00:19<33:26, 49.31it/s]
epoch 1000  training loss: 0.08866945654153824
epoch 1000  clean testing loss: 0.010124065913259983

  1%|▉                                                                             | 1155/100000 [00:21<33:15, 49.54it/s]
epoch 1100  training loss: 0.0882657989859581

  1%|▉                                                                             | 1254/100000 [00:23<32:49, 50.15it/s]
epoch 1200  training loss: 0.08793365210294724

  1%|█                                                                             | 1355/100000 [00:25<33:08, 49.61it/s]
epoch 1300  training loss: 0.08765270560979843

  1%|█▏                                                                            | 1456/100000 [00:27<33:10, 49.51it/s]
epoch 1400  training loss: 0.08740616589784622

  2%|█▏                                                                            | 1552/100000 [00:29<34:28, 47.59it/s]
epoch 1500  training loss: 0.08718142658472061

  2%|█▎                                                                            | 1653/100000 [00:31<34:00, 48.20it/s]
epoch 1600  training loss: 0.08697085827589035


  2%|█▌                                                                            | 1928/100000 [00:37<32:54, 49.66it/s]
epoch 1700  training loss: 0.0867701843380928
epoch 1700  clean testing loss: 0.012327548116445541
epoch 1800  training loss: 0.08657756447792053
epoch 1800  clean testing loss: 0.012499663047492504
epoch 1900  training loss: 0.08639249205589294

  2%|█▌                                                                            | 2025/100000 [00:39<33:24, 48.89it/s]
epoch 2000  training loss: 0.08621542155742645
epoch 2000  clean testing loss: 0.012788550928235054

  2%|█▋                                                                            | 2126/100000 [00:41<32:52, 49.62it/s]
epoch 2100  training loss: 0.08604660630226135

  2%|█▋                                                                            | 2227/100000 [00:43<32:53, 49.53it/s]
epoch 2200  training loss: 0.08588515222072601

  2%|█▊                                                                            | 2323/100000 [00:45<32:51, 49.55it/s]
epoch 2300  training loss: 0.08573119342327118

  2%|█▉                                                                            | 2426/100000 [00:47<32:48, 49.57it/s]
epoch 2400  training loss: 0.08558400720357895

  3%|█▉                                                                            | 2526/100000 [00:49<32:43, 49.63it/s]
epoch 2500  training loss: 0.08544238656759262

  3%|██                                                                            | 2623/100000 [00:51<32:40, 49.66it/s]
epoch 2600  training loss: 0.08530591428279877

  3%|██                                                                            | 2723/100000 [00:53<32:45, 49.49it/s]
epoch 2700  training loss: 0.0851733535528183

  3%|██▏                                                                           | 2820/100000 [00:55<32:21, 50.04it/s]
epoch 2800  training loss: 0.08504378795623779

  3%|██▎                                                                           | 2921/100000 [00:57<32:37, 49.59it/s]
epoch 2900  training loss: 0.08491624891757965

  3%|██▎                                                                           | 3023/100000 [00:59<33:02, 48.91it/s]
