
  0%|                                                                                | 63/100000 [00:01<33:42, 49.41it/s]
epoch 0  training loss: 49.87559509277344
epoch 0  clean testing loss: 45.33860397338867

  0%|▏                                                                              | 165/100000 [00:03<33:29, 49.67it/s]
epoch 100  training loss: 0.28736743330955505

  0%|▏                                                                              | 265/100000 [00:05<33:29, 49.64it/s]
epoch 200  training loss: 0.2631683945655823

  0%|▎                                                                              | 362/100000 [00:07<33:42, 49.27it/s]
epoch 300  training loss: 0.259079247713089

  0%|▎                                                                              | 460/100000 [00:09<33:27, 49.58it/s]
epoch 400  training loss: 0.25657859444618225

  1%|▍                                                                              | 560/100000 [00:11<33:28, 49.51it/s]
epoch 500  training loss: 0.2547234296798706

  1%|▌                                                                              | 657/100000 [00:13<33:38, 49.22it/s]
epoch 600  training loss: 0.2532867193222046

  1%|▌                                                                              | 758/100000 [00:15<33:14, 49.76it/s]
epoch 700  training loss: 0.25213927030563354

  1%|▋                                                                              | 858/100000 [00:17<33:20, 49.55it/s]
epoch 800  training loss: 0.2511909306049347

  1%|▊                                                                              | 959/100000 [00:19<33:15, 49.64it/s]
epoch 900  training loss: 0.250385046005249

  1%|▊                                                                             | 1057/100000 [00:21<33:05, 49.84it/s]
epoch 1000  training loss: 0.24968157708644867
epoch 1000  clean testing loss: 0.01478345412760973

  1%|▊                                                                             | 1097/100000 [00:22<34:59, 47.12it/s]
epoch 1100  training loss: 0.24905359745025635

  1%|█                                                                             | 1329/100000 [00:27<32:56, 49.92it/s]
epoch 1200  training loss: 0.24848201870918274
epoch 1200  clean testing loss: 0.015476768836379051
epoch 1300  training loss: 0.2479502111673355

  1%|█                                                                             | 1427/100000 [00:29<33:07, 49.60it/s]
epoch 1400  training loss: 0.24744343757629395

  2%|█▏                                                                            | 1529/100000 [00:31<33:07, 49.55it/s]
epoch 1500  training loss: 0.2469472736120224

  2%|█▎                                                                            | 1624/100000 [00:33<33:08, 49.48it/s]
epoch 1600  training loss: 0.24644815921783447

  2%|█▎                                                                            | 1729/100000 [00:35<32:58, 49.67it/s]
epoch 1700  training loss: 0.24593181908130646

  2%|█▍                                                                            | 1826/100000 [00:37<33:01, 49.55it/s]
epoch 1800  training loss: 0.2453818917274475
epoch 1800  clean testing loss: 0.018285170197486877
epoch 1900  training loss: 0.24477744102478027

  2%|█▌                                                                            | 1926/100000 [00:39<32:57, 49.59it/s]
epoch 2000  training loss: 0.2440902590751648
