
  1%|▌                                                                                | 691/100000 [00:01<03:11, 517.88it/s]
epoch 0  training loss: 0.8763630986213684
epoch 0  clean testing loss: 0.48987504839897156
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 100  training loss: 0.4747786521911621
epoch 100  clean testing loss: 0.15086442232131958
epoch 200  training loss: 0.44259047508239746
epoch 200  clean testing loss: 0.12799915671348572
epoch 300  training loss: 0.42396867275238037
epoch 300  clean testing loss: 0.11434720456600189
epoch 400  training loss: 0.41368821263313293
epoch 400  clean testing loss: 0.1085536777973175
epoch 500  training loss: 0.4064074456691742
epoch 500  clean testing loss: 0.10418541729450226
epoch 600  training loss: 0.40009626746177673
epoch 600  clean testing loss: 0.10018057376146317
epoch 700  training loss: 0.3940219283103943

  2%|█▎                                                                              | 1564/100000 [00:03<03:45, 436.16it/s]
epoch 800  training loss: 0.3877715766429901
epoch 800  clean testing loss: 0.09334448724985123
epoch 900  training loss: 0.38139933347702026
epoch 900  clean testing loss: 0.09129752218723297
epoch 1000  training loss: 0.37524354457855225
epoch 1000  clean testing loss: 0.09026119858026505
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 1100  training loss: 0.3695797324180603
epoch 1100  clean testing loss: 0.08993545919656754
epoch 1200  training loss: 0.36423400044441223
epoch 1200  clean testing loss: 0.09020566940307617
epoch 1300  training loss: 0.35841816663742065
epoch 1300  clean testing loss: 0.09082910418510437
epoch 1400  training loss: 0.3515017330646515
epoch 1400  clean testing loss: 0.09212746471166611
epoch 1500  training loss: 0.34356164932250977
epoch 1500  clean testing loss: 0.09404795616865158
epoch 1600  training loss: 0.3347949981689453

  2%|█▉                                                                              | 2442/100000 [00:05<04:03, 399.99it/s]
epoch 1700  training loss: 0.3250499367713928
epoch 1700  clean testing loss: 0.09927579015493393
epoch 1800  training loss: 0.3123547434806824
epoch 1800  clean testing loss: 0.1046033650636673
epoch 1900  training loss: 0.2943102717399597
epoch 1900  clean testing loss: 0.1160106435418129
epoch 2000  training loss: 0.27781105041503906
epoch 2000  clean testing loss: 0.1274941861629486
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 2100  training loss: 0.2617916464805603
epoch 2100  clean testing loss: 0.13968777656555176
epoch 2200  training loss: 0.24658054113388062
epoch 2200  clean testing loss: 0.15191087126731873
epoch 2300  training loss: 0.23214761912822723
epoch 2300  clean testing loss: 0.16382862627506256
epoch 2400  training loss: 0.21826191246509552

  3%|██▌                                                                             | 3206/100000 [00:07<04:03, 397.95it/s]
epoch 2500  training loss: 0.20524123311042786
epoch 2500  clean testing loss: 0.1813962459564209
epoch 2600  training loss: 0.19262060523033142
epoch 2600  clean testing loss: 0.18943345546722412
epoch 2700  training loss: 0.18031048774719238
epoch 2700  clean testing loss: 0.20118916034698486
epoch 2800  training loss: 0.1687130630016327
epoch 2800  clean testing loss: 0.21709947288036346
epoch 2900  training loss: 0.15867769718170166
epoch 2900  clean testing loss: 0.23647932708263397
epoch 3000  training loss: 0.15030847489833832
epoch 3000  clean testing loss: 0.25796234607696533
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 3100  training loss: 0.14455324411392212
epoch 3100  clean testing loss: 0.2749687135219574
epoch 3200  training loss: 0.1395704448223114

  4%|███▏                                                                            | 3969/100000 [00:09<04:01, 397.65it/s]
epoch 3300  training loss: 0.13519027829170227
epoch 3300  clean testing loss: 0.3044325113296509
epoch 3400  training loss: 0.1312602311372757
epoch 3400  clean testing loss: 0.3174268305301666
epoch 3500  training loss: 0.12760880589485168
epoch 3500  clean testing loss: 0.32986903190612793
epoch 3600  training loss: 0.12420017272233963
epoch 3600  clean testing loss: 0.3406756818294525
epoch 3700  training loss: 0.1209895983338356
epoch 3700  clean testing loss: 0.35008639097213745
epoch 3800  training loss: 0.11792494356632233
epoch 3800  clean testing loss: 0.35833829641342163
epoch 3900  training loss: 0.11498507112264633
epoch 3900  clean testing loss: 0.36670640110969543
epoch 4000  training loss: 0.11213169991970062
epoch 4000  clean testing loss: 0.3755384087562561

  5%|███▊                                                                            | 4815/100000 [00:11<03:57, 400.63it/s]
epoch 4100  training loss: 0.1093309223651886
epoch 4100  clean testing loss: 0.38471654057502747
epoch 4200  training loss: 0.1065952256321907
epoch 4200  clean testing loss: 0.39381301403045654
epoch 4300  training loss: 0.10381367802619934
epoch 4300  clean testing loss: 0.4040522873401642
epoch 4400  training loss: 0.10112300515174866
epoch 4400  clean testing loss: 0.41503605246543884
epoch 4500  training loss: 0.09851840883493423
epoch 4500  clean testing loss: 0.4267318844795227
epoch 4600  training loss: 0.09609419107437134
epoch 4600  clean testing loss: 0.4385516941547394
epoch 4700  training loss: 0.09388188272714615
epoch 4700  clean testing loss: 0.44980931282043457
epoch 4800  training loss: 0.09186317771673203

  6%|████▍                                                                           | 5619/100000 [00:13<03:57, 397.57it/s]
epoch 4900  training loss: 0.09001138806343079
epoch 4900  clean testing loss: 0.471057653427124
epoch 5000  training loss: 0.08830665051937103
epoch 5000  clean testing loss: 0.4812447726726532
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 5100  training loss: 0.08671995997428894
epoch 5100  clean testing loss: 0.4911137819290161
epoch 5200  training loss: 0.08524057269096375
epoch 5200  clean testing loss: 0.5005611777305603
epoch 5300  training loss: 0.08382715284824371
epoch 5300  clean testing loss: 0.5097007751464844
epoch 5400  training loss: 0.08248303830623627
epoch 5400  clean testing loss: 0.5185232758522034
epoch 5500  training loss: 0.08119896054267883
epoch 5500  clean testing loss: 0.5269005298614502
epoch 5600  training loss: 0.07996275275945663

  6%|█████▏                                                                          | 6426/100000 [00:15<03:55, 397.00it/s]
epoch 5700  training loss: 0.0787799209356308
epoch 5700  clean testing loss: 0.5431262254714966
epoch 5800  training loss: 0.07764352858066559
epoch 5800  clean testing loss: 0.5508263111114502
epoch 5900  training loss: 0.07655031234025955
epoch 5900  clean testing loss: 0.5584775805473328
epoch 6000  training loss: 0.07549679279327393
epoch 6000  clean testing loss: 0.5661975145339966
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 6100  training loss: 0.0746738463640213
epoch 6100  clean testing loss: 0.5723106861114502
epoch 6200  training loss: 0.07386232912540436
epoch 6200  clean testing loss: 0.5783640146255493
epoch 6300  training loss: 0.07306059449911118
epoch 6300  clean testing loss: 0.5844695568084717
epoch 6400  training loss: 0.07227124273777008

  7%|█████▊                                                                          | 7229/100000 [00:17<03:53, 397.32it/s]
epoch 6500  training loss: 0.07149163633584976
epoch 6500  clean testing loss: 0.5968294739723206
epoch 6600  training loss: 0.07072430849075317
epoch 6600  clean testing loss: 0.6031855344772339
epoch 6700  training loss: 0.06997253745794296
epoch 6700  clean testing loss: 0.6093718409538269
epoch 6800  training loss: 0.06922338902950287
epoch 6800  clean testing loss: 0.61613929271698
epoch 6900  training loss: 0.06849483400583267
epoch 6900  clean testing loss: 0.6229742765426636
epoch 7000  training loss: 0.06778584420681
epoch 7000  clean testing loss: 0.6302118301391602
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 7100  training loss: 0.06709271669387817
epoch 7100  clean testing loss: 0.6376414895057678
epoch 7200  training loss: 0.06641773134469986

  8%|██████▍                                                                         | 7991/100000 [00:19<03:51, 397.85it/s]
epoch 7300  training loss: 0.06575821340084076
epoch 7300  clean testing loss: 0.6530603170394897
epoch 7400  training loss: 0.0651114210486412
epoch 7400  clean testing loss: 0.6610621213912964
epoch 7500  training loss: 0.0644788146018982
epoch 7500  clean testing loss: 0.6690735220909119
epoch 7600  training loss: 0.06385494023561478
epoch 7600  clean testing loss: 0.6774892807006836
epoch 7700  training loss: 0.06324618309736252
epoch 7700  clean testing loss: 0.6856836080551147
epoch 7800  training loss: 0.06264679878950119
epoch 7800  clean testing loss: 0.6940020322799683
epoch 7900  training loss: 0.06206649914383888
epoch 7900  clean testing loss: 0.7027236819267273
epoch 8000  training loss: 0.06146937236189842
epoch 8000  clean testing loss: 0.7111690044403076

  9%|███████                                                                         | 8796/100000 [00:21<03:48, 398.45it/s]
epoch 8100  training loss: 0.060912374407052994
epoch 8100  clean testing loss: 0.7198287844657898
epoch 8200  training loss: 0.06038186699151993
epoch 8200  clean testing loss: 0.7279824018478394
epoch 8300  training loss: 0.059763360768556595
epoch 8300  clean testing loss: 0.7367457151412964
epoch 8400  training loss: 0.059205908328294754
epoch 8400  clean testing loss: 0.7453190684318542
epoch 8500  training loss: 0.058671656996011734
epoch 8500  clean testing loss: 0.7536525130271912
epoch 8600  training loss: 0.05810754373669624
epoch 8600  clean testing loss: 0.7621115446090698
epoch 8700  training loss: 0.05756928399205208
epoch 8700  clean testing loss: 0.7701160907745361
epoch 8800  training loss: 0.05703362822532654

 10%|███████▋                                                                        | 9598/100000 [00:23<03:47, 397.34it/s]
epoch 8900  training loss: 0.05650697648525238
epoch 8900  clean testing loss: 0.7859419584274292
epoch 9000  training loss: 0.056013528257608414
epoch 9000  clean testing loss: 0.7933720946311951
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 9100  training loss: 0.05557781085371971
epoch 9100  clean testing loss: 0.7997171878814697
epoch 9200  training loss: 0.05516785755753517
epoch 9200  clean testing loss: 0.8058305382728577
epoch 9300  training loss: 0.05475831404328346
epoch 9300  clean testing loss: 0.8119211792945862
epoch 9400  training loss: 0.05434928461909294
epoch 9400  clean testing loss: 0.8180089592933655
epoch 9500  training loss: 0.0539553239941597
epoch 9500  clean testing loss: 0.8237309455871582
epoch 9600  training loss: 0.05354008823633194

 10%|████████▏                                                                      | 10401/100000 [00:25<03:46, 395.91it/s]
epoch 9700  training loss: 0.053155940026044846
epoch 9700  clean testing loss: 0.8361892700195312
epoch 9800  training loss: 0.05274680629372597
epoch 9800  clean testing loss: 0.8423556685447693
epoch 9900  training loss: 0.05236037075519562
epoch 9900  clean testing loss: 0.8485348224639893
epoch 10000  training loss: 0.05197450891137123
epoch 10000  clean testing loss: 0.854536771774292
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 10100  training loss: 0.051594048738479614
epoch 10100  clean testing loss: 0.860619068145752
epoch 10200  training loss: 0.051225487142801285
epoch 10200  clean testing loss: 0.8663673996925354
epoch 10300  training loss: 0.05085199698805809
epoch 10300  clean testing loss: 0.8724318146705627
epoch 10400  training loss: 0.05048643797636032

 11%|████████▊                                                                      | 11206/100000 [00:27<03:42, 398.92it/s]
epoch 10500  training loss: 0.050127215683460236
epoch 10500  clean testing loss: 0.8837634921073914
epoch 10600  training loss: 0.04977506399154663
epoch 10600  clean testing loss: 0.8892107009887695
epoch 10700  training loss: 0.04942422732710838
epoch 10700  clean testing loss: 0.8944690227508545
epoch 10800  training loss: 0.04908066987991333
epoch 10800  clean testing loss: 0.899698793888092
epoch 10900  training loss: 0.04876983165740967
epoch 10900  clean testing loss: 0.9049586653709412
epoch 11000  training loss: 0.04841246083378792
epoch 11000  clean testing loss: 0.9096558094024658
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 11100  training loss: 0.04807785898447037
epoch 11100  clean testing loss: 0.9145517945289612
epoch 11200  training loss: 0.04775578901171684

 12%|█████████▍                                                                     | 12007/100000 [00:29<03:44, 392.56it/s]
epoch 11300  training loss: 0.04743856564164162
epoch 11300  clean testing loss: 0.9237538576126099
epoch 11400  training loss: 0.04712822660803795
epoch 11400  clean testing loss: 0.9279043674468994
epoch 11500  training loss: 0.0468502901494503
