
  1%|▌                                                                                | 690/100000 [00:01<03:11, 517.76it/s]
epoch 0  training loss: 0.5915643572807312
epoch 0  clean testing loss: 0.4934394061565399
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop0 ...
epoch 100  training loss: 0.23536165058612823
epoch 100  clean testing loss: 0.14947596192359924
epoch 200  training loss: 0.20971761643886566
epoch 200  clean testing loss: 0.12420259416103363
epoch 300  training loss: 0.19404065608978271
epoch 300  clean testing loss: 0.10877455770969391
epoch 400  training loss: 0.18660162389278412
epoch 400  clean testing loss: 0.10153231024742126
epoch 500  training loss: 0.1815708428621292
epoch 500  clean testing loss: 0.09640907496213913
epoch 600  training loss: 0.17737708985805511
epoch 600  clean testing loss: 0.09203550219535828
epoch 700  training loss: 0.17364490032196045

  2%|█▏                                                                              | 1559/100000 [00:03<03:43, 441.01it/s]
epoch 800  training loss: 0.1701979786157608
epoch 800  clean testing loss: 0.08441778272390366
epoch 900  training loss: 0.16695091128349304
epoch 900  clean testing loss: 0.08102802187204361
epoch 1000  training loss: 0.16388961672782898
epoch 1000  clean testing loss: 0.07797180861234665
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop0 ...
epoch 1100  training loss: 0.16102170944213867
epoch 1100  clean testing loss: 0.07530581951141357
epoch 1200  training loss: 0.1583307832479477
epoch 1200  clean testing loss: 0.07296150922775269
epoch 1300  training loss: 0.1557711809873581
epoch 1300  clean testing loss: 0.07080034166574478
epoch 1400  training loss: 0.15326975286006927
epoch 1400  clean testing loss: 0.06877881288528442
epoch 1500  training loss: 0.1507667601108551
epoch 1500  clean testing loss: 0.06699520349502563
epoch 1600  training loss: 0.14822348952293396

  2%|█▉                                                                              | 2391/100000 [00:05<04:05, 398.11it/s]
epoch 1700  training loss: 0.14561133086681366
epoch 1700  clean testing loss: 0.06442298740148544
epoch 1800  training loss: 0.14283138513565063
epoch 1800  clean testing loss: 0.06354846060276031
epoch 1900  training loss: 0.1397078037261963
epoch 1900  clean testing loss: 0.06355666369199753
epoch 2000  training loss: 0.13682395219802856
epoch 2000  clean testing loss: 0.06377094984054565
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop0 ...
epoch 2100  training loss: 0.13433261215686798
epoch 2100  clean testing loss: 0.06360704451799393
epoch 2200  training loss: 0.1320791393518448
epoch 2200  clean testing loss: 0.06362520903348923
epoch 2300  training loss: 0.130015566945076
epoch 2300  clean testing loss: 0.06374859809875488
epoch 2400  training loss: 0.12812457978725433

  3%|██▌                                                                             | 3198/100000 [00:07<04:04, 395.17it/s]
epoch 2500  training loss: 0.12640437483787537
epoch 2500  clean testing loss: 0.06438779085874557
epoch 2600  training loss: 0.12482765316963196
epoch 2600  clean testing loss: 0.06485787034034729
epoch 2700  training loss: 0.12342117726802826
epoch 2700  clean testing loss: 0.06522313505411148
epoch 2800  training loss: 0.12183167785406113
epoch 2800  clean testing loss: 0.06612672656774521
epoch 2900  training loss: 0.1203295961022377
epoch 2900  clean testing loss: 0.0671265721321106
epoch 3000  training loss: 0.11883276700973511
epoch 3000  clean testing loss: 0.06847093254327774
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop0 ...
epoch 3100  training loss: 0.11755175143480301
epoch 3100  clean testing loss: 0.0696854218840599
epoch 3200  training loss: 0.11623723804950714

  4%|███▏                                                                            | 4001/100000 [00:09<04:03, 393.46it/s]
epoch 3300  training loss: 0.11485540121793747
epoch 3300  clean testing loss: 0.07281310111284256
epoch 3400  training loss: 0.1134391650557518
epoch 3400  clean testing loss: 0.07468348741531372
epoch 3500  training loss: 0.11205226927995682
epoch 3500  clean testing loss: 0.07665644586086273
epoch 3600  training loss: 0.11065740883350372
epoch 3600  clean testing loss: 0.07853472232818604
epoch 3700  training loss: 0.10932308435440063
epoch 3700  clean testing loss: 0.08039282262325287
epoch 3800  training loss: 0.10803018510341644
epoch 3800  clean testing loss: 0.08219197392463684
epoch 3900  training loss: 0.1067604124546051
epoch 3900  clean testing loss: 0.08401688188314438
epoch 4000  training loss: 0.1055353507399559
epoch 4000  clean testing loss: 0.08596914261579514

  5%|███▊                                                                            | 4806/100000 [00:11<03:58, 399.08it/s]
epoch 4100  training loss: 0.104357048869133
epoch 4100  clean testing loss: 0.08792758733034134
epoch 4200  training loss: 0.10323209315538406
epoch 4200  clean testing loss: 0.08913666009902954
epoch 4300  training loss: 0.1021559089422226
epoch 4300  clean testing loss: 0.09013548493385315
epoch 4400  training loss: 0.10111180692911148
epoch 4400  clean testing loss: 0.09046445041894913
epoch 4500  training loss: 0.10006498545408249
epoch 4500  clean testing loss: 0.0904819518327713
epoch 4600  training loss: 0.09902291744947433
epoch 4600  clean testing loss: 0.09031230956315994
epoch 4700  training loss: 0.09794402122497559
epoch 4700  clean testing loss: 0.08998177945613861
epoch 4800  training loss: 0.09684234857559204

  6%|████▍                                                                           | 5606/100000 [00:13<03:57, 397.45it/s]
epoch 4900  training loss: 0.09565779566764832
epoch 4900  clean testing loss: 0.08950183540582657
epoch 5000  training loss: 0.09448894113302231
epoch 5000  clean testing loss: 0.089523084461689
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop0 ...
epoch 5100  training loss: 0.09333272278308868
epoch 5100  clean testing loss: 0.08982637524604797
epoch 5200  training loss: 0.09217548370361328
epoch 5200  clean testing loss: 0.09036058187484741
epoch 5300  training loss: 0.09101230651140213
epoch 5300  clean testing loss: 0.09109020233154297
epoch 5400  training loss: 0.08983830362558365
epoch 5400  clean testing loss: 0.09195372462272644
epoch 5500  training loss: 0.08865535259246826
epoch 5500  clean testing loss: 0.0931902527809143
epoch 5600  training loss: 0.08746740967035294

  6%|█████                                                                           | 6373/100000 [00:15<03:54, 399.46it/s]
epoch 5700  training loss: 0.08628371357917786
epoch 5700  clean testing loss: 0.09629175066947937
epoch 5800  training loss: 0.08512041717767715
epoch 5800  clean testing loss: 0.09857850521802902
epoch 5900  training loss: 0.08399476110935211
epoch 5900  clean testing loss: 0.10179325938224792
epoch 6000  training loss: 0.08276968449354172
epoch 6000  clean testing loss: 0.1049850732088089
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e-01_invop0 ...
epoch 6100  training loss: 0.0818040519952774
epoch 6100  clean testing loss: 0.10818812251091003
epoch 6200  training loss: 0.08081255108118057
epoch 6200  clean testing loss: 0.11171069741249084
epoch 6300  training loss: 0.07980155199766159
epoch 6300  clean testing loss: 0.11544819176197052
epoch 6400  training loss: 0.07880198955535889

  7%|█████▋                                                                          | 7176/100000 [00:17<03:52, 398.44it/s]
epoch 6500  training loss: 0.07781633734703064
