
  1%|▍                                                                                | 575/100000 [00:01<03:47, 436.52it/s]
epoch 0  training loss: 1.2570818662643433
epoch 0  clean testing loss: 0.48671919107437134
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 100  training loss: 0.8704696297645569
epoch 100  clean testing loss: 0.13423551619052887
epoch 200  training loss: 0.8326727747917175
epoch 200  clean testing loss: 0.10810297727584839
epoch 300  training loss: 0.7995172142982483
epoch 300  clean testing loss: 0.09687421470880508
epoch 400  training loss: 0.7789947986602783
epoch 400  clean testing loss: 0.09586760401725769
epoch 500  training loss: 0.7633978724479675
epoch 500  clean testing loss: 0.09397125989198685
epoch 600  training loss: 0.7482936382293701

  1%|█▏                                                                              | 1471/100000 [00:03<03:49, 428.78it/s]
epoch 700  training loss: 0.7320297956466675
epoch 700  clean testing loss: 0.09052819758653641
epoch 800  training loss: 0.715844452381134
epoch 800  clean testing loss: 0.0914917066693306
epoch 900  training loss: 0.6987043619155884
epoch 900  clean testing loss: 0.09503293037414551
epoch 1000  training loss: 0.6803083419799805
epoch 1000  clean testing loss: 0.10336652398109436
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 1100  training loss: 0.6596676111221313
epoch 1100  clean testing loss: 0.11705546081066132
epoch 1200  training loss: 0.6365350484848022
epoch 1200  clean testing loss: 0.13651080429553986
epoch 1300  training loss: 0.612829864025116
epoch 1300  clean testing loss: 0.15557435154914856
epoch 1400  training loss: 0.5894149541854858
epoch 1400  clean testing loss: 0.1767679750919342
epoch 1500  training loss: 0.566405177116394

  2%|█▊                                                                              | 2241/100000 [00:05<04:06, 397.15it/s]
epoch 1600  training loss: 0.5427607893943787
epoch 1600  clean testing loss: 0.22246159613132477
epoch 1700  training loss: 0.5182080268859863
epoch 1700  clean testing loss: 0.24712081253528595
epoch 1800  training loss: 0.49340251088142395
epoch 1800  clean testing loss: 0.27667465806007385
epoch 1900  training loss: 0.4711630940437317
epoch 1900  clean testing loss: 0.3084143102169037
epoch 2000  training loss: 0.4502227306365967
epoch 2000  clean testing loss: 0.3365229666233063
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise7.00e-01_invop0 ...
epoch 2100  training loss: 0.4281734824180603
epoch 2100  clean testing loss: 0.36031946539878845
epoch 2200  training loss: 0.4044296443462372
epoch 2200  clean testing loss: 0.3879077434539795
epoch 2300  training loss: 0.38047078251838684

  3%|██▍                                                                             | 3048/100000 [00:07<04:06, 393.98it/s]
epoch 2400  training loss: 0.35775378346443176
epoch 2400  clean testing loss: 0.4674586057662964
