
  1%|▍                                                                                | 520/100000 [00:01<04:11, 395.40it/s]
epoch 0  training loss: 1.4060438871383667
epoch 0  clean testing loss: 0.4783491790294647
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e+00_invop0 ...
epoch 100  training loss: 1.0399852991104126
epoch 100  clean testing loss: 0.14958232641220093
epoch 200  training loss: 1.0140186548233032
epoch 200  clean testing loss: 0.1260947287082672
epoch 300  training loss: 0.9959433674812317
epoch 300  clean testing loss: 0.11036425083875656
epoch 400  training loss: 0.9829651713371277
epoch 400  clean testing loss: 0.10627270489931107
epoch 500  training loss: 0.970731258392334

  1%|█                                                                               | 1323/100000 [00:03<04:08, 396.47it/s]
epoch 600  training loss: 0.9528627991676331
epoch 600  clean testing loss: 0.12035968899726868
epoch 700  training loss: 0.9267040491104126
epoch 700  clean testing loss: 0.12767960131168365
epoch 800  training loss: 0.900213360786438
epoch 800  clean testing loss: 0.13439427316188812
epoch 900  training loss: 0.8689827919006348
epoch 900  clean testing loss: 0.141805037856102
epoch 1000  training loss: 0.8315201997756958
epoch 1000  clean testing loss: 0.15423384308815002
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e+00_invop0 ...
epoch 1100  training loss: 0.7884353995323181
epoch 1100  clean testing loss: 0.17616887390613556
epoch 1200  training loss: 0.744183361530304
epoch 1200  clean testing loss: 0.20477885007858276
epoch 1300  training loss: 0.703508734703064

  2%|█▋                                                                              | 2127/100000 [00:05<04:06, 397.26it/s]
epoch 1400  training loss: 0.6634542942047119
epoch 1400  clean testing loss: 0.2604580223560333
epoch 1500  training loss: 0.6204736828804016
epoch 1500  clean testing loss: 0.2958775758743286
epoch 1600  training loss: 0.5780659317970276
epoch 1600  clean testing loss: 0.3440486490726471
epoch 1700  training loss: 0.5368027091026306
epoch 1700  clean testing loss: 0.3903668522834778
epoch 1800  training loss: 0.4977107644081116
epoch 1800  clean testing loss: 0.43616220355033875
epoch 1900  training loss: 0.4620489180088043
epoch 1900  clean testing loss: 0.4857883155345917
epoch 2000  training loss: 0.43275752663612366
epoch 2000  clean testing loss: 0.5397539138793945
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e+00_invop0 ...
epoch 2100  training loss: 0.4079815745353699

  3%|██▎                                                                             | 2931/100000 [00:07<04:02, 399.69it/s]
epoch 2200  training loss: 0.38597482442855835
epoch 2200  clean testing loss: 0.6522120237350464
epoch 2300  training loss: 0.3661603033542633
epoch 2300  clean testing loss: 0.7053545117378235
epoch 2400  training loss: 0.34830519556999207
epoch 2400  clean testing loss: 0.7526004910469055
epoch 2500  training loss: 0.3321993052959442
epoch 2500  clean testing loss: 0.7930480241775513
epoch 2600  training loss: 0.31764358282089233
epoch 2600  clean testing loss: 0.8315259218215942
epoch 2700  training loss: 0.30505067110061646
epoch 2700  clean testing loss: 0.8748424649238586
epoch 2800  training loss: 0.2932412326335907
epoch 2800  clean testing loss: 0.91178959608078
epoch 2900  training loss: 0.28313788771629333

  4%|██▉                                                                             | 3693/100000 [00:09<04:02, 397.95it/s]
epoch 3000  training loss: 0.2737847864627838
epoch 3000  clean testing loss: 0.9706476330757141
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise1.00e+00_invop0 ...
epoch 3100  training loss: 0.26663103699684143
epoch 3100  clean testing loss: 0.9892193675041199
epoch 3200  training loss: 0.25997602939605713
epoch 3200  clean testing loss: 1.0114796161651611
epoch 3300  training loss: 0.25401708483695984
epoch 3300  clean testing loss: 1.036180019378662
epoch 3400  training loss: 0.2487582415342331
epoch 3400  clean testing loss: 1.064194679260254
epoch 3500  training loss: 0.24410365521907806
epoch 3500  clean testing loss: 1.0942389965057373
epoch 3600  training loss: 0.2399003654718399
