
  1%|▉                                                                                                                      | 819/100000 [00:01<02:39, 623.61it/s]
epoch 0  training loss: 2.149627910422528e+16
epoch 0  clean testing loss: 1.6524481870692352e+16
epoch 100  training loss: 3129644417024.0
epoch 100  clean testing loss: 2974445207552.0
epoch 200  training loss: 29024331776.0
epoch 200  clean testing loss: 21007319040.0
epoch 300  training loss: 413681472.0
epoch 300  clean testing loss: 416807936.0
epoch 400  training loss: 229140896.0
epoch 400  clean testing loss: 223069584.0
epoch 500  training loss: 215716176.0
epoch 500  clean testing loss: 223676352.0
epoch 600  training loss: 201069296.0
epoch 600  clean testing loss: 197872720.0
epoch 700  training loss: 193348448.0
epoch 700  clean testing loss: 199051136.0
epoch 800  training loss: 182446000.0
epoch 800  clean testing loss: 182773856.0
epoch 900  training loss: 175790896.0

  2%|██▍                                                                                                                   | 2092/100000 [00:03<02:35, 630.03it/s]
epoch 1000  training loss: 165154672.0
epoch 1000  clean testing loss: 167291536.0
epoch 1100  training loss: 156154960.0
epoch 1100  clean testing loss: 157611328.0
epoch 1200  training loss: 149861120.0
epoch 1200  clean testing loss: 152275696.0
epoch 1300  training loss: 142469232.0
epoch 1300  clean testing loss: 147020720.0
epoch 1400  training loss: 134970304.0
epoch 1400  clean testing loss: 138868464.0
epoch 1500  training loss: 2912945664.0
epoch 1500  clean testing loss: 2316589824.0
epoch 1600  training loss: 122742104.0
epoch 1600  clean testing loss: 127971400.0
epoch 1700  training loss: 117038176.0
epoch 1700  clean testing loss: 121840456.0
epoch 1800  training loss: 110684376.0
epoch 1800  clean testing loss: 116029664.0
epoch 1900  training loss: 104158160.0
epoch 1900  clean testing loss: 109797312.0
epoch 2000  training loss: 324455488.0
epoch 2000  clean testing loss: 106558480.0
epoch 2100  training loss: 95708736.0
epoch 2100  clean testing loss: 101371640.0
epoch 2200  training loss: 90748552.0

  3%|███▉                                                                                                                  | 3369/100000 [00:05<02:33, 630.12it/s]
epoch 2300  training loss: 85704832.0
epoch 2300  clean testing loss: 90761008.0
epoch 2400  training loss: 80676408.0
epoch 2400  clean testing loss: 85818776.0
epoch 2500  training loss: 75933832.0
epoch 2500  clean testing loss: 81443144.0
epoch 2600  training loss: 104226704.0
epoch 2600  clean testing loss: 76131000.0
epoch 2700  training loss: 71877264.0
epoch 2700  clean testing loss: 76059144.0
epoch 2800  training loss: 68362136.0
epoch 2800  clean testing loss: 72834992.0
epoch 2900  training loss: 65056020.0
epoch 2900  clean testing loss: 69551344.0
epoch 3000  training loss: 61938592.0
epoch 3000  clean testing loss: 66035480.0
epoch 3100  training loss: 59208676.0
epoch 3100  clean testing loss: 63266624.0
epoch 3200  training loss: 56518356.0
epoch 3200  clean testing loss: 60379464.0
epoch 3300  training loss: 53494024.0
epoch 3300  clean testing loss: 57787632.0
epoch 3400  training loss: 50732952.0

  5%|█████▍                                                                                                                | 4643/100000 [00:07<02:31, 627.67it/s]
epoch 3500  training loss: 48023596.0
epoch 3500  clean testing loss: 50841188.0
epoch 3600  training loss: 45591544.0
epoch 3600  clean testing loss: 47689240.0
epoch 3700  training loss: 42455032.0
epoch 3700  clean testing loss: 46904932.0
epoch 3800  training loss: 42066248.0
epoch 3800  clean testing loss: 44026700.0
epoch 3900  training loss: 39700808.0
epoch 3900  clean testing loss: 43598564.0
epoch 4000  training loss: 37982092.0
epoch 4000  clean testing loss: 41799756.0
epoch 4100  training loss: 36065104.0
epoch 4100  clean testing loss: 39375684.0
epoch 4200  training loss: 34063512.0
epoch 4200  clean testing loss: 37271192.0
epoch 4300  training loss: 32236300.0
epoch 4300  clean testing loss: 35751276.0
epoch 4400  training loss: 30266914.0
epoch 4400  clean testing loss: 33327994.0
epoch 4500  training loss: 28442466.0
epoch 4500  clean testing loss: 31410348.0
epoch 4600  training loss: 30494698.0
epoch 4600  clean testing loss: 33054942.0
epoch 4700  training loss: 29293846.0

  6%|██████▉                                                                                                               | 5921/100000 [00:09<02:28, 631.56it/s]
epoch 4800  training loss: 28235644.0
epoch 4800  clean testing loss: 30666324.0
epoch 4900  training loss: 27269216.0
epoch 4900  clean testing loss: 29660832.0
epoch 5000  training loss: 26394622.0
epoch 5000  clean testing loss: 28761818.0
epoch 5100  training loss: 25092278.0
epoch 5100  clean testing loss: 27583250.0
epoch 5200  training loss: 24215328.0
