
  0%|▏                                                                                                                            | 130/100000 [00:01<17:28, 95.29it/s]
epoch 0  training loss: 53.096778869628906
epoch 0  clean testing loss: 50.58052444458008
epoch 100  training loss: 1.5322892665863037

  0%|▍                                                                                                                            | 320/100000 [00:03<17:23, 95.48it/s]
epoch 200  training loss: 0.47569096088409424
epoch 200  clean testing loss: 0.3142091929912567
epoch 300  training loss: 0.2309471070766449

  1%|▋                                                                                                                            | 510/100000 [00:05<17:17, 95.85it/s]
epoch 400  training loss: 0.1604490429162979
epoch 400  clean testing loss: 0.10056482255458832
epoch 500  training loss: 0.13123556971549988

  1%|▉                                                                                                                            | 700/100000 [00:07<17:24, 95.09it/s]
epoch 600  training loss: 0.11509069055318832
epoch 600  clean testing loss: 0.044280219823122025
epoch 700  training loss: 0.10544812679290771

  1%|█                                                                                                                            | 890/100000 [00:09<17:13, 95.93it/s]
epoch 800  training loss: 0.09955864399671555
epoch 800  clean testing loss: 0.024556992575526237
epoch 900  training loss: 0.09587201476097107

  1%|█▎                                                                                                                          | 1090/100000 [00:11<17:15, 95.53it/s]
epoch 1000  training loss: 0.09345875680446625
epoch 1000  clean testing loss: 0.017382429912686348
epoch 1100  training loss: 0.09178778529167175

  1%|█▌                                                                                                                          | 1280/100000 [00:13<17:13, 95.55it/s]
epoch 1200  training loss: 0.09057004004716873
epoch 1200  clean testing loss: 0.014719667844474316
epoch 1300  training loss: 0.0896427184343338

  1%|█▊                                                                                                                          | 1470/100000 [00:15<17:08, 95.80it/s]
epoch 1400  training loss: 0.08890988677740097
epoch 1400  clean testing loss: 0.013802673667669296
epoch 1500  training loss: 0.08831329643726349

  2%|██                                                                                                                          | 1660/100000 [00:17<17:06, 95.76it/s]
epoch 1600  training loss: 0.08781702071428299
epoch 1600  clean testing loss: 0.013667992316186428
epoch 1700  training loss: 0.0873960629105568

  2%|██▎                                                                                                                         | 1860/100000 [00:19<17:02, 95.99it/s]
epoch 1800  training loss: 0.08703407645225525
epoch 1800  clean testing loss: 0.013923471793532372
epoch 1900  training loss: 0.0867181047797203

  2%|██▌                                                                                                                         | 2050/100000 [00:21<17:06, 95.43it/s]
epoch 2000  training loss: 0.08643641322851181
epoch 2000  clean testing loss: 0.01436320785433054
epoch 2100  training loss: 0.08618064224720001

  2%|██▊                                                                                                                         | 2240/100000 [00:23<17:02, 95.58it/s]
epoch 2200  training loss: 0.085942342877388

  2%|███                                                                                                                         | 2430/100000 [00:25<17:00, 95.60it/s]
epoch 2300  training loss: 0.08571337163448334
epoch 2300  clean testing loss: 0.015107443556189537
epoch 2400  training loss: 0.08548764139413834

  3%|███▏                                                                                                                        | 2620/100000 [00:27<16:56, 95.76it/s]
epoch 2500  training loss: 0.08525946736335754
epoch 2500  clean testing loss: 0.015583119355142117
epoch 2600  training loss: 0.08502473682165146

  3%|███▍                                                                                                                        | 2810/100000 [00:29<16:57, 95.50it/s]
epoch 2700  training loss: 0.08478082716464996
epoch 2700  clean testing loss: 0.016052812337875366
epoch 2800  training loss: 0.08452911674976349

  3%|███▋                                                                                                                        | 3010/100000 [00:31<16:54, 95.63it/s]
epoch 2900  training loss: 0.08427374809980392
epoch 2900  clean testing loss: 0.01655082032084465
epoch 3000  training loss: 0.08402061462402344

  3%|███▉                                                                                                                        | 3200/100000 [00:33<16:50, 95.83it/s]
epoch 3100  training loss: 0.08382054418325424
epoch 3100  clean testing loss: 0.01700952835381031
epoch 3200  training loss: 0.08362100273370743

  3%|████▏                                                                                                                       | 3390/100000 [00:35<16:48, 95.76it/s]
epoch 3300  training loss: 0.08342206478118896
epoch 3300  clean testing loss: 0.01741142012178898
epoch 3400  training loss: 0.08322182297706604

  4%|████▍                                                                                                                       | 3580/100000 [00:37<16:48, 95.59it/s]
epoch 3500  training loss: 0.08301983773708344
epoch 3500  clean testing loss: 0.01783609576523304
epoch 3600  training loss: 0.08281486481428146

  4%|████▋                                                                                                                       | 3770/100000 [00:39<16:48, 95.45it/s]
epoch 3700  training loss: 0.0826069712638855
epoch 3700  clean testing loss: 0.018322939053177834
epoch 3800  training loss: 0.08239636570215225

  4%|████▉                                                                                                                       | 3970/100000 [00:41<16:43, 95.71it/s]
epoch 3900  training loss: 0.08218823373317719
epoch 3900  clean testing loss: 0.018900200724601746
epoch 4000  training loss: 0.08198309689760208

  4%|█████▏                                                                                                                      | 4160/100000 [00:43<16:43, 95.50it/s]
epoch 4100  training loss: 0.08178713172674179
epoch 4100  clean testing loss: 0.01958366110920906
epoch 4200  training loss: 0.08159781247377396

  4%|█████▍                                                                                                                      | 4350/100000 [00:45<16:38, 95.81it/s]
epoch 4300  training loss: 0.08151862025260925
epoch 4300  clean testing loss: 0.02038116194307804
epoch 4400  training loss: 0.08125615864992142

  5%|█████▋                                                                                                                      | 4540/100000 [00:47<16:39, 95.55it/s]
epoch 4500  training loss: 0.08109640330076218

  5%|█████▊                                                                                                                      | 4730/100000 [00:49<16:37, 95.47it/s]
epoch 4600  training loss: 0.08094409853219986
epoch 4600  clean testing loss: 0.02134886011481285
epoch 4700  training loss: 0.08079017698764801

  5%|██████                                                                                                                      | 4930/100000 [00:51<16:37, 95.31it/s]
epoch 4800  training loss: 0.08212042599916458
epoch 4800  clean testing loss: 0.023233911022543907
epoch 4900  training loss: 0.08046795427799225

  5%|██████▎                                                                                                                     | 5120/100000 [00:53<16:40, 94.84it/s]
epoch 5000  training loss: 0.08029185980558395
epoch 5000  clean testing loss: 0.022306255996227264
epoch 5100  training loss: 0.08011048287153244

  5%|██████▌                                                                                                                     | 5310/100000 [00:55<16:35, 95.08it/s]
epoch 5200  training loss: 0.08036547899246216
epoch 5200  clean testing loss: 0.023385437205433846
epoch 5300  training loss: 0.07969186455011368

