
  0%|▎                                                                                 | 340/100000 [00:01<06:06, 271.57it/s]
epoch 0  training loss: 0.5654635429382324
epoch 0  clean testing loss: 0.49483150243759155
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 100  training loss: 0.4978765547275543
epoch 100  clean testing loss: 0.4270569682121277
epoch 200  training loss: 0.4618738889694214
epoch 200  clean testing loss: 0.38389304280281067
epoch 300  training loss: 0.26485225558280945
epoch 300  clean testing loss: 0.17384560406208038
epoch 400  training loss: 0.16196385025978088

  1%|▋                                                                                 | 909/100000 [00:03<05:56, 277.87it/s]
epoch 500  training loss: 0.1551852524280548
epoch 500  clean testing loss: 0.08200914412736893
epoch 600  training loss: 0.14868861436843872
epoch 600  clean testing loss: 0.07710718363523483
epoch 700  training loss: 0.14285743236541748
epoch 700  clean testing loss: 0.07310083508491516
epoch 800  training loss: 0.13829538226127625
epoch 800  clean testing loss: 0.07021164894104004
epoch 900  training loss: 0.1351412832736969

  1%|█▏                                                                               | 1450/100000 [00:05<05:56, 276.44it/s]
epoch 1000  training loss: 0.13287827372550964
epoch 1000  clean testing loss: 0.066539466381073
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 1100  training loss: 0.13099876046180725
epoch 1100  clean testing loss: 0.06534823030233383
epoch 1200  training loss: 0.12946470081806183
epoch 1200  clean testing loss: 0.06451860070228577
epoch 1300  training loss: 0.12825824320316315
epoch 1300  clean testing loss: 0.0643891915678978
epoch 1400  training loss: 0.1265336275100708
epoch 1400  clean testing loss: 0.06259602308273315
epoch 1500  training loss: 0.12509192526340485

  2%|█▋                                                                               | 2017/100000 [00:07<05:59, 272.83it/s]
epoch 1600  training loss: 0.12363506108522415
epoch 1600  clean testing loss: 0.06061959266662598
epoch 1700  training loss: 0.1220405325293541
epoch 1700  clean testing loss: 0.05876484140753746
epoch 1800  training loss: 0.12019084393978119
epoch 1800  clean testing loss: 0.05767498165369034
epoch 1900  training loss: 0.11855319887399673
epoch 1900  clean testing loss: 0.05644827336072922
epoch 2000  training loss: 0.11708556115627289
epoch 2000  clean testing loss: 0.05505594238638878

  3%|██                                                                               | 2556/100000 [00:09<05:49, 278.75it/s]
epoch 2100  training loss: 0.11544434726238251
epoch 2100  clean testing loss: 0.05473696440458298
epoch 2200  training loss: 0.11365119367837906
epoch 2200  clean testing loss: 0.05285826325416565
epoch 2300  training loss: 0.11228582262992859
epoch 2300  clean testing loss: 0.05253182351589203
epoch 2400  training loss: 0.11080125719308853
epoch 2400  clean testing loss: 0.05085490643978119
epoch 2500  training loss: 0.10945001989603043
epoch 2500  clean testing loss: 0.05033889785408974
epoch 2600  training loss: 0.10817421227693558

  3%|██▌                                                                              | 3122/100000 [00:11<05:49, 276.86it/s]
epoch 2700  training loss: 0.10716603696346283
epoch 2700  clean testing loss: 0.04855077713727951
epoch 2800  training loss: 0.10618960857391357
epoch 2800  clean testing loss: 0.04871257394552231
epoch 2900  training loss: 0.10512383282184601
epoch 2900  clean testing loss: 0.04793776199221611
epoch 3000  training loss: 0.10431551188230515
epoch 3000  clean testing loss: 0.04746030271053314
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 3100  training loss: 0.1036677286028862

  4%|██▉                                                                              | 3578/100000 [00:13<05:47, 277.11it/s]
epoch 3200  training loss: 0.10309293866157532
epoch 3200  clean testing loss: 0.046605609357357025
epoch 3300  training loss: 0.10254236310720444
epoch 3300  clean testing loss: 0.04632225260138512
epoch 3400  training loss: 0.10212389379739761
epoch 3400  clean testing loss: 0.04592050611972809
epoch 3500  training loss: 0.10168270021677017
epoch 3500  clean testing loss: 0.046678636223077774
epoch 3600  training loss: 0.1010463610291481

  4%|███▍                                                                             | 4227/100000 [00:15<05:47, 275.27it/s]
epoch 3700  training loss: 0.10050550848245621
epoch 3700  clean testing loss: 0.04550697281956673
epoch 3800  training loss: 0.10017730295658112
epoch 3800  clean testing loss: 0.04582780599594116
epoch 3900  training loss: 0.09964421391487122
epoch 3900  clean testing loss: 0.045038048177957535
epoch 4000  training loss: 0.09927606582641602
epoch 4000  clean testing loss: 0.044796206057071686
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0 ...
epoch 4100  training loss: 0.09904056787490845
epoch 4100  clean testing loss: 0.044543374329805374
epoch 4200  training loss: 0.09868954122066498

  5%|███▊                                                                             | 4763/100000 [00:17<05:44, 276.33it/s]
