
  0%|▎                                                                                 | 424/100000 [00:01<05:13, 317.19it/s]
epoch 0  training loss: 0.5765089392662048
epoch 0  clean testing loss: 0.46372517943382263
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.001 ...
epoch 100  training loss: 0.1533011794090271
epoch 100  clean testing loss: 0.06901312619447708
epoch 200  training loss: 0.13983458280563354
epoch 200  clean testing loss: 0.05715438351035118
epoch 300  training loss: 0.1371956467628479
epoch 300  clean testing loss: 0.05567658320069313
epoch 400  training loss: 0.11698424071073532

  1%|▊                                                                                | 1054/100000 [00:03<05:06, 322.32it/s]
epoch 500  training loss: 0.10687264055013657
epoch 500  clean testing loss: 0.04123664274811745
epoch 600  training loss: 0.12460269033908844
epoch 600  clean testing loss: 0.049629710614681244
epoch 700  training loss: 0.10569864511489868
epoch 700  clean testing loss: 0.041100312024354935
epoch 800  training loss: 0.10263266414403915
epoch 800  clean testing loss: 0.041879791766405106
epoch 900  training loss: 0.10006701946258545
epoch 900  clean testing loss: 0.040985483676195145
epoch 1000  training loss: 0.10136998444795609
epoch 1000  clean testing loss: 0.04073585569858551
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.001 ...
epoch 1100  training loss: 0.09827473759651184

  2%|█▍                                                                               | 1710/100000 [00:05<05:07, 319.71it/s]
epoch 1200  training loss: 0.10053056478500366
epoch 1200  clean testing loss: 0.041102852672338486
epoch 1300  training loss: 0.09756680577993393
epoch 1300  clean testing loss: 0.060435857623815536
epoch 1400  training loss: 0.09398467093706131
epoch 1400  clean testing loss: 0.045830920338630676
epoch 1500  training loss: 0.09606783092021942
epoch 1500  clean testing loss: 0.04225737228989601
epoch 1600  training loss: 0.09541391581296921
epoch 1600  clean testing loss: 0.04235152527689934
epoch 1700  training loss: 0.09679410606622696

  2%|█▊                                                                               | 2281/100000 [00:07<05:55, 274.60it/s]
epoch 1800  training loss: 0.0979551300406456
epoch 1800  clean testing loss: 0.05692838504910469
epoch 1900  training loss: 0.09476110339164734
epoch 1900  clean testing loss: 0.04480623081326485
epoch 2000  training loss: 0.09232457727193832
epoch 2000  clean testing loss: 0.04338601976633072
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.001 ...
epoch 2100  training loss: 0.08934137225151062
epoch 2100  clean testing loss: 0.04546472430229187
epoch 2200  training loss: 0.0920647531747818
epoch 2200  clean testing loss: 0.05557217448949814
epoch 2300  training loss: 0.08918239176273346

  3%|██▎                                                                              | 2820/100000 [00:09<05:52, 275.99it/s]
epoch 2400  training loss: 0.08779483288526535
epoch 2400  clean testing loss: 0.044429630041122437
epoch 2500  training loss: 0.08886377513408661
epoch 2500  clean testing loss: 0.055347852408885956
epoch 2600  training loss: 0.08760025352239609
epoch 2600  clean testing loss: 0.053644634783267975
epoch 2700  training loss: 0.08501427620649338
epoch 2700  clean testing loss: 0.04661155864596367
epoch 2800  training loss: 0.16635683178901672

  3%|██▊                                                                              | 3474/100000 [00:11<04:59, 321.84it/s]
epoch 2900  training loss: 0.0873483270406723
epoch 2900  clean testing loss: 0.046042200177907944
epoch 3000  training loss: 0.08621266484260559
epoch 3000  clean testing loss: 0.05063951015472412
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.001 ...
epoch 3100  training loss: 0.08249863982200623
epoch 3100  clean testing loss: 0.04731575399637222
epoch 3200  training loss: 0.0814957469701767
epoch 3200  clean testing loss: 0.05392814055085182
epoch 3300  training loss: 0.08192677795886993
epoch 3300  clean testing loss: 0.04756537824869156
epoch 3400  training loss: 0.0794486477971077
epoch 3400  clean testing loss: 0.051877040416002274
epoch 3500  training loss: 0.0798749327659607

  4%|███▎                                                                             | 4094/100000 [00:13<05:03, 316.39it/s]
epoch 3600  training loss: 0.08043181896209717
epoch 3600  clean testing loss: 0.047483064234256744
epoch 3700  training loss: 0.07966113090515137
epoch 3700  clean testing loss: 0.061978161334991455
epoch 3800  training loss: 0.07948316633701324
epoch 3800  clean testing loss: 0.048311080783605576
