
  0%|▏                                                                                 | 170/100000 [00:01<07:59, 208.28it/s]
epoch 0  training loss: 0.6142036318778992
epoch 0  clean testing loss: 0.4844425916671753
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.0001 ...
epoch 100  training loss: 0.4910978376865387
epoch 100  clean testing loss: 0.40470531582832336
epoch 200  training loss: 0.2457597553730011

  1%|▌                                                                                 | 709/100000 [00:03<05:58, 276.71it/s]
epoch 300  training loss: 0.17942401766777039
epoch 300  clean testing loss: 0.09429387003183365
epoch 400  training loss: 0.1726042479276657
epoch 400  clean testing loss: 0.0868421345949173
epoch 500  training loss: 0.16745983064174652
epoch 500  clean testing loss: 0.08116264641284943
epoch 600  training loss: 0.1636953353881836
epoch 600  clean testing loss: 0.07744885981082916
epoch 700  training loss: 0.1606316864490509

  1%|▊                                                                                 | 999/100000 [00:04<05:53, 279.76it/s]
epoch 800  training loss: 0.15802551805973053
epoch 800  clean testing loss: 0.07314151525497437
epoch 900  training loss: 0.15604563057422638
epoch 900  clean testing loss: 0.07227446138858795
epoch 1000  training loss: 0.1530638188123703
epoch 1000  clean testing loss: 0.06876011937856674


  1%|▊                                                                               | 1056/100000 [00:25<3:32:56,  7.74it/s]
epoch 1100  training loss: 0.1511216163635254
epoch 1100  clean testing loss: 0.06683778017759323
epoch 1200  training loss: 0.1494666188955307

  2%|█▎                                                                               | 1546/100000 [00:27<06:55, 237.06it/s]
epoch 1300  training loss: 0.14779871702194214
epoch 1300  clean testing loss: 0.06370870769023895
epoch 1400  training loss: 0.14618204534053802
epoch 1400  clean testing loss: 0.06320783495903015
epoch 1500  training loss: 0.14483967423439026
epoch 1500  clean testing loss: 0.061166029423475266
epoch 1600  training loss: 0.14384762942790985

  2%|█▋                                                                               | 2051/100000 [00:29<06:44, 242.41it/s]
epoch 1700  training loss: 0.1425667405128479
epoch 1700  clean testing loss: 0.05810600519180298
epoch 1800  training loss: 0.14149807393550873
epoch 1800  clean testing loss: 0.05889769643545151
epoch 1900  training loss: 0.14005810022354126
epoch 1900  clean testing loss: 0.05610230565071106
epoch 2000  training loss: 0.1390969604253769
epoch 2000  clean testing loss: 0.05601444095373154

  3%|██                                                                               | 2533/100000 [00:31<06:38, 244.40it/s]
epoch 2100  training loss: 0.13881532847881317
epoch 2100  clean testing loss: 0.05442970246076584
epoch 2200  training loss: 0.1379697322845459
epoch 2200  clean testing loss: 0.05384659394621849
epoch 2300  training loss: 0.1367565542459488
epoch 2300  clean testing loss: 0.05322954058647156
epoch 2400  training loss: 0.13597701489925385
epoch 2400  clean testing loss: 0.052682358771562576
epoch 2500  training loss: 0.13534779846668243

  3%|██▍                                                                              | 3012/100000 [00:33<06:45, 239.13it/s]
epoch 2600  training loss: 0.13459686934947968
