
  0%|▎                                                                                 | 368/100000 [00:01<06:02, 274.50it/s]
epoch 0  training loss: 0.5445986390113831
epoch 0  clean testing loss: 0.46129292249679565
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 100  training loss: 0.5199151039123535
epoch 100  clean testing loss: 0.4287533164024353
epoch 200  training loss: 0.5097463130950928
epoch 200  clean testing loss: 0.4181957542896271
epoch 300  training loss: 0.4994249641895294
epoch 300  clean testing loss: 0.408920556306839
epoch 400  training loss: 0.48905259370803833

  1%|▋                                                                                 | 910/100000 [00:03<06:02, 273.30it/s]
epoch 500  training loss: 0.47956228256225586
epoch 500  clean testing loss: 0.39364516735076904
epoch 600  training loss: 0.47094252705574036
epoch 600  clean testing loss: 0.38770803809165955
epoch 700  training loss: 0.4623851478099823
epoch 700  clean testing loss: 0.3813362717628479
epoch 800  training loss: 0.45199525356292725
epoch 800  clean testing loss: 0.37255969643592834
epoch 900  training loss: 0.4373747706413269

  1%|█▏                                                                               | 1476/100000 [00:05<05:56, 276.71it/s]
epoch 1000  training loss: 0.4153270125389099
epoch 1000  clean testing loss: 0.339856892824173
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 1100  training loss: 0.3806309401988983
epoch 1100  clean testing loss: 0.3075185716152191
epoch 1200  training loss: 0.33051058650016785
epoch 1200  clean testing loss: 0.25985658168792725
epoch 1300  training loss: 0.26702848076820374
epoch 1300  clean testing loss: 0.19801615178585052
epoch 1400  training loss: 0.21041569113731384
epoch 1400  clean testing loss: 0.1417236328125
epoch 1500  training loss: 0.17918506264686584

  2%|█▌                                                                               | 1987/100000 [00:07<05:51, 278.66it/s]
epoch 1600  training loss: 0.1688135415315628
epoch 1600  clean testing loss: 0.09440015256404877
epoch 1700  training loss: 0.16556455194950104
epoch 1700  clean testing loss: 0.08890259265899658
epoch 1800  training loss: 0.1638905107975006
epoch 1800  clean testing loss: 0.08607851713895798
epoch 1900  training loss: 0.16233524680137634
epoch 1900  clean testing loss: 0.08403761684894562
epoch 2000  training loss: 0.16111548244953156
epoch 2000  clean testing loss: 0.0823659896850586

  2%|██                                                                               | 2488/100000 [00:09<06:36, 245.63it/s]
epoch 2100  training loss: 0.1600402295589447
epoch 2100  clean testing loss: 0.08109667152166367
epoch 2200  training loss: 0.15888667106628418
epoch 2200  clean testing loss: 0.07979190349578857
epoch 2300  training loss: 0.15771564841270447
epoch 2300  clean testing loss: 0.07847149670124054
epoch 2400  training loss: 0.15657883882522583
epoch 2400  clean testing loss: 0.07710165530443192
epoch 2500  training loss: 0.15546588599681854

  3%|██▍                                                                              | 2970/100000 [00:11<06:33, 246.42it/s]
epoch 2600  training loss: 0.15432675182819366
epoch 2600  clean testing loss: 0.07456982880830765
epoch 2700  training loss: 0.1531972736120224
epoch 2700  clean testing loss: 0.07338707149028778
epoch 2800  training loss: 0.15212517976760864
epoch 2800  clean testing loss: 0.07229585945606232
epoch 2900  training loss: 0.15103471279144287
epoch 2900  clean testing loss: 0.07114337384700775
epoch 3000  training loss: 0.1499168574810028
epoch 3000  clean testing loss: 0.0700276643037796

  3%|██▊                                                                              | 3451/100000 [00:13<06:34, 244.61it/s]
epoch 3100  training loss: 0.1490456908941269
epoch 3100  clean testing loss: 0.06910277903079987
epoch 3200  training loss: 0.14819394052028656
epoch 3200  clean testing loss: 0.06826907396316528
epoch 3300  training loss: 0.14733931422233582
epoch 3300  clean testing loss: 0.06742125004529953
