
  0%|▏                                                                                 | 240/100000 [00:01<08:30, 195.51it/s]
epoch 0  training loss: 0.5926118493080139
epoch 0  clean testing loss: 4.269432544708252
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.01 ...
epoch 100  training loss: 0.15004342794418335
epoch 100  clean testing loss: 0.07305193692445755
epoch 200  training loss: 0.14900846779346466
epoch 200  clean testing loss: 0.12565305829048157
epoch 300  training loss: 0.12857401371002197

  1%|▌                                                                                 | 634/100000 [00:03<08:20, 198.60it/s]
epoch 400  training loss: 0.1546669751405716
epoch 400  clean testing loss: 0.07076915353536606
epoch 500  training loss: 0.16897456347942352
epoch 500  clean testing loss: 0.09331420809030533
epoch 600  training loss: 0.14719659090042114

  1%|▊                                                                                | 1023/100000 [00:05<08:49, 186.99it/s]
epoch 700  training loss: 0.11476165056228638
epoch 700  clean testing loss: 0.04895000532269478
epoch 800  training loss: 0.13872399926185608
epoch 800  clean testing loss: 0.08868861943483353
epoch 900  training loss: 0.12753039598464966
epoch 900  clean testing loss: 0.06518873572349548
epoch 1000  training loss: 0.11056657135486603
epoch 1000  clean testing loss: 0.045705005526542664

  1%|█▏                                                                               | 1416/100000 [00:07<08:28, 193.79it/s]
epoch 1100  training loss: 0.13509100675582886
epoch 1100  clean testing loss: 0.05274214595556259
epoch 1200  training loss: 0.14454588294029236
epoch 1200  clean testing loss: 0.07274261862039566
epoch 1300  training loss: 0.11199674010276794
epoch 1300  clean testing loss: 0.0428941510617733
epoch 1400  training loss: 0.12606996297836304

  2%|█▍                                                                               | 1804/100000 [00:09<08:37, 189.67it/s]
epoch 1500  training loss: 0.1317756325006485
epoch 1500  clean testing loss: 0.05447791889309883
epoch 1600  training loss: 0.11050672084093094
epoch 1600  clean testing loss: 0.05782260373234749
epoch 1700  training loss: 0.13060618937015533
epoch 1700  clean testing loss: 0.07162181288003922
epoch 1800  training loss: 0.12054364383220673

  2%|█▊                                                                               | 2172/100000 [00:11<08:26, 193.17it/s]
epoch 1900  training loss: 0.11383020132780075
epoch 1900  clean testing loss: 0.04592835530638695
epoch 2000  training loss: 0.10482867062091827
epoch 2000  clean testing loss: 0.03596161678433418
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.01 ...
epoch 2100  training loss: 0.12239105254411697
epoch 2100  clean testing loss: 0.05484054237604141
epoch 2200  training loss: 0.12913833558559418

  3%|██                                                                               | 2579/100000 [00:13<08:34, 189.43it/s]
epoch 2300  training loss: 0.12163934111595154
epoch 2300  clean testing loss: 0.05368426814675331
epoch 2400  training loss: 0.11071202903985977
epoch 2400  clean testing loss: 0.04190773889422417
epoch 2500  training loss: 0.11381612718105316
epoch 2500  clean testing loss: 0.040168773382902145
epoch 2600  training loss: 0.11446527391672134

  3%|██▍                                                                              | 2964/100000 [00:15<08:20, 194.05it/s]
epoch 2700  training loss: 0.10365521907806396
epoch 2700  clean testing loss: 0.03469960764050484
epoch 2800  training loss: 0.11031230539083481
epoch 2800  clean testing loss: 0.04884714260697365
epoch 2900  training loss: 0.1085239127278328

  3%|██▋                                                                              | 3348/100000 [00:17<08:16, 194.58it/s]
epoch 3000  training loss: 0.10159070789813995
epoch 3000  clean testing loss: 0.032710880041122437
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.01 ...
epoch 3100  training loss: 0.0991327092051506
epoch 3100  clean testing loss: 0.03504157066345215
epoch 3200  training loss: 0.11089784651994705
epoch 3200  clean testing loss: 0.03762497007846832
epoch 3300  training loss: 0.09732320159673691

  4%|███                                                                              | 3733/100000 [00:19<08:13, 195.10it/s]
epoch 3400  training loss: 0.09557153284549713
epoch 3400  clean testing loss: 0.03363702446222305
epoch 3500  training loss: 0.09486419707536697
epoch 3500  clean testing loss: 0.037385888397693634
epoch 3600  training loss: 0.09620825946331024
epoch 3600  clean testing loss: 0.033258166164159775
epoch 3700  training loss: 0.09413107484579086

  4%|███▎                                                                             | 4120/100000 [00:21<08:17, 192.56it/s]
epoch 3800  training loss: 0.10616141557693481
epoch 3800  clean testing loss: 0.04433197155594826
epoch 3900  training loss: 0.10011213272809982
epoch 3900  clean testing loss: 0.04101582616567612
epoch 4000  training loss: 0.09793410450220108
epoch 4000  clean testing loss: 0.037970077246427536
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.01 ...
epoch 4100  training loss: 0.14728999137878418

  5%|███▋                                                                             | 4510/100000 [00:23<08:06, 196.24it/s]
epoch 4200  training loss: 0.11492523550987244
epoch 4200  clean testing loss: 0.044955600053071976
epoch 4300  training loss: 0.11280812323093414
epoch 4300  clean testing loss: 0.04385226592421532
epoch 4400  training loss: 0.10369450598955154
epoch 4400  clean testing loss: 0.03830832988023758
epoch 4500  training loss: 0.10235394537448883

  5%|███▉                                                                             | 4903/100000 [00:25<08:10, 193.92it/s]
epoch 4600  training loss: 0.10255485773086548
epoch 4600  clean testing loss: 0.04020176827907562
epoch 4700  training loss: 0.10016763210296631
epoch 4700  clean testing loss: 0.037576571106910706
epoch 4800  training loss: 0.10005034506320953
epoch 4800  clean testing loss: 0.0370715968310833
epoch 4900  training loss: 0.1018683910369873

  5%|████▎                                                                            | 5292/100000 [00:27<08:02, 196.42it/s]
epoch 5000  training loss: 0.09857305884361267
epoch 5000  clean testing loss: 0.03498302027583122
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr0.01 ...
epoch 5100  training loss: 0.09758998453617096
epoch 5100  clean testing loss: 0.03718167170882225
epoch 5200  training loss: 0.09707344323396683
epoch 5200  clean testing loss: 0.034724071621894836
epoch 5300  training loss: 0.11041399091482162

  6%|████▌                                                                            | 5677/100000 [00:29<08:10, 192.16it/s]
epoch 5400  training loss: 0.09548823535442352
epoch 5400  clean testing loss: 0.035271547734737396
epoch 5500  training loss: 0.09475620090961456
epoch 5500  clean testing loss: 0.03413641080260277
epoch 5600  training loss: 0.09437026083469391
epoch 5600  clean testing loss: 0.03490804135799408
epoch 5700  training loss: 0.09269816428422928

  6%|████▉                                                                            | 6070/100000 [00:31<07:59, 195.94it/s]
epoch 5800  training loss: 0.09099326282739639
epoch 5800  clean testing loss: 0.034567371010780334
epoch 5900  training loss: 0.09300157427787781
epoch 5900  clean testing loss: 0.03624532371759415
epoch 6000  training loss: 0.09514087438583374
epoch 6000  clean testing loss: 0.03706859052181244

  6%|█████▏                                                                           | 6458/100000 [00:33<08:08, 191.32it/s]
epoch 6100  training loss: 0.09071554988622665
epoch 6100  clean testing loss: 0.03566858172416687
epoch 6200  training loss: 0.09063536673784256
epoch 6200  clean testing loss: 0.036011140793561935
epoch 6300  training loss: 0.08890939503908157
epoch 6300  clean testing loss: 0.03536984324455261
epoch 6400  training loss: 0.08827809989452362

  7%|█████▌                                                                           | 6844/100000 [00:35<08:09, 190.16it/s]
epoch 6500  training loss: 0.08722508698701859
epoch 6500  clean testing loss: 0.035022638738155365
epoch 6600  training loss: 0.08610697835683823
epoch 6600  clean testing loss: 0.03787932172417641
epoch 6700  training loss: 0.15676315128803253
epoch 6700  clean testing loss: 0.07317091524600983
epoch 6800  training loss: 0.09346359968185425

  7%|█████▊                                                                           | 7235/100000 [00:37<07:51, 196.90it/s]
epoch 6900  training loss: 0.08891113847494125
epoch 6900  clean testing loss: 0.03750382736325264
epoch 7000  training loss: 0.09167836606502533
