
  0%|                                                                                                 | 0/100000 [00:00<?, ?it/s]
epoch 0  training loss: 0.6140468716621399
epoch 0  clean testing loss: 7.701396942138672
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.15710017085075378
epoch 100  clean testing loss: 0.06183367222547531
epoch 200  training loss: 0.14207997918128967
epoch 200  clean testing loss: 0.036790892481803894
epoch 300  training loss: 0.122014619410038
epoch 300  clean testing loss: 0.038431573659181595
epoch 400  training loss: 0.14316235482692719
epoch 400  clean testing loss: 0.04251594841480255
epoch 500  training loss: 0.1329485923051834

  1%|▍                                                                                     | 532/100000 [00:03<05:10, 320.83it/s]
epoch 600  training loss: 0.19803772866725922
epoch 600  clean testing loss: 0.05715177580714226
epoch 700  training loss: 0.1809358298778534
epoch 700  clean testing loss: 0.05575839430093765
epoch 800  training loss: 0.11950656026601791
epoch 800  clean testing loss: 0.04262996464967728
epoch 900  training loss: 0.10933330655097961
epoch 900  clean testing loss: 0.03665287047624588
epoch 1000  training loss: 0.1105244979262352
epoch 1000  clean testing loss: 0.03645629435777664
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.15705759823322296

  1%|▉                                                                                    | 1164/100000 [00:05<05:29, 299.82it/s]
epoch 1200  training loss: 0.14095425605773926
epoch 1200  clean testing loss: 0.04492078721523285
epoch 1300  training loss: 0.12211205810308456
epoch 1300  clean testing loss: 0.049509044736623764
epoch 1400  training loss: 0.11347458511590958
epoch 1400  clean testing loss: 0.03688521683216095
epoch 1500  training loss: 0.10593065619468689
epoch 1500  clean testing loss: 0.03358620032668114
epoch 1600  training loss: 0.10735245794057846
epoch 1600  clean testing loss: 0.03255027160048485
epoch 1700  training loss: 0.14624392986297607
epoch 1700  clean testing loss: 0.06215986981987953
epoch 1800  training loss: 0.10748979449272156

  2%|█▌                                                                                   | 1793/100000 [00:07<05:00, 326.74it/s]
epoch 1900  training loss: 0.11646126210689545
epoch 1900  clean testing loss: 0.03893175348639488
epoch 2000  training loss: 0.11877309530973434
epoch 2000  clean testing loss: 0.034695204347372055
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.11202263087034225
epoch 2100  clean testing loss: 0.033794570714235306
epoch 2200  training loss: 0.15770100057125092
epoch 2200  clean testing loss: 0.060728318989276886
epoch 2300  training loss: 0.10119196772575378
epoch 2300  clean testing loss: 0.033497218042612076
epoch 2400  training loss: 0.12496426701545715


  3%|██▋                                                                                  | 3117/100000 [00:11<04:59, 323.73it/s]
epoch 2500  training loss: 0.11403436958789825
epoch 2500  clean testing loss: 0.03846946358680725
epoch 2600  training loss: 0.10715469717979431
epoch 2600  clean testing loss: 0.03799650818109512
epoch 2700  training loss: 0.1069694310426712
epoch 2700  clean testing loss: 0.036238886415958405
epoch 2800  training loss: 0.10385100543498993
epoch 2800  clean testing loss: 0.038974110037088394
epoch 2900  training loss: 0.10800232738256454
epoch 2900  clean testing loss: 0.045975688844919205
epoch 3000  training loss: 0.09946396201848984
epoch 3000  clean testing loss: 0.03682183101773262
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 3100  training loss: 0.09540938585996628

  4%|███▏                                                                                 | 3748/100000 [00:13<04:54, 326.67it/s]
epoch 3200  training loss: 0.09413724392652512
epoch 3200  clean testing loss: 0.03814456984400749
epoch 3300  training loss: 0.09896324574947357
epoch 3300  clean testing loss: 0.03981897979974747
epoch 3400  training loss: 0.09317953884601593
epoch 3400  clean testing loss: 0.035371843725442886
epoch 3500  training loss: 0.09236860275268555
epoch 3500  clean testing loss: 0.036554452031850815
epoch 3600  training loss: 0.09984882175922394
epoch 3600  clean testing loss: 0.04013960435986519
epoch 3700  training loss: 0.09813778847455978

  4%|███▊                                                                                 | 4414/100000 [00:15<04:52, 326.30it/s]
epoch 3800  training loss: 0.08795773983001709
epoch 3800  clean testing loss: 0.037401385605335236
epoch 3900  training loss: 0.08541551977396011
epoch 3900  clean testing loss: 0.037533193826675415
epoch 4000  training loss: 0.11439082026481628
epoch 4000  clean testing loss: 0.04245404899120331
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 4100  training loss: 0.0986088439822197
epoch 4100  clean testing loss: 0.0398348867893219
epoch 4200  training loss: 0.0940813198685646
epoch 4200  clean testing loss: 0.03831519931554794
epoch 4300  training loss: 0.09342765808105469
epoch 4300  clean testing loss: 0.03627472370862961
epoch 4400  training loss: 0.08688744902610779

  5%|████▎                                                                                | 5076/100000 [00:17<04:53, 323.40it/s]
epoch 4500  training loss: 0.09518256783485413
epoch 4500  clean testing loss: 0.04845299944281578
epoch 4600  training loss: 0.0882217139005661
epoch 4600  clean testing loss: 0.03972369804978371
epoch 4700  training loss: 0.08772049844264984
epoch 4700  clean testing loss: 0.040959347039461136
epoch 4800  training loss: 0.08190692216157913
epoch 4800  clean testing loss: 0.040034219622612
epoch 4900  training loss: 0.08118472993373871
epoch 4900  clean testing loss: 0.03877269849181175
epoch 5000  training loss: 0.08593982458114624
epoch 5000  clean testing loss: 0.03666061908006668

  6%|████▊                                                                                | 5706/100000 [00:19<04:49, 325.88it/s]
epoch 5100  training loss: 0.08603131771087646
epoch 5100  clean testing loss: 0.036560844630002975
epoch 5200  training loss: 0.08469697833061218
epoch 5200  clean testing loss: 0.04164096713066101
epoch 5300  training loss: 0.08227116614580154
epoch 5300  clean testing loss: 0.037471070885658264
epoch 5400  training loss: 0.09612944722175598
