
  0%|▎                                                                                 | 319/100000 [00:01<06:33, 253.07it/s]
epoch 0  training loss: 0.6105605959892273
epoch 0  clean testing loss: 3.7066900730133057
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.13405734300613403
epoch 100  clean testing loss: 0.0559706836938858
epoch 200  training loss: 0.14008547365665436
epoch 200  clean testing loss: 0.054312653839588165
epoch 300  training loss: 0.13015776872634888

  1%|▋                                                                                 | 827/100000 [00:03<06:28, 255.07it/s]
epoch 400  training loss: 0.12046866118907928
epoch 400  clean testing loss: 0.0517461821436882
epoch 500  training loss: 0.10232524573802948
epoch 500  clean testing loss: 0.03432824835181236
epoch 600  training loss: 0.10423398017883301
epoch 600  clean testing loss: 0.058196377009153366
epoch 700  training loss: 0.10634386539459229
epoch 700  clean testing loss: 0.03723924607038498
epoch 800  training loss: 0.10145209729671478
epoch 800  clean testing loss: 0.034305278211832047
epoch 900  training loss: 0.12069161236286163

  1%|█                                                                                | 1340/100000 [00:05<06:17, 261.20it/s]
epoch 1000  training loss: 0.10072147101163864
epoch 1000  clean testing loss: 0.032908182591199875
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.12116347253322601
epoch 1100  clean testing loss: 0.04781964048743248
epoch 1200  training loss: 0.11234688013792038
epoch 1200  clean testing loss: 0.0403730571269989
epoch 1300  training loss: 0.11074712872505188
epoch 1300  clean testing loss: 0.042757127434015274
epoch 1400  training loss: 0.16915039718151093

  2%|█▌                                                                               | 1870/100000 [00:07<06:18, 259.30it/s]
epoch 1500  training loss: 0.1138978973031044
epoch 1500  clean testing loss: 0.04552807658910751
epoch 1600  training loss: 0.09178406000137329
epoch 1600  clean testing loss: 0.03113441914319992
epoch 1700  training loss: 0.11326796561479568
epoch 1700  clean testing loss: 0.04315017908811569
epoch 1800  training loss: 0.09525112807750702
epoch 1800  clean testing loss: 0.02967589907348156
epoch 1900  training loss: 0.0915866270661354

  2%|█▉                                                                               | 2360/100000 [00:09<07:18, 222.44it/s]
epoch 2000  training loss: 0.09137772023677826
epoch 2000  clean testing loss: 0.028625285252928734
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.12299142777919769
epoch 2100  clean testing loss: 0.05242890492081642
epoch 2200  training loss: 0.08672770857810974
epoch 2200  clean testing loss: 0.02982565388083458
epoch 2300  training loss: 0.0900517925620079
epoch 2300  clean testing loss: 0.03257015720009804
epoch 2400  training loss: 0.12507770955562592

  3%|██▎                                                                              | 2795/100000 [00:11<07:31, 215.47it/s]
epoch 2500  training loss: 0.10157044231891632
epoch 2500  clean testing loss: 0.04053753986954689
epoch 2600  training loss: 0.10725599527359009
epoch 2600  clean testing loss: 0.03565021604299545
epoch 2700  training loss: 0.09028393030166626
epoch 2700  clean testing loss: 0.02634696289896965
epoch 2800  training loss: 0.08492513746023178

  3%|██▌                                                                              | 3203/100000 [00:13<07:25, 217.38it/s]
epoch 2900  training loss: 0.08414149284362793
epoch 2900  clean testing loss: 0.03270198777318001
epoch 3000  training loss: 0.11376732587814331
epoch 3000  clean testing loss: 0.04258463904261589
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 3100  training loss: 0.09606589376926422
epoch 3100  clean testing loss: 0.035061247646808624
epoch 3200  training loss: 0.10981470346450806

  4%|██▉                                                                              | 3655/100000 [00:15<07:36, 210.88it/s]
epoch 3300  training loss: 0.08733963221311569
epoch 3300  clean testing loss: 0.03096161223948002
epoch 3400  training loss: 0.08514673262834549
epoch 3400  clean testing loss: 0.03362950310111046
epoch 3500  training loss: 0.0834403708577156
epoch 3500  clean testing loss: 0.030763249844312668
epoch 3600  training loss: 0.0970725566148758
epoch 3600  clean testing loss: 0.041643962264060974
epoch 3700  training loss: 0.08050999045372009

  4%|███▎                                                                             | 4086/100000 [00:17<07:25, 215.52it/s]
epoch 3800  training loss: 0.08506810665130615
epoch 3800  clean testing loss: 0.04751782491803169
epoch 3900  training loss: 0.07972520589828491
epoch 3900  clean testing loss: 0.030813897028565407
epoch 4000  training loss: 0.1213909238576889
epoch 4000  clean testing loss: 0.04452820122241974
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 4100  training loss: 0.09480749070644379

  4%|███▌                                                                             | 4440/100000 [00:19<09:06, 174.91it/s]
epoch 4200  training loss: 0.10536296665668488
epoch 4200  clean testing loss: 0.03937629982829094
epoch 4300  training loss: 0.07805633544921875
epoch 4300  clean testing loss: 0.030361395329236984
epoch 4400  training loss: 0.08003707975149155

  5%|███▉                                                                             | 4795/100000 [00:21<08:56, 177.54it/s]
epoch 4500  training loss: 0.07760047912597656
epoch 4500  clean testing loss: 0.030359001830220222
epoch 4600  training loss: 0.07806553691625595
epoch 4600  clean testing loss: 0.029514191672205925
epoch 4700  training loss: 0.07603448629379272
epoch 4700  clean testing loss: 0.031060906127095222
epoch 4800  training loss: 0.09202629327774048

  5%|████▏                                                                            | 5152/100000 [00:23<08:47, 179.93it/s]
epoch 4900  training loss: 0.0881410539150238
epoch 4900  clean testing loss: 0.03364177048206329
epoch 5000  training loss: 0.07936183363199234
epoch 5000  clean testing loss: 0.03224625065922737
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 5100  training loss: 0.0747658908367157

  6%|████▍                                                                            | 5506/100000 [00:25<08:45, 179.74it/s]
epoch 5200  training loss: 0.08767972141504288
epoch 5200  clean testing loss: 0.03275435045361519
epoch 5300  training loss: 0.07579535245895386
epoch 5300  clean testing loss: 0.03166323900222778
epoch 5400  training loss: 0.07455651462078094
epoch 5400  clean testing loss: 0.03318987786769867
epoch 5500  training loss: 0.07297126203775406

  6%|████▋                                                                            | 5862/100000 [00:27<09:02, 173.59it/s]
epoch 5600  training loss: 0.07561851292848587
epoch 5600  clean testing loss: 0.030918210744857788
epoch 5700  training loss: 0.07353972643613815
epoch 5700  clean testing loss: 0.03306199982762337
epoch 5800  training loss: 0.07424195855855942
epoch 5800  clean testing loss: 0.032367512583732605
epoch 5900  training loss: 0.08342068642377853

  6%|█████                                                                            | 6215/100000 [00:29<08:51, 176.54it/s]
epoch 6000  training loss: 0.07346279919147491
epoch 6000  clean testing loss: 0.030793286859989166
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 6100  training loss: 0.07139374315738678
epoch 6100  clean testing loss: 0.033375877887010574
epoch 6200  training loss: 0.07089432328939438

  7%|█████▎                                                                           | 6568/100000 [00:31<08:43, 178.58it/s]
epoch 6300  training loss: 0.07047772407531738
epoch 6300  clean testing loss: 0.034532949328422546
epoch 6400  training loss: 0.07004310190677643
epoch 6400  clean testing loss: 0.03656408190727234
epoch 6500  training loss: 0.07762376219034195
epoch 6500  clean testing loss: 0.03157955780625343
epoch 6600  training loss: 0.06962724775075912

  7%|█████▌                                                                           | 6939/100000 [00:33<08:41, 178.61it/s]
epoch 6700  training loss: 0.07125546783208847
epoch 6700  clean testing loss: 0.03537101671099663
epoch 6800  training loss: 0.07088301330804825
epoch 6800  clean testing loss: 0.0425097718834877
epoch 6900  training loss: 0.0756792202591896

  7%|█████▉                                                                           | 7291/100000 [00:35<08:53, 173.78it/s]
epoch 7000  training loss: 0.07332673668861389
epoch 7000  clean testing loss: 0.033849649131298065
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 7100  training loss: 0.07102000713348389
epoch 7100  clean testing loss: 0.03615982085466385
epoch 7200  training loss: 0.06697919219732285
epoch 7200  clean testing loss: 0.03806539252400398
epoch 7300  training loss: 0.07012598216533661

  8%|██████▏                                                                          | 7645/100000 [00:37<08:42, 176.67it/s]
epoch 7400  training loss: 0.06839572638273239
epoch 7400  clean testing loss: 0.03518030419945717
epoch 7500  training loss: 0.06982983648777008
epoch 7500  clean testing loss: 0.03442907705903053
epoch 7600  training loss: 0.06718938797712326

  8%|██████▍                                                                          | 7998/100000 [00:39<08:34, 178.87it/s]
epoch 7700  training loss: 0.0677158460021019
epoch 7700  clean testing loss: 0.040320608764886856
epoch 7800  training loss: 0.06492521613836288
epoch 7800  clean testing loss: 0.037680305540561676
epoch 7900  training loss: 0.06449861079454422
epoch 7900  clean testing loss: 0.038033679127693176
epoch 8000  training loss: 0.0654744803905487
epoch 8000  clean testing loss: 0.03839848190546036

  8%|██████▊                                                                          | 8348/100000 [00:41<08:47, 173.91it/s]
epoch 8100  training loss: 0.0671699270606041
epoch 8100  clean testing loss: 0.03863370791077614
epoch 8200  training loss: 0.0644737258553505
epoch 8200  clean testing loss: 0.04104528948664665
epoch 8300  training loss: 0.06989073753356934
epoch 8300  clean testing loss: 0.04901594668626785
epoch 8400  training loss: 0.06286092102527618

  9%|███████                                                                          | 8683/100000 [00:43<08:29, 179.32it/s]
epoch 8500  training loss: 0.06265198439359665
epoch 8500  clean testing loss: 0.04158443957567215
epoch 8600  training loss: 0.06322336941957474
epoch 8600  clean testing loss: 0.04096627235412598
epoch 8700  training loss: 0.06295289844274521
epoch 8700  clean testing loss: 0.04188890382647514
epoch 8800  training loss: 0.062367770820856094

  9%|███████▎                                                                         | 9054/100000 [00:45<08:27, 179.26it/s]
epoch 8900  training loss: 0.0629994347691536
epoch 8900  clean testing loss: 0.04125221446156502
epoch 9000  training loss: 0.061987001448869705
epoch 9000  clean testing loss: 0.04131166636943817

  9%|███████▌                                                                         | 9405/100000 [00:47<08:39, 174.53it/s]
epoch 9100  training loss: 0.06072583422064781
epoch 9100  clean testing loss: 0.04145647957921028
epoch 9200  training loss: 0.060320280492305756
epoch 9200  clean testing loss: 0.04228702187538147
epoch 9300  training loss: 0.060418710112571716
epoch 9300  clean testing loss: 0.04036669060587883
