
  0%|▏                                                                                 | 223/100000 [00:01<09:35, 173.38it/s]
epoch 0  training loss: 0.6332747936248779
epoch 0  clean testing loss: 3.6715664863586426
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.14323092997074127
epoch 100  clean testing loss: 0.05308348312973976
epoch 200  training loss: 0.12831099331378937

  1%|▍                                                                                 | 578/100000 [00:03<09:20, 177.44it/s]
epoch 300  training loss: 0.13212765753269196
epoch 300  clean testing loss: 0.04097402095794678
epoch 400  training loss: 0.16872447729110718
epoch 400  clean testing loss: 0.08935511857271194
epoch 500  training loss: 0.11680465936660767
epoch 500  clean testing loss: 0.03288128226995468
epoch 600  training loss: 0.1276666671037674
epoch 600  clean testing loss: 0.042060352861881256
epoch 700  training loss: 0.12280242145061493

  1%|▊                                                                                 | 934/100000 [00:05<09:06, 181.14it/s]
epoch 800  training loss: 0.12617652118206024
epoch 800  clean testing loss: 0.04554023966193199
epoch 900  training loss: 0.10803250223398209
epoch 900  clean testing loss: 0.03191016986966133
epoch 1000  training loss: 0.1075943261384964
epoch 1000  clean testing loss: 0.03252160921692848

  1%|█                                                                                | 1290/100000 [00:07<09:08, 179.91it/s]
epoch 1100  training loss: 0.10896024852991104
epoch 1100  clean testing loss: 0.030338766053318977
epoch 1200  training loss: 0.10040643811225891
epoch 1200  clean testing loss: 0.030751146376132965
epoch 1300  training loss: 0.11285175383090973
epoch 1300  clean testing loss: 0.05003153532743454
epoch 1400  training loss: 0.14406833052635193

  2%|█▎                                                                               | 1649/100000 [00:09<09:16, 176.88it/s]
epoch 1500  training loss: 0.09698213636875153
epoch 1500  clean testing loss: 0.031632646918296814
epoch 1600  training loss: 0.10048679262399673
epoch 1600  clean testing loss: 0.05782834812998772
epoch 1700  training loss: 0.12082856148481369

  2%|█▌                                                                               | 2002/100000 [00:11<09:15, 176.33it/s]
epoch 1800  training loss: 0.10747279971837997
epoch 1800  clean testing loss: 0.035276032984256744
epoch 1900  training loss: 0.10435548424720764
epoch 1900  clean testing loss: 0.03236197680234909
epoch 2000  training loss: 0.09647976607084274
epoch 2000  clean testing loss: 0.02982848882675171
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.11333157867193222

  2%|█▉                                                                               | 2373/100000 [00:13<09:13, 176.26it/s]
epoch 2200  training loss: 0.10828498005867004
epoch 2200  clean testing loss: 0.03554914891719818
epoch 2300  training loss: 0.10117281973361969
epoch 2300  clean testing loss: 0.03334791585803032
epoch 2400  training loss: 0.09906773269176483

  3%|██▏                                                                              | 2726/100000 [00:15<09:05, 178.36it/s]
epoch 2500  training loss: 0.09582856297492981
epoch 2500  clean testing loss: 0.03320251777768135
epoch 2600  training loss: 0.10108661651611328
epoch 2600  clean testing loss: 0.03457106277346611
epoch 2700  training loss: 0.15123334527015686
epoch 2700  clean testing loss: 0.0680941715836525
epoch 2800  training loss: 0.09065727144479752

  3%|██▍                                                                              | 3078/100000 [00:17<09:15, 174.33it/s]
epoch 2900  training loss: 0.09229905903339386
epoch 2900  clean testing loss: 0.0396294891834259
epoch 3000  training loss: 0.08815095573663712
epoch 3000  clean testing loss: 0.03214305266737938
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 3100  training loss: 0.08711902797222137

  3%|██▊                                                                              | 3431/100000 [00:19<09:07, 176.39it/s]
epoch 3200  training loss: 0.08604059368371964
epoch 3200  clean testing loss: 0.03475949913263321
epoch 3300  training loss: 0.08568360656499863
epoch 3300  clean testing loss: 0.037184394896030426
epoch 3400  training loss: 0.08530498296022415
epoch 3400  clean testing loss: 0.04113105684518814
epoch 3500  training loss: 0.08368255943059921

  4%|███                                                                              | 3784/100000 [00:21<08:59, 178.45it/s]
epoch 3600  training loss: 0.10756051540374756
epoch 3600  clean testing loss: 0.06916984915733337
epoch 3700  training loss: 0.0862533301115036
epoch 3700  clean testing loss: 0.03785962983965874
epoch 3800  training loss: 0.08063186705112457
epoch 3800  clean testing loss: 0.036307770758867264
epoch 3900  training loss: 0.08400821685791016

  4%|███▎                                                                             | 4135/100000 [00:23<09:11, 173.96it/s]
epoch 4000  training loss: 0.07904046028852463
epoch 4000  clean testing loss: 0.03624773398041725
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 4100  training loss: 0.08735950291156769
epoch 4100  clean testing loss: 0.036415789276361465
epoch 4200  training loss: 0.1062701940536499

  4%|███▋                                                                             | 4488/100000 [00:25<09:00, 176.59it/s]
epoch 4300  training loss: 0.08692610263824463
