
  0%|                                                                      | 77/100000 [00:01<27:35, 60.34it/s]
epoch 0  training loss: 73655115776.0
epoch 0  clean testing loss: 62151041024.0
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu2_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 100  training loss: 1563356.25

  0%|▏                                                                    | 203/100000 [00:03<26:56, 61.75it/s]
epoch 200  training loss: 44139.078125

  0%|▏                                                                    | 329/100000 [00:05<26:56, 61.68it/s]
epoch 300  training loss: 22314.48828125

  0%|▎                                                                    | 448/100000 [00:07<26:57, 61.56it/s]
epoch 400  training loss: 14500.0029296875

  1%|▍                                                                    | 574/100000 [00:09<26:58, 61.41it/s]
epoch 500  training loss: 14685.7412109375
epoch 500  clean testing loss: 29628.525390625
epoch 600  training loss: 16045.0205078125

  1%|▍                                                                    | 700/100000 [00:11<26:50, 61.64it/s]
epoch 700  training loss: 12624.1962890625

  1%|▌                                                                    | 819/100000 [00:13<26:37, 62.10it/s]
epoch 800  training loss: 8335.2900390625

  1%|▋                                                                    | 945/100000 [00:15<26:42, 61.82it/s]
epoch 900  training loss: 11609.0078125

  1%|▋                                                                   | 1071/100000 [00:17<26:55, 61.24it/s]
epoch 1000  training loss: 11911.1806640625
epoch 1000  clean testing loss: 27982.26953125
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu2_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 1100  training loss: 7967.40234375

  1%|▊                                                                   | 1190/100000 [00:19<26:46, 61.51it/s]
epoch 1200  training loss: 8180.35986328125

  1%|▉                                                                   | 1316/100000 [00:21<26:47, 61.39it/s]
epoch 1300  training loss: 5630.201171875

  1%|▉                                                                   | 1442/100000 [00:23<26:45, 61.39it/s]
epoch 1400  training loss: 5829.7041015625

  2%|█                                                                   | 1561/100000 [00:25<26:33, 61.78it/s]
epoch 1500  training loss: 7622.591796875
epoch 1500  clean testing loss: 13023.6943359375
epoch 1600  training loss: 4730.8671875

  2%|█▏                                                                  | 1687/100000 [00:27<26:40, 61.41it/s]
epoch 1700  training loss: 5064.79736328125

  2%|█▏                                                                  | 1813/100000 [00:29<26:44, 61.18it/s]
