
  0%|                                                                     | 132/100000 [00:01<16:45, 99.31it/s]
epoch 0  training loss: 47.71199417114258
epoch 0  clean testing loss: 48.63999557495117
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers2_relu_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 100  training loss: 19.976184844970703

  0%|▏                                                                   | 330/100000 [00:03<16:34, 100.21it/s]
epoch 200  training loss: 18.87116813659668
epoch 200  clean testing loss: 16.816694259643555
epoch 300  training loss: 17.663557052612305

  1%|▎                                                                   | 528/100000 [00:05<16:33, 100.08it/s]
epoch 400  training loss: 16.286563873291016
epoch 400  clean testing loss: 14.639442443847656
epoch 500  training loss: 14.024155616760254

  1%|▍                                                                   | 734/100000 [00:07<16:32, 100.02it/s]
epoch 600  training loss: 10.381406784057617
epoch 600  clean testing loss: 9.927536010742188
epoch 700  training loss: 6.042666435241699

  1%|▋                                                                   | 932/100000 [00:09<16:28, 100.18it/s]
epoch 800  training loss: 3.0416481494903564
epoch 800  clean testing loss: 2.6355714797973633
epoch 900  training loss: 2.1212093830108643

  1%|▊                                                                  | 1130/100000 [00:11<16:25, 100.33it/s]
epoch 1000  training loss: 1.6492451429367065
epoch 1000  clean testing loss: 1.2943669557571411
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers2_relu_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 1100  training loss: 1.4114068746566772

  1%|▉                                                                   | 1333/100000 [00:13<17:34, 93.60it/s]
epoch 1200  training loss: 1.2276946306228638
epoch 1200  clean testing loss: 0.9237542748451233
epoch 1300  training loss: 1.1346843242645264

  2%|█                                                                  | 1525/100000 [00:15<16:21, 100.37it/s]
epoch 1400  training loss: 1.0660368204116821
epoch 1400  clean testing loss: 0.7165011167526245
epoch 1500  training loss: 1.0188688039779663

  2%|█▏                                                                 | 1730/100000 [00:17<16:20, 100.23it/s]
epoch 1600  training loss: 0.9621670246124268
epoch 1600  clean testing loss: 0.5685494542121887
epoch 1700  training loss: 0.9412980079650879

  2%|█▎                                                                 | 1936/100000 [00:19<16:20, 100.06it/s]
epoch 1800  training loss: 0.912973165512085
epoch 1800  clean testing loss: 0.4950285851955414
epoch 1900  training loss: 0.8704089522361755

  2%|█▍                                                                  | 2117/100000 [00:21<17:55, 91.03it/s]
epoch 2000  training loss: 0.8269582390785217
epoch 2000  clean testing loss: 0.5348944067955017
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers2_relu_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 2100  training loss: 0.7880305647850037

  2%|█▌                                                                  | 2297/100000 [00:23<17:43, 91.86it/s]
epoch 2200  training loss: 0.7901508212089539
epoch 2200  clean testing loss: 0.5291922688484192
epoch 2300  training loss: 0.7744125127792358

  2%|█▋                                                                  | 2477/100000 [00:25<17:50, 91.10it/s]
epoch 2400  training loss: 0.7585756182670593
epoch 2400  clean testing loss: 0.5267128348350525
epoch 2500  training loss: 0.728448748588562

  3%|█▊                                                                  | 2667/100000 [00:27<17:51, 90.84it/s]
epoch 2600  training loss: 0.7369518876075745
epoch 2600  clean testing loss: 0.49833422899246216
epoch 2700  training loss: 0.7155494093894958
  3%|█▉                                                                  | 2767/100000 [00:28<17:39, 91.73it/s][34m[1mwandb[39m[22m: 429 encountered (Filestream rate limit exceeded, retrying in 2.1 seconds.), retrying request
  3%|█▉                                                                  | 2847/100000 [00:29<17:31, 92.40it/s]
epoch 2800  training loss: 0.6953357458114624
epoch 2800  clean testing loss: 0.5062602758407593
epoch 2900  training loss: 0.702253520488739

  3%|██                                                                  | 3027/100000 [00:31<17:45, 91.04it/s]
epoch 3000  training loss: 0.682941198348999
epoch 3000  clean testing loss: 0.5540560483932495

  3%|██▏                                                                 | 3217/100000 [00:33<17:40, 91.26it/s]
epoch 3100  training loss: 0.6618601679801941
epoch 3100  clean testing loss: 0.5537344217300415
epoch 3200  training loss: 0.6668643951416016

  3%|██▎                                                                 | 3397/100000 [00:35<17:36, 91.41it/s]
epoch 3300  training loss: 0.6642528772354126
epoch 3300  clean testing loss: 0.57859206199646
epoch 3400  training loss: 0.6451224088668823

  4%|██▍                                                                 | 3577/100000 [00:37<17:30, 91.78it/s]
epoch 3500  training loss: 0.6529587507247925
epoch 3500  clean testing loss: 0.5968285202980042
epoch 3600  training loss: 0.6525269746780396

  4%|██▌                                                                 | 3767/100000 [00:39<17:30, 91.62it/s]
epoch 3700  training loss: 0.6351189017295837
epoch 3700  clean testing loss: 0.5996729731559753
epoch 3800  training loss: 0.6321956515312195

  4%|██▋                                                                 | 3947/100000 [00:41<17:34, 91.10it/s]
epoch 3900  training loss: 0.650335967540741
epoch 3900  clean testing loss: 0.5829561948776245
epoch 4000  training loss: 0.6222442984580994
epoch 4000  clean testing loss: 0.5853107571601868

  4%|██▊                                                                 | 4127/100000 [00:43<17:28, 91.46it/s]
epoch 4100  training loss: 0.6004313230514526

  4%|██▉                                                                 | 4317/100000 [00:45<17:26, 91.41it/s]
epoch 4200  training loss: 0.6209237575531006
epoch 4200  clean testing loss: 0.5911981463432312
epoch 4300  training loss: 0.6100873947143555

  4%|███                                                                 | 4497/100000 [00:47<17:18, 91.93it/s]
epoch 4400  training loss: 0.612819254398346
epoch 4400  clean testing loss: 0.6981515288352966
epoch 4500  training loss: 0.599544882774353

  5%|███▏                                                                | 4677/100000 [00:49<17:27, 90.97it/s]
epoch 4600  training loss: 0.5909830331802368
epoch 4600  clean testing loss: 0.8418312072753906
epoch 4700  training loss: 0.5834237337112427

  5%|███▎                                                                | 4867/100000 [00:51<17:31, 90.52it/s]
epoch 4800  training loss: 0.5790470242500305
epoch 4800  clean testing loss: 0.7085307836532593
epoch 4900  training loss: 0.5885644555091858

  5%|███▍                                                                | 5047/100000 [00:53<17:24, 90.94it/s]
epoch 5000  training loss: 0.5899044275283813
epoch 5000  clean testing loss: 0.7296580076217651

  5%|███▌                                                                | 5227/100000 [00:55<17:16, 91.48it/s]
epoch 5100  training loss: 0.5915228724479675
epoch 5100  clean testing loss: 0.7754690051078796
epoch 5200  training loss: 0.5797632336616516

  5%|███▋                                                                | 5417/100000 [00:57<17:20, 90.93it/s]
epoch 5300  training loss: 0.5645719170570374
epoch 5300  clean testing loss: 0.772171676158905
epoch 5400  training loss: 0.563361644744873
  6%|███▋                                                                | 5507/100000 [00:58<17:16, 91.19it/s][34m[1mwandb[39m[22m: 429 encountered (Filestream rate limit exceeded, retrying in 2.3 seconds.), retrying request
  6%|███▊                                                                | 5597/100000 [00:59<17:09, 91.67it/s]
epoch 5500  training loss: 0.5619634985923767
epoch 5500  clean testing loss: 0.872955858707428
epoch 5600  training loss: 0.5767804384231567

  6%|███▉                                                                | 5777/100000 [01:01<17:17, 90.84it/s]
epoch 5700  training loss: 0.5552484393119812
epoch 5700  clean testing loss: 0.8179997801780701
epoch 5800  training loss: 0.5476790070533752

  6%|████                                                                | 5967/100000 [01:03<17:05, 91.70it/s]
epoch 5900  training loss: 0.522736668586731
epoch 5900  clean testing loss: 0.8162837624549866
epoch 6000  training loss: 0.52800053358078
epoch 6000  clean testing loss: 0.7878168225288391

  6%|████▏                                                               | 6147/100000 [01:05<16:57, 92.23it/s]
epoch 6100  training loss: 0.562991201877594

  6%|████▎                                                               | 6327/100000 [01:07<16:58, 91.96it/s]
epoch 6200  training loss: 0.5312143564224243
epoch 6200  clean testing loss: 0.782316267490387
epoch 6300  training loss: 0.5185112357139587

  7%|████▍                                                               | 6517/100000 [01:09<16:57, 91.87it/s]
epoch 6400  training loss: 0.5248827338218689
epoch 6400  clean testing loss: 0.8277543187141418
epoch 6500  training loss: 0.5107376575469971

  7%|████▌                                                               | 6697/100000 [01:11<17:03, 91.16it/s]
epoch 6600  training loss: 0.5110952854156494
epoch 6600  clean testing loss: 0.8702501654624939
epoch 6700  training loss: 0.5185104608535767

  7%|████▋                                                               | 6877/100000 [01:13<16:56, 91.65it/s]
epoch 6800  training loss: 0.499346524477005
epoch 6800  clean testing loss: 0.8158353567123413
epoch 6900  training loss: 0.5040444731712341

  7%|████▊                                                               | 7067/100000 [01:15<16:49, 92.10it/s]
epoch 7000  training loss: 0.5101907253265381
