
  0%|                                                                     | 107/100000 [00:01<21:17, 78.20it/s]
epoch 0  training loss: 2.499045462903051e+21
epoch 0  clean testing loss: 2.4990288558794253e+21
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers2_relu3_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 100  training loss: 1.0716836745722452e+21

  0%|▏                                                                    | 262/100000 [00:03<20:49, 79.80it/s]
epoch 200  training loss: 5.127060983324135e+19
epoch 200  clean testing loss: 2.7810501755198767e+19
epoch 300  training loss: 6.267687436235571e+16

  0%|▎                                                                    | 421/100000 [00:05<20:52, 79.52it/s]
epoch 400  training loss: 1496129443201024.0

  1%|▍                                                                    | 581/100000 [00:07<20:36, 80.38it/s]
epoch 500  training loss: 769871814066176.0
epoch 500  clean testing loss: 5742459321581568.0
epoch 600  training loss: 672271366619136.0

  1%|▌                                                                    | 743/100000 [00:09<20:29, 80.74it/s]
epoch 700  training loss: 651852890767360.0

  1%|▋                                                                    | 907/100000 [00:11<20:51, 79.19it/s]
epoch 800  training loss: 492113326243840.0
epoch 800  clean testing loss: 3313846173302784.0
epoch 900  training loss: 461183287033856.0

  1%|▋                                                                   | 1067/100000 [00:13<20:29, 80.45it/s]
epoch 1000  training loss: 422558344151040.0
epoch 1000  clean testing loss: 2250206380818432.0
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers2_relu3_size500_noise1.00e+00_invop1_lr5e-05 ...
epoch 1100  training loss: 392583297630208.0

  1%|▊                                                                   | 1218/100000 [00:15<20:35, 79.92it/s]
epoch 1200  training loss: 378008829427712.0

  1%|▉                                                                   | 1386/100000 [00:17<20:38, 79.65it/s]
epoch 1300  training loss: 353437824843776.0
epoch 1300  clean testing loss: 1341805899546624.0
epoch 1400  training loss: 1045593279430656.0

  2%|█                                                                   | 1539/100000 [00:19<20:29, 80.07it/s]
epoch 1500  training loss: 323147970641920.0

  2%|█▏                                                                  | 1700/100000 [00:21<20:12, 81.08it/s]
epoch 1600  training loss: 1537702579142656.0
epoch 1600  clean testing loss: 3105353696804864.0
epoch 1700  training loss: 299239733198848.0

  2%|█▎                                                                  | 1862/100000 [00:23<20:17, 80.62it/s]
epoch 1800  training loss: 286757417385984.0
epoch 1800  clean testing loss: 751297020035072.0
epoch 1900  training loss: 297518860599296.0

  2%|█▎                                                                  | 2021/100000 [00:25<20:33, 79.43it/s]
epoch 2000  training loss: 268254446616576.0
epoch 2000  clean testing loss: 635629926875136.0

  2%|█▍                                                                  | 2182/100000 [00:27<20:24, 79.85it/s]
epoch 2100  training loss: 1.5587475699269632e+16
epoch 2100  clean testing loss: 4153929159933952.0
epoch 2200  training loss: 252782565130240.0

  2%|█▌                                                                  | 2347/100000 [00:29<20:28, 79.48it/s]
epoch 2300  training loss: 244223081185280.0

  3%|█▋                                                                  | 2506/100000 [00:31<20:20, 79.91it/s]
epoch 2400  training loss: 1217761741111296.0
epoch 2400  clean testing loss: 690878104469504.0
epoch 2500  training loss: 232066713124864.0

  3%|█▊                                                                  | 2664/100000 [00:33<20:19, 79.85it/s]
epoch 2600  training loss: 225916420620288.0
epoch 2600  clean testing loss: 452873263513600.0
epoch 2700  training loss: 234817421574144.0

  3%|█▉                                                                  | 2827/100000 [00:35<20:10, 80.27it/s]
epoch 2800  training loss: 215345465917440.0

  3%|██                                                                  | 2980/100000 [00:37<20:06, 80.42it/s]
epoch 2900  training loss: 307741788733440.0
epoch 2900  clean testing loss: 434808765284352.0
epoch 3000  training loss: 206967813439488.0
epoch 3000  clean testing loss: 393381154914304.0

