
  1%|█▍                                                                                                                            | 1113/100000 [00:22<24:49, 66.39it/s]
epoch 0  training loss: 81957.125
epoch 0  clean testing loss: 44703.28125
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu2_size500_noise1.00e-01_invop1_lr5e-05 ...
epoch 100  training loss: 39.01708984375
epoch 100  clean testing loss: 38.22957229614258
epoch 200  training loss: 37.6306266784668
epoch 200  clean testing loss: 36.33665466308594
epoch 300  training loss: 35.56812286376953
epoch 300  clean testing loss: 34.900150299072266
epoch 400  training loss: 34.37545394897461
epoch 400  clean testing loss: 33.889198303222656
epoch 500  training loss: 31.586071014404297
epoch 500  clean testing loss: 31.35975456237793
epoch 600  training loss: 28.751537322998047
epoch 600  clean testing loss: 29.73790740966797
epoch 700  training loss: 26.29719352722168
epoch 700  clean testing loss: 27.826251983642578
epoch 800  training loss: 24.529869079589844
epoch 800  clean testing loss: 26.211009979248047
epoch 900  training loss: 23.344038009643555
epoch 900  clean testing loss: 26.0434513092041
epoch 1000  training loss: 21.849166870117188
epoch 1000  clean testing loss: 24.212175369262695
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu2_size500_noise1.00e-01_invop1_lr5e-05 ...
epoch 1100  training loss: 21.389184951782227

  1%|█▌                                                                                                                            | 1265/100000 [00:24<21:47, 75.53it/s]
epoch 1200  training loss: 20.623079299926758

  1%|█▊                                                                                                                            | 1417/100000 [00:26<22:09, 74.15it/s]
epoch 1300  training loss: 21.763736724853516
epoch 1300  clean testing loss: 23.72503662109375
epoch 1400  training loss: 19.974443435668945

  2%|█▉                                                                                                                            | 1547/100000 [00:28<28:18, 57.95it/s]
epoch 1500  training loss: 19.588329315185547

  2%|██                                                                                                                            | 1659/100000 [00:30<28:51, 56.78it/s]
epoch 1600  training loss: 19.827856063842773

  2%|██▏                                                                                                                           | 1776/100000 [00:32<27:48, 58.88it/s]
epoch 1700  training loss: 20.614723205566406

  2%|██▍                                                                                                                           | 1892/100000 [00:34<28:14, 57.88it/s]
epoch 1800  training loss: 19.506996154785156

  2%|██▌                                                                                                                           | 2007/100000 [00:36<29:25, 55.50it/s]
epoch 1900  training loss: 19.01762580871582
epoch 1900  clean testing loss: 21.757234573364258
epoch 2000  training loss: 18.810604095458984
epoch 2000  clean testing loss: 21.12834358215332

  2%|██▋                                                                                                                           | 2116/100000 [00:38<28:59, 56.28it/s]
epoch 2100  training loss: 18.666614532470703
epoch 2100  clean testing loss: 21.1628360748291
epoch 2200  training loss: 18.33179473876953
epoch 2200  clean testing loss: 20.72215461730957
epoch 2300  training loss: 20.72606086730957
epoch 2300  clean testing loss: 23.2095947265625
epoch 2400  training loss: 17.838165283203125
epoch 2400  clean testing loss: 20.36391258239746
epoch 2500  training loss: 17.641788482666016
epoch 2500  clean testing loss: 20.18133544921875
epoch 2600  training loss: 17.182626724243164
epoch 2600  clean testing loss: 19.76795768737793
epoch 2700  training loss: 24.159578323364258
epoch 2700  clean testing loss: 27.295352935791016
epoch 2800  training loss: 17.24677848815918
epoch 2800  clean testing loss: 21.778900146484375
epoch 2900  training loss: 15.473034858703613

  3%|███▊                                                                                                                          | 3004/100000 [00:53<28:55, 55.89it/s]
epoch 3000  training loss: 14.628985404968262
epoch 3000  clean testing loss: 16.90676498413086
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu2_size500_noise1.00e-01_invop1_lr5e-05 ...
epoch 3100  training loss: 13.480693817138672

  3%|███▉                                                                                                                          | 3123/100000 [00:55<27:43, 58.25it/s]
epoch 3200  training loss: 12.501461029052734

  3%|████                                                                                                                          | 3233/100000 [00:57<28:32, 56.50it/s]
epoch 3300  training loss: 12.110114097595215

  3%|████▏                                                                                                                         | 3349/100000 [00:59<28:33, 56.41it/s]
epoch 3400  training loss: 10.898187637329102

  3%|████▎                                                                                                                         | 3470/100000 [01:01<27:36, 58.28it/s]
epoch 3500  training loss: 10.274992942810059

  4%|████▌                                                                                                                         | 3582/100000 [01:03<28:11, 56.99it/s]
epoch 3600  training loss: 9.4926118850708

  4%|████▋                                                                                                                         | 3697/100000 [01:05<28:12, 56.91it/s]
epoch 3700  training loss: 8.630227088928223
epoch 3700  clean testing loss: 9.853533744812012
epoch 3800  training loss: 7.80490779876709

  4%|████▊                                                                                                                         | 3813/100000 [01:07<28:11, 56.85it/s]
epoch 3900  training loss: 6.7410454750061035

  4%|████▉                                                                                                                         | 3928/100000 [01:09<27:51, 57.46it/s]
epoch 4000  training loss: 11.486398696899414
epoch 4000  clean testing loss: 15.24846363067627


  4%|█████▏                                                                                                                        | 4161/100000 [01:13<27:48, 57.46it/s]
epoch 4100  training loss: 3.9375126361846924
epoch 4100  clean testing loss: 4.926156520843506
epoch 4200  training loss: 3.979712724685669

  4%|█████▍                                                                                                                        | 4276/100000 [01:15<27:36, 57.80it/s]
epoch 4300  training loss: 2.0218989849090576

  4%|█████▌                                                                                                                        | 4391/100000 [01:17<27:24, 58.14it/s]
epoch 4400  training loss: 3.0494003295898438

  5%|█████▋                                                                                                                        | 4503/100000 [01:19<27:27, 57.95it/s]
epoch 4500  training loss: 1.2276784181594849
epoch 4500  clean testing loss: 1.6520997285842896
epoch 4600  training loss: 1.1018966436386108

  5%|█████▊                                                                                                                        | 4619/100000 [01:21<27:02, 58.78it/s]
epoch 4700  training loss: 0.9718379378318787

  5%|█████▉                                                                                                                        | 4734/100000 [01:23<28:53, 54.94it/s]
epoch 4800  training loss: 2.290869951248169

  5%|██████                                                                                                                        | 4843/100000 [01:25<27:44, 57.17it/s]
epoch 4900  training loss: 0.8873544931411743

  5%|██████▎                                                                                                                       | 4962/100000 [01:27<26:43, 59.29it/s]
epoch 5000  training loss: 3.299476146697998
epoch 5000  clean testing loss: 1.8832401037216187

  5%|██████▍                                                                                                                       | 5077/100000 [01:29<26:37, 59.43it/s]
epoch 5100  training loss: 0.8355560302734375

  5%|██████▌                                                                                                                       | 5192/100000 [01:31<28:00, 56.43it/s]
epoch 5200  training loss: 0.7738779783248901


  5%|██████▊                                                                                                                       | 5430/100000 [01:35<27:32, 57.24it/s]
epoch 5300  training loss: 0.9195383787155151
epoch 5300  clean testing loss: 1.053184151649475
epoch 5400  training loss: 0.7788451313972473

  6%|██████▉                                                                                                                       | 5545/100000 [01:37<27:29, 57.25it/s]
epoch 5500  training loss: 0.7089139819145203

  6%|███████▏                                                                                                                      | 5660/100000 [01:39<27:05, 58.02it/s]
epoch 5600  training loss: 1.7599912881851196

  6%|███████▎                                                                                                                      | 5777/100000 [01:41<28:23, 55.31it/s]
epoch 5700  training loss: 1.069580316543579

  6%|███████▍                                                                                                                      | 5891/100000 [01:43<27:30, 57.03it/s]
epoch 5800  training loss: 0.7088117003440857
epoch 5800  clean testing loss: 1.064910650253296
epoch 5900  training loss: 0.6967046856880188

  6%|███████▌                                                                                                                      | 6000/100000 [01:45<27:34, 56.81it/s]
epoch 6000  training loss: 0.7072542905807495
epoch 6000  clean testing loss: 0.9958978295326233
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu2_size500_noise1.00e-01_invop1_lr5e-05 ...
epoch 6100  training loss: 0.8226084113121033

  6%|███████▋                                                                                                                      | 6117/100000 [01:47<28:19, 55.23it/s]
epoch 6200  training loss: 0.7945920825004578


  6%|████████                                                                                                                      | 6352/100000 [01:51<27:17, 57.19it/s]
epoch 6300  training loss: 0.6747205853462219

  6%|████████▏                                                                                                                     | 6467/100000 [01:53<27:21, 57.00it/s]
epoch 6400  training loss: 0.863224983215332
epoch 6400  clean testing loss: 1.0610382556915283
epoch 6500  training loss: 0.6025597453117371

  7%|████████▎                                                                                                                     | 6581/100000 [01:55<26:31, 58.69it/s]
epoch 6600  training loss: 2.6818368434906006

  7%|████████▍                                                                                                                     | 6697/100000 [01:57<26:37, 58.41it/s]
epoch 6700  training loss: 0.7385040521621704

  7%|████████▌                                                                                                                     | 6814/100000 [01:59<26:31, 58.57it/s]
epoch 6800  training loss: 0.6137987375259399
epoch 6800  clean testing loss: 0.963437020778656
epoch 6900  training loss: 0.6403100490570068

  7%|████████▋                                                                                                                     | 6928/100000 [02:01<27:31, 56.35it/s]
epoch 7000  training loss: 0.7071000337600708
epoch 7000  clean testing loss: 0.9659945368766785

  7%|████████▉                                                                                                                     | 7045/100000 [02:03<26:03, 59.47it/s]
epoch 7100  training loss: 0.6600400805473328

  7%|█████████                                                                                                                     | 7160/100000 [02:05<26:21, 58.72it/s]
epoch 7200  training loss: 0.8199285864830017

  7%|█████████▏                                                                                                                    | 7275/100000 [02:07<27:36, 55.96it/s]
epoch 7300  training loss: 0.6052867770195007

  7%|█████████▎                                                                                                                    | 7389/100000 [02:09<26:02, 59.27it/s]
epoch 7400  training loss: 2.309150457382202

  8%|█████████▍                                                                                                                    | 7503/100000 [02:11<27:44, 55.56it/s]
epoch 7500  training loss: 0.6952350735664368
epoch 7500  clean testing loss: 0.9498112201690674
epoch 7600  training loss: 1.5168118476867676

  8%|█████████▌                                                                                                                    | 7623/100000 [02:14<25:47, 59.70it/s]
epoch 7700  training loss: 0.7054402232170105

  8%|█████████▋                                                                                                                    | 7737/100000 [02:15<25:47, 59.60it/s]
epoch 7800  training loss: 0.8592330813407898

  8%|█████████▉                                                                                                                    | 7851/100000 [02:17<26:22, 58.23it/s]
epoch 7900  training loss: 5.463167190551758

  8%|██████████                                                                                                                    | 7966/100000 [02:19<26:05, 58.77it/s]
epoch 8000  training loss: 0.7064415216445923
epoch 8000  clean testing loss: 0.8563829064369202

  8%|██████████▏                                                                                                                   | 8081/100000 [02:22<27:33, 55.60it/s]
epoch 8100  training loss: 0.6632579565048218

  8%|██████████▎                                                                                                                   | 8197/100000 [02:24<26:22, 58.03it/s]
epoch 8200  training loss: 0.5755329728126526

  8%|██████████▍                                                                                                                   | 8311/100000 [02:26<26:50, 56.92it/s]
epoch 8300  training loss: 1.0932304859161377
epoch 8300  clean testing loss: 1.087314486503601
epoch 8400  training loss: 12.517003059387207

  8%|██████████▌                                                                                                                   | 8426/100000 [02:28<27:01, 56.47it/s]
epoch 8500  training loss: 0.7188842296600342

  9%|██████████▊                                                                                                                   | 8546/100000 [02:30<26:48, 56.85it/s]
epoch 8600  training loss: 0.6071041822433472

  9%|██████████▉                                                                                                                   | 8656/100000 [02:32<27:29, 55.38it/s]
epoch 8700  training loss: 0.6000398397445679

  9%|███████████                                                                                                                   | 8742/100000 [02:33<27:13, 55.87it/s]
epoch 8800  training loss: 1.1970375776290894

  9%|███████████▏                                                                                                                  | 8862/100000 [02:35<26:08, 58.10it/s]
epoch 8900  training loss: 0.8553913831710815

  9%|███████████▎                                                                                                                  | 8976/100000 [02:37<25:29, 59.53it/s]
epoch 9000  training loss: 0.7663844227790833
epoch 9000  clean testing loss: 0.7931886315345764

  9%|███████████▍                                                                                                                  | 9090/100000 [02:39<26:35, 56.99it/s]
epoch 9100  training loss: 0.5360454320907593
epoch 9100  clean testing loss: 0.7138417363166809
epoch 9200  training loss: 0.49855008721351624

  9%|███████████▌                                                                                                                  | 9204/100000 [02:41<26:38, 56.81it/s]
epoch 9300  training loss: 0.46029964089393616

  9%|███████████▋                                                                                                                  | 9319/100000 [02:43<26:43, 56.54it/s]
epoch 9400  training loss: 0.4991827607154846

  9%|███████████▉                                                                                                                  | 9440/100000 [02:45<25:58, 58.12it/s]
epoch 9500  training loss: 0.4736254811286926

 10%|████████████                                                                                                                  | 9554/100000 [02:47<25:45, 58.51it/s]
epoch 9600  training loss: 6.428980827331543

