
  0%|                                                                                                                                | 49/100000 [00:01<41:28, 40.17it/s]
epoch 0  training loss: 10411671552.0
epoch 0  clean testing loss: 771732032.0

  0%|▏                                                                                                                              | 133/100000 [00:03<40:13, 41.39it/s]
epoch 100  training loss: 86291.15625

  0%|▎                                                                                                                              | 218/100000 [00:05<40:45, 40.81it/s]
epoch 200  training loss: 62525.73046875

  0%|▍                                                                                                                              | 298/100000 [00:07<39:57, 41.59it/s]
epoch 300  training loss: 38807.0234375

  0%|▍                                                                                                                              | 383/100000 [00:09<40:44, 40.75it/s]
epoch 400  training loss: 12285.6943359375


  1%|▋                                                                                                                              | 553/100000 [00:13<38:40, 42.85it/s]
epoch 500  training loss: 8674.5029296875

  1%|▊                                                                                                                              | 633/100000 [00:15<39:50, 41.57it/s]
epoch 600  training loss: 4564.6787109375

  1%|▉                                                                                                                              | 718/100000 [00:17<39:31, 41.87it/s]
epoch 700  training loss: 5055.98974609375

  1%|█                                                                                                                              | 803/100000 [00:19<39:25, 41.94it/s]
epoch 800  training loss: 7643.478515625

  1%|█▏                                                                                                                             | 888/100000 [00:21<39:36, 41.70it/s]
epoch 900  training loss: 5092.556640625


  1%|█▎                                                                                                                            | 1053/100000 [00:25<40:39, 40.56it/s]
epoch 1000  training loss: 4973.9013671875
epoch 1000  clean testing loss: 4561.81640625

  1%|█▍                                                                                                                            | 1138/100000 [00:27<39:19, 41.89it/s]
epoch 1100  training loss: 3983.523681640625

  1%|█▌                                                                                                                            | 1223/100000 [00:29<39:00, 42.20it/s]
epoch 1200  training loss: 5431.244140625

  1%|█▋                                                                                                                            | 1308/100000 [00:31<39:24, 41.74it/s]
epoch 1300  training loss: 2516.50634765625

  1%|█▋                                                                                                                            | 1388/100000 [00:33<39:13, 41.89it/s]
epoch 1400  training loss: 3268.33056640625

  1%|█▊                                                                                                                            | 1473/100000 [00:35<38:29, 42.65it/s]
epoch 1500  training loss: 3204.560546875


  2%|██                                                                                                                            | 1643/100000 [00:39<39:59, 41.00it/s]
epoch 1600  training loss: 2386.49951171875

  2%|██▏                                                                                                                           | 1728/100000 [00:41<38:40, 42.35it/s]
epoch 1700  training loss: 2001.4110107421875

  2%|██▎                                                                                                                           | 1813/100000 [00:43<39:36, 41.31it/s]
epoch 1800  training loss: 2211.96142578125

  2%|██▍                                                                                                                           | 1898/100000 [00:45<38:21, 42.62it/s]
epoch 1900  training loss: 2281.897705078125

  2%|██▍                                                                                                                           | 1983/100000 [00:47<38:48, 42.09it/s]
epoch 2000  training loss: 2245.155517578125
epoch 2000  clean testing loss: 4338.76220703125


  2%|██▋                                                                                                                           | 2148/100000 [00:51<38:49, 42.00it/s]
epoch 2100  training loss: 3400.6416015625

  2%|██▊                                                                                                                           | 2233/100000 [00:53<38:27, 42.37it/s]
epoch 2200  training loss: 3043.93408203125

  2%|██▉                                                                                                                           | 2318/100000 [00:55<39:09, 41.58it/s]
epoch 2300  training loss: 2127.84326171875

  2%|███                                                                                                                           | 2403/100000 [00:57<39:46, 40.89it/s]
epoch 2400  training loss: 1747.96728515625

  2%|███▏                                                                                                                          | 2488/100000 [00:59<38:22, 42.34it/s]
epoch 2500  training loss: 1770.3955078125


  3%|███▎                                                                                                                          | 2653/100000 [01:03<38:45, 41.86it/s]
epoch 2600  training loss: 3067.872314453125

  3%|███▍                                                                                                                          | 2738/100000 [01:05<39:27, 41.07it/s]
epoch 2700  training loss: 1951.5750732421875

  3%|███▌                                                                                                                          | 2823/100000 [01:07<38:55, 41.61it/s]
epoch 2800  training loss: 1672.517333984375

  3%|███▋                                                                                                                          | 2903/100000 [01:09<38:32, 41.98it/s]
epoch 2900  training loss: 1738.9224853515625

  3%|███▊                                                                                                                          | 2988/100000 [01:11<37:53, 42.68it/s]
epoch 3000  training loss: 2743.5341796875
epoch 3000  clean testing loss: 3710.68212890625


  3%|███▉                                                                                                                          | 3158/100000 [01:15<38:44, 41.66it/s]
epoch 3100  training loss: 1398.5245361328125

  3%|████                                                                                                                          | 3243/100000 [01:17<38:40, 41.70it/s]
epoch 3200  training loss: 1331.9595947265625

  3%|████▏                                                                                                                         | 3323/100000 [01:19<38:56, 41.37it/s]
epoch 3300  training loss: 1317.2642822265625

  3%|████▎                                                                                                                         | 3408/100000 [01:21<37:59, 42.37it/s]
epoch 3400  training loss: 1208.9788818359375

  3%|████▍                                                                                                                         | 3493/100000 [01:23<38:06, 42.22it/s]
epoch 3500  training loss: 1560.5198974609375


  4%|████▌                                                                                                                         | 3658/100000 [01:27<38:51, 41.32it/s]
epoch 3600  training loss: 1398.8046875

  4%|████▋                                                                                                                         | 3743/100000 [01:29<38:04, 42.14it/s]
epoch 3700  training loss: 1568.341796875

  4%|████▊                                                                                                                         | 3828/100000 [01:31<38:03, 42.12it/s]
epoch 3800  training loss: 4096.74755859375

  4%|████▉                                                                                                                         | 3914/100000 [01:33<37:58, 42.16it/s]
epoch 3900  training loss: 4768.5615234375

  4%|█████                                                                                                                         | 3999/100000 [01:35<37:33, 42.61it/s]
epoch 4000  training loss: 997.4021606445312
epoch 4000  clean testing loss: 2395.2080078125


  4%|█████▏                                                                                                                        | 4164/100000 [01:39<37:38, 42.44it/s]
epoch 4100  training loss: 1289.2213134765625

  4%|█████▎                                                                                                                        | 4249/100000 [01:41<38:07, 41.86it/s]
epoch 4200  training loss: 3077.672119140625

  4%|█████▍                                                                                                                        | 4334/100000 [01:43<37:24, 42.61it/s]
epoch 4300  training loss: 782.263916015625

  4%|█████▌                                                                                                                        | 4419/100000 [01:45<38:56, 40.91it/s]
epoch 4400  training loss: 964.3411254882812

  4%|█████▋                                                                                                                        | 4500/100000 [01:47<37:44, 42.18it/s]
epoch 4500  training loss: 1011.6869506835938

  5%|█████▊                                                                                                                        | 4585/100000 [01:49<38:44, 41.05it/s]
epoch 4600  training loss: 2099.048828125


  5%|█████▉                                                                                                                        | 4755/100000 [01:53<38:07, 41.64it/s]
epoch 4700  training loss: 740.3681030273438

  5%|██████                                                                                                                        | 4835/100000 [01:55<37:54, 41.83it/s]
epoch 4800  training loss: 1126.4188232421875

  5%|██████▏                                                                                                                       | 4920/100000 [01:57<37:45, 41.97it/s]
epoch 4900  training loss: 70156.0

  5%|██████▎                                                                                                                       | 5005/100000 [01:59<39:23, 40.18it/s]
epoch 5000  training loss: 1559.414306640625
epoch 5000  clean testing loss: 2786.53076171875

  5%|██████▍                                                                                                                       | 5090/100000 [02:01<37:47, 41.85it/s]
epoch 5100  training loss: 162927.6875


  5%|██████▌                                                                                                                       | 5255/100000 [02:05<37:14, 42.39it/s]
epoch 5200  training loss: 17694.388671875

  5%|██████▋                                                                                                                       | 5340/100000 [02:07<37:45, 41.78it/s]
epoch 5300  training loss: 1933.3050537109375

  5%|██████▊                                                                                                                       | 5425/100000 [02:09<38:13, 41.24it/s]
epoch 5400  training loss: 1465.672607421875

  6%|██████▉                                                                                                                       | 5510/100000 [02:12<38:16, 41.14it/s]
epoch 5500  training loss: 6084.365234375

  6%|███████                                                                                                                       | 5590/100000 [02:13<37:49, 41.59it/s]
epoch 5600  training loss: 2839.07763671875


  6%|███████▎                                                                                                                      | 5760/100000 [02:18<37:24, 42.00it/s]
epoch 5700  training loss: 1485.0333251953125

  6%|███████▎                                                                                                                      | 5845/100000 [02:20<37:10, 42.22it/s]
epoch 5800  training loss: 1654.719970703125

  6%|███████▍                                                                                                                      | 5930/100000 [02:22<37:59, 41.26it/s]
epoch 5900  training loss: 4567.6533203125

  6%|███████▌                                                                                                                      | 6010/100000 [02:23<37:29, 41.77it/s]
epoch 6000  training loss: 36985.2421875
epoch 6000  clean testing loss: 14515.056640625

  6%|███████▋                                                                                                                      | 6095/100000 [02:25<37:17, 41.98it/s]
epoch 6100  training loss: 1030.5562744140625


  6%|███████▉                                                                                                                      | 6265/100000 [02:29<37:08, 42.07it/s]
epoch 6200  training loss: 1050.1153564453125

  6%|████████                                                                                                                      | 6350/100000 [02:32<36:43, 42.51it/s]
epoch 6300  training loss: 957.2825927734375

  6%|████████                                                                                                                      | 6435/100000 [02:34<37:04, 42.06it/s]
epoch 6400  training loss: 861.7996826171875

  7%|████████▏                                                                                                                     | 6520/100000 [02:36<37:01, 42.08it/s]
epoch 6500  training loss: 21306.513671875

  7%|████████▎                                                                                                                     | 6605/100000 [02:38<37:55, 41.04it/s]
epoch 6600  training loss: 2102.902587890625


  7%|████████▌                                                                                                                     | 6775/100000 [02:42<36:49, 42.20it/s]
epoch 6700  training loss: 1952.9033203125

  7%|████████▋                                                                                                                     | 6855/100000 [02:44<37:01, 41.93it/s]
epoch 6800  training loss: 1194.1309814453125

  7%|████████▋                                                                                                                     | 6940/100000 [02:46<37:10, 41.73it/s]
epoch 6900  training loss: 1096.3165283203125

  7%|████████▊                                                                                                                     | 7025/100000 [02:48<37:18, 41.53it/s]
epoch 7000  training loss: 53205.01953125
epoch 7000  clean testing loss: 47174.4453125

  7%|████████▉                                                                                                                     | 7110/100000 [02:50<36:19, 42.62it/s]
epoch 7100  training loss: 1675.3255615234375

  7%|█████████                                                                                                                     | 7195/100000 [02:52<36:22, 42.52it/s]
epoch 7200  training loss: 2064.611328125


  7%|█████████▎                                                                                                                    | 7365/100000 [02:56<36:11, 42.67it/s]
epoch 7300  training loss: 1112.059326171875

  7%|█████████▍                                                                                                                    | 7450/100000 [02:58<36:22, 42.40it/s]
epoch 7400  training loss: 1183.8408203125

  8%|█████████▍                                                                                                                    | 7530/100000 [03:00<37:24, 41.21it/s]
epoch 7500  training loss: 1678.5753173828125

  8%|█████████▌                                                                                                                    | 7615/100000 [03:02<36:19, 42.39it/s]
epoch 7600  training loss: 1000.4266357421875

  8%|█████████▋                                                                                                                    | 7700/100000 [03:04<36:37, 42.00it/s]
epoch 7700  training loss: 2833.9013671875


  8%|█████████▉                                                                                                                    | 7850/100000 [03:07<36:48, 41.72it/s]
epoch 7800  training loss: 1466.040771484375

  8%|█████████▉                                                                                                                    | 7930/100000 [03:09<37:37, 40.78it/s]
epoch 7900  training loss: 1333.232177734375

  8%|██████████                                                                                                                    | 8015/100000 [03:11<36:55, 41.52it/s]
epoch 8000  training loss: 1459.731689453125
epoch 8000  clean testing loss: 1317.3150634765625

  8%|██████████▏                                                                                                                   | 8100/100000 [03:13<37:09, 41.22it/s]
epoch 8100  training loss: 1331.29150390625

  8%|██████████▎                                                                                                                   | 8180/100000 [03:15<37:02, 41.31it/s]
epoch 8200  training loss: 1272.3880615234375


  8%|██████████▌                                                                                                                   | 8350/100000 [03:19<36:57, 41.32it/s]
epoch 8300  training loss: 1015.691162109375

  8%|██████████▋                                                                                                                   | 8435/100000 [03:21<36:32, 41.76it/s]
epoch 8400  training loss: 1359.7821044921875

  9%|██████████▋                                                                                                                   | 8515/100000 [03:23<37:38, 40.50it/s]
epoch 8500  training loss: 1257.3321533203125

  9%|██████████▊                                                                                                                   | 8600/100000 [03:25<35:56, 42.39it/s]
epoch 8600  training loss: 6658.6259765625

  9%|██████████▉                                                                                                                   | 8685/100000 [03:27<35:45, 42.56it/s]
epoch 8700  training loss: 2859.17138671875


  9%|███████████▏                                                                                                                  | 8850/100000 [03:31<36:09, 42.01it/s]
epoch 8800  training loss: 1783.578369140625

  9%|███████████▎                                                                                                                  | 8935/100000 [03:33<35:58, 42.18it/s]
epoch 8900  training loss: 1358.15576171875

