
  1%|          | 701/100000 [00:01<03:07, 529.79it/s]
epoch 0  training loss: 0.5421505570411682
epoch 0  clean testing loss: 2.2803633213043213
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-02_invop0_lr0.005 ...
epoch 100  training loss: 0.09579157084226608
epoch 100  clean testing loss: 0.055490367114543915
epoch 200  training loss: 0.09514929354190826
epoch 200  clean testing loss: 0.04204292595386505
epoch 300  training loss: 0.07551409304141998
epoch 300  clean testing loss: 0.03588135913014412
epoch 400  training loss: 0.08622065931558609
epoch 400  clean testing loss: 0.044230032712221146
epoch 500  training loss: 0.10797205567359924
epoch 500  clean testing loss: 0.051746439188718796
epoch 600  training loss: 0.07067442685365677
epoch 600  clean testing loss: 0.03347404673695564
epoch 700  training loss: 0.1016974076628685

  2%|▏         | 1802/100000 [00:03<03:04, 533.43it/s]
epoch 800  training loss: 0.08479399979114532
epoch 800  clean testing loss: 0.04333927482366562
epoch 900  training loss: 0.07240638881921768
epoch 900  clean testing loss: 0.0323680080473423
epoch 1000  training loss: 0.08514287322759628
epoch 1000  clean testing loss: 0.03846866637468338
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-02_invop0_lr0.005 ...
epoch 1100  training loss: 0.08330521732568741
epoch 1100  clean testing loss: 0.04123556241393089
epoch 1200  training loss: 0.07181784510612488
epoch 1200  clean testing loss: 0.034177765250205994
epoch 1300  training loss: 0.06963282823562622
epoch 1300  clean testing loss: 0.03302210196852684
epoch 1400  training loss: 0.06456007063388824
epoch 1400  clean testing loss: 0.028281213715672493
epoch 1500  training loss: 0.06335314363241196
epoch 1500  clean testing loss: 0.02847147174179554
epoch 1600  training loss: 0.07114546746015549
epoch 1600  clean testing loss: 0.04123988375067711
epoch 1700  training loss: 0.07461506873369217
epoch 1700  clean testing loss: 0.033965423703193665
epoch 1800  training loss: 0.07134658098220825

  3%|▎         | 2848/100000 [00:05<03:00, 536.90it/s]
epoch 1900  training loss: 0.07125630229711533
epoch 1900  clean testing loss: 0.03496836870908737
epoch 2000  training loss: 0.06876727193593979
epoch 2000  clean testing loss: 0.0324738509953022
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-02_invop0_lr0.005 ...
epoch 2100  training loss: 0.06386934220790863
epoch 2100  clean testing loss: 0.02852654829621315
epoch 2200  training loss: 0.0631941705942154
epoch 2200  clean testing loss: 0.028548048809170723
epoch 2300  training loss: 0.06272951513528824
epoch 2300  clean testing loss: 0.028026971966028214
epoch 2400  training loss: 0.06286969780921936
epoch 2400  clean testing loss: 0.030592069029808044
epoch 2500  training loss: 0.12077897042036057
epoch 2500  clean testing loss: 0.04479018971323967
epoch 2600  training loss: 0.06369548290967941
epoch 2600  clean testing loss: 0.02912767417728901
epoch 2700  training loss: 0.06208597868680954
epoch 2700  clean testing loss: 0.02746432274580002
epoch 2800  training loss: 0.061677150428295135
epoch 2800  clean testing loss: 0.027345143258571625
epoch 2900  training loss: 0.061689943075180054

  4%|▍         | 3952/100000 [00:07<02:58, 539.00it/s]
epoch 3000  training loss: 0.06163916364312172
epoch 3000  clean testing loss: 0.028462521731853485
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-02_invop0_lr0.005 ...
epoch 3100  training loss: 0.061200451105833054
epoch 3100  clean testing loss: 0.02775348722934723
epoch 3200  training loss: 0.06120152398943901
epoch 3200  clean testing loss: 0.0281661469489336
epoch 3300  training loss: 0.061317410320043564
