2024-10-12 05:23:36,925 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-10-12 05:23:36,926 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Configure stats pid to 2264350
2024-10-12 05:23:36,926 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Loading settings from /home/howon/.config/wandb/settings
2024-10-12 05:23:36,926 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Loading settings from /home/howon/iclr25-exp/wandb/settings
2024-10-12 05:23:36,926 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-10-12 05:23:36,926 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-10-12 05:23:36,926 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'nn_exp.py', 'program_abspath': '/home/howon/iclr25-exp/nn_exp.py', 'program': '/home/howon/iclr25-exp/nn_exp.py'}
2024-10-12 05:23:36,927 INFO    MainThread:2264350 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-10-12 05:23:36,927 INFO    MainThread:2264350 [wandb_init.py:_log_setup():520] Logging user logs to /home/howon/iclr25-exp/wandb/run-20241012_052336-x5nv8wyn/logs/debug.log
2024-10-12 05:23:36,928 INFO    MainThread:2264350 [wandb_init.py:_log_setup():521] Logging internal logs to /home/howon/iclr25-exp/wandb/run-20241012_052336-x5nv8wyn/logs/debug-internal.log
2024-10-12 05:23:36,928 INFO    MainThread:2264350 [wandb_init.py:init():560] calling init triggers
2024-10-12 05:23:36,928 INFO    MainThread:2264350 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-10-12 05:23:36,928 INFO    MainThread:2264350 [wandb_init.py:init():610] starting backend
2024-10-12 05:23:36,929 INFO    MainThread:2264350 [wandb_init.py:init():614] setting up manager
2024-10-12 05:23:36,934 INFO    MainThread:2264350 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-12 05:23:36,936 INFO    MainThread:2264350 [wandb_init.py:init():622] backend started and connected
2024-10-12 05:23:36,947 INFO    MainThread:2264350 [wandb_init.py:init():711] updated telemetry
2024-10-12 05:23:36,947 INFO    MainThread:2264350 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-10-12 05:23:37,142 INFO    MainThread:2264350 [wandb_run.py:_on_init():2396] communicating current version
2024-10-12 05:23:37,231 INFO    MainThread:2264350 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.18.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-10-12 05:23:37,231 INFO    MainThread:2264350 [wandb_init.py:init():795] starting run threads in backend
2024-10-12 05:23:41,505 INFO    MainThread:2264350 [wandb_run.py:_console_start():2374] atexit reg
2024-10-12 05:23:41,505 INFO    MainThread:2264350 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-10-12 05:23:41,505 INFO    MainThread:2264350 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-10-12 05:23:41,505 INFO    MainThread:2264350 [wandb_run.py:_redirect():2319] Redirects installed.
2024-10-12 05:23:41,506 INFO    MainThread:2264350 [wandb_init.py:init():838] run started, returning control to user process
2024-10-12 05:43:14,837 INFO    MainThread:2264350 [wandb_run.py:_finish():2103] finishing run matheart/mlp/x5nv8wyn
2024-10-12 05:43:14,837 INFO    MainThread:2264350 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-10-12 05:43:14,837 INFO    MainThread:2264350 [wandb_run.py:_restore():2326] restore
2024-10-12 05:43:14,837 INFO    MainThread:2264350 [wandb_run.py:_restore():2332] restore done
2024-10-12 05:43:18,828 INFO    MainThread:2264350 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-10-12 05:43:18,828 INFO    MainThread:2264350 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-10-12 05:43:18,837 INFO    MainThread:2264350 [wandb_run.py:_footer_sync_info():3953] logging synced files
