
  1%|          | 979/100000 [00:01<03:02, 542.71it/s]
epoch 0  training loss: 0.5692679286003113
epoch 0  clean testing loss: 1.9160234928131104
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.15453487634658813
epoch 100  clean testing loss: 0.0637531504034996
epoch 200  training loss: 0.12825387716293335
epoch 200  clean testing loss: 0.036154814064502716
epoch 300  training loss: 0.12500795722007751
epoch 300  clean testing loss: 0.03372902423143387
epoch 400  training loss: 0.1423775851726532
epoch 400  clean testing loss: 0.03386630862951279
epoch 500  training loss: 0.11807727813720703
epoch 500  clean testing loss: 0.029043713584542274
epoch 600  training loss: 0.13648372888565063
epoch 600  clean testing loss: 0.039613038301467896
epoch 700  training loss: 0.11707587540149689
epoch 700  clean testing loss: 0.02836892008781433
epoch 800  training loss: 0.13292819261550903

epoch 800  clean testing loss: 0.03780391439795494
epoch 900  training loss: 0.11257947236299515
epoch 900  clean testing loss: 0.02726634219288826
epoch 1000  training loss: 0.11035723239183426
epoch 1000  clean testing loss: 0.026615334674715996
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.11575227975845337
epoch 1100  clean testing loss: 0.03154931589961052
epoch 1200  training loss: 0.10970845073461533
epoch 1200  clean testing loss: 0.027310825884342194
epoch 1300  training loss: 0.12574990093708038
epoch 1300  clean testing loss: 0.03915496915578842
epoch 1400  training loss: 0.10858801007270813
epoch 1400  clean testing loss: 0.026799315586686134
epoch 1500  training loss: 0.10792173445224762
epoch 1500  clean testing loss: 0.02637423388659954
epoch 1600  training loss: 0.10693181306123734
epoch 1600  clean testing loss: 0.02920011803507805
epoch 1700  training loss: 0.12023653090000153
epoch 1700  clean testing loss: 0.029965030029416084
epoch 1800  training loss: 0.1075710877776146

  3%|▎         | 3122/100000 [00:05<03:00, 536.82it/s]
epoch 1900  training loss: 0.10604003071784973
epoch 1900  clean testing loss: 0.02813657373189926
epoch 2000  training loss: 0.12584137916564941
epoch 2000  clean testing loss: 0.038456451147794724
