
  1%|          | 707/100000 [00:01<03:07, 528.97it/s]
epoch 0  training loss: 0.98183274269104
epoch 0  clean testing loss: 1.5585782527923584
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.5335631370544434
epoch 100  clean testing loss: 0.06668376922607422
epoch 200  training loss: 0.5010169148445129
epoch 200  clean testing loss: 0.08293576538562775
epoch 300  training loss: 0.4818747639656067
epoch 300  clean testing loss: 0.06374143064022064
epoch 400  training loss: 0.5460553169250488
epoch 400  clean testing loss: 0.09523767977952957
epoch 500  training loss: 0.48564234375953674
epoch 500  clean testing loss: 0.10155560076236725
epoch 600  training loss: 0.4471530318260193
epoch 600  clean testing loss: 0.08447416871786118
epoch 700  training loss: 0.44219356775283813

  2%|▏         | 1754/100000 [00:03<03:02, 539.78it/s]
epoch 800  training loss: 0.4406954050064087
epoch 800  clean testing loss: 0.09074385464191437
epoch 900  training loss: 0.433558851480484
epoch 900  clean testing loss: 0.09589992463588715
epoch 1000  training loss: 0.43597927689552307
epoch 1000  clean testing loss: 0.09441116452217102
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.43999531865119934
epoch 1100  clean testing loss: 0.10111495107412338
epoch 1200  training loss: 0.4551298916339874
epoch 1200  clean testing loss: 0.11244193464517593
epoch 1300  training loss: 0.41951337456703186
epoch 1300  clean testing loss: 0.13146623969078064
epoch 1400  training loss: 0.3956725001335144
epoch 1400  clean testing loss: 0.12844261527061462
epoch 1500  training loss: 0.39922890067100525
epoch 1500  clean testing loss: 0.1321718990802765
epoch 1600  training loss: 0.40007728338241577
epoch 1600  clean testing loss: 0.17463985085487366
epoch 1700  training loss: 0.3771340548992157
epoch 1700  clean testing loss: 0.13712717592716217
epoch 1800  training loss: 0.4148041009902954

  3%|▎         | 2857/100000 [00:05<02:58, 545.56it/s]
epoch 1900  training loss: 0.4255433678627014
epoch 1900  clean testing loss: 0.15115119516849518
epoch 2000  training loss: 0.4160332977771759
epoch 2000  clean testing loss: 0.15453219413757324
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.36445581912994385
epoch 2100  clean testing loss: 0.1342429518699646
epoch 2200  training loss: 0.3722945749759674
epoch 2200  clean testing loss: 0.14694751799106598
epoch 2300  training loss: 0.35472214221954346
epoch 2300  clean testing loss: 0.1575557291507721
epoch 2400  training loss: 0.36154285073280334
epoch 2400  clean testing loss: 0.17740406095981598
epoch 2500  training loss: 0.371400386095047
epoch 2500  clean testing loss: 0.19724391400814056
epoch 2600  training loss: 0.3356087803840637
epoch 2600  clean testing loss: 0.171519935131073
epoch 2700  training loss: 0.35972732305526733
epoch 2700  clean testing loss: 0.17502768337726593
epoch 2800  training loss: 0.3555428683757782
epoch 2800  clean testing loss: 0.1773671954870224
epoch 2900  training loss: 0.3237740397453308

  4%|▍         | 3964/100000 [00:07<02:56, 544.50it/s]
epoch 3000  training loss: 0.35627952218055725
epoch 3000  clean testing loss: 0.16251224279403687
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-01_invop0_lr0.005 ...
epoch 3100  training loss: 0.31216302514076233
epoch 3100  clean testing loss: 0.18291617929935455
epoch 3200  training loss: 0.3063700795173645
epoch 3200  clean testing loss: 0.1903885155916214
epoch 3300  training loss: 0.30147287249565125
epoch 3300  clean testing loss: 0.18907280266284943
epoch 3400  training loss: 0.32688838243484497
epoch 3400  clean testing loss: 0.2155887931585312
epoch 3500  training loss: 0.3082536458969116
epoch 3500  clean testing loss: 0.1980866938829422
epoch 3600  training loss: 0.29525062441825867
epoch 3600  clean testing loss: 0.21911536157131195
epoch 3700  training loss: 0.28965309262275696
epoch 3700  clean testing loss: 0.19665001332759857
epoch 3800  training loss: 0.2828511595726013
epoch 3800  clean testing loss: 0.20684002339839935
epoch 3900  training loss: 0.30760034918785095
epoch 3900  clean testing loss: 0.23021432757377625
epoch 4000  training loss: 0.32169869542121887
epoch 4000  clean testing loss: 0.3840526044368744

  5%|▌         | 5013/100000 [00:09<02:57, 534.38it/s]
epoch 4100  training loss: 0.2762121856212616
epoch 4100  clean testing loss: 0.2315167635679245
epoch 4200  training loss: 0.29186227917671204
epoch 4200  clean testing loss: 0.22227880358695984
epoch 4300  training loss: 0.27038514614105225
epoch 4300  clean testing loss: 0.21594633162021637
epoch 4400  training loss: 0.3085365295410156
epoch 4400  clean testing loss: 0.26573026180267334
epoch 4500  training loss: 0.26222699880599976
epoch 4500  clean testing loss: 0.22964709997177124
epoch 4600  training loss: 0.2693732976913452
epoch 4600  clean testing loss: 0.24939174950122833
epoch 4700  training loss: 0.3067077696323395
epoch 4700  clean testing loss: 0.2791577875614166
epoch 4800  training loss: 0.2647416591644287
epoch 4800  clean testing loss: 0.2595044672489166
epoch 4900  training loss: 0.25683215260505676
epoch 4900  clean testing loss: 0.2537398934364319
epoch 5000  training loss: 0.251057893037796
epoch 5000  clean testing loss: 0.24436894059181213
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-01_invop0_lr0.005 ...
epoch 5100  training loss: 0.25621718168258667

  6%|▌         | 6114/100000 [00:11<02:54, 537.24it/s]
epoch 5200  training loss: 0.2806083559989929
epoch 5200  clean testing loss: 0.2906753122806549
epoch 5300  training loss: 0.32904818654060364
epoch 5300  clean testing loss: 0.31679990887641907
epoch 5400  training loss: 0.26695916056632996
epoch 5400  clean testing loss: 0.25555336475372314
epoch 5500  training loss: 0.24450358748435974
epoch 5500  clean testing loss: 0.24838803708553314
epoch 5600  training loss: 0.24323071539402008
epoch 5600  clean testing loss: 0.24532528221607208
epoch 5700  training loss: 0.2543025314807892
epoch 5700  clean testing loss: 0.2587897479534149
epoch 5800  training loss: 0.2520284056663513
epoch 5800  clean testing loss: 0.24735917150974274
epoch 5900  training loss: 0.2680576741695404
epoch 5900  clean testing loss: 0.28122276067733765
epoch 6000  training loss: 0.23833194375038147
epoch 6000  clean testing loss: 0.2552546262741089
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise5.00e-01_invop0_lr0.005 ...
epoch 6100  training loss: 0.231851726770401
epoch 6100  clean testing loss: 0.2577456831932068
epoch 6200  training loss: 0.2296893149614334

