
  1%|          | 709/100000 [00:01<03:04, 538.97it/s]
epoch 0  training loss: 1.7052315473556519
epoch 0  clean testing loss: 2.9107232093811035
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e+00_invop0_lr0.005 ...
epoch 100  training loss: 1.116275668144226
epoch 100  clean testing loss: 0.09340985119342804
epoch 200  training loss: 1.0573482513427734
epoch 200  clean testing loss: 0.11469124257564545
epoch 300  training loss: 0.9814324378967285
epoch 300  clean testing loss: 0.1650732159614563
epoch 400  training loss: 0.9768325090408325
epoch 400  clean testing loss: 0.21201175451278687
epoch 500  training loss: 0.9440383911132812
epoch 500  clean testing loss: 0.2577841877937317
epoch 600  training loss: 0.9238544702529907
epoch 600  clean testing loss: 0.3283681869506836
epoch 700  training loss: 0.8389801383018494
epoch 700  clean testing loss: 0.2695079445838928
epoch 800  training loss: 0.814125120639801

  2%|▏         | 1815/100000 [00:03<03:00, 544.04it/s]
epoch 900  training loss: 0.8039003014564514
epoch 900  clean testing loss: 0.3073422908782959
epoch 1000  training loss: 0.8056778311729431
epoch 1000  clean testing loss: 0.2968451678752899
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e+00_invop0_lr0.005 ...
epoch 1100  training loss: 0.7692784667015076
epoch 1100  clean testing loss: 0.2931256592273712
epoch 1200  training loss: 0.747231662273407
epoch 1200  clean testing loss: 0.3404863476753235
epoch 1300  training loss: 0.7361340522766113
epoch 1300  clean testing loss: 0.33081525564193726
epoch 1400  training loss: 0.7185437083244324
epoch 1400  clean testing loss: 0.34893798828125
epoch 1500  training loss: 0.9087462425231934
epoch 1500  clean testing loss: 0.46012336015701294
epoch 1600  training loss: 0.7024840712547302
epoch 1600  clean testing loss: 0.3685557246208191
epoch 1700  training loss: 0.7223103642463684
epoch 1700  clean testing loss: 0.41630300879478455
epoch 1800  training loss: 0.6951800584793091

  3%|▎         | 2927/100000 [00:05<02:58, 544.52it/s]
epoch 1900  training loss: 0.7306724786758423
epoch 1900  clean testing loss: 0.3934093713760376
epoch 2000  training loss: 0.6565969586372375
epoch 2000  clean testing loss: 0.38212502002716064
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e+00_invop0_lr0.005 ...
epoch 2100  training loss: 0.6987213492393494
epoch 2100  clean testing loss: 0.378082811832428
epoch 2200  training loss: 0.6424628496170044
epoch 2200  clean testing loss: 0.3969022333621979
epoch 2300  training loss: 0.6328288316726685
epoch 2300  clean testing loss: 0.398944228887558
epoch 2400  training loss: 0.6214414238929749
epoch 2400  clean testing loss: 0.4286108613014221
epoch 2500  training loss: 0.6743360757827759
epoch 2500  clean testing loss: 0.3775452971458435
epoch 2600  training loss: 0.6249067783355713
epoch 2600  clean testing loss: 0.4406331181526184
epoch 2700  training loss: 0.6374549865722656
epoch 2700  clean testing loss: 0.4162331223487854
epoch 2800  training loss: 0.606134295463562
epoch 2800  clean testing loss: 0.42952871322631836
epoch 2900  training loss: 0.6108757853507996

  4%|▍         | 3981/100000 [00:07<02:54, 549.51it/s]
epoch 3000  training loss: 0.5895932912826538
