
  1%|          | 1009/100000 [00:01<03:03, 540.26it/s]
epoch 0  training loss: 0.5715824961662292
epoch 0  clean testing loss: 1.3635395765304565
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size50_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.17270129919052124
epoch 100  clean testing loss: 0.09807629138231277
epoch 200  training loss: 0.12364795058965683
epoch 200  clean testing loss: 0.11538653820753098
epoch 300  training loss: 0.10278251767158508
epoch 300  clean testing loss: 0.15105684101581573
epoch 400  training loss: 0.08844099193811417
epoch 400  clean testing loss: 0.21532543003559113
epoch 500  training loss: 0.06614129990339279
epoch 500  clean testing loss: 0.3383547067642212
epoch 600  training loss: 0.05827959254384041
epoch 600  clean testing loss: 0.5641936659812927
epoch 700  training loss: 0.05335421487689018
epoch 700  clean testing loss: 0.705125093460083
epoch 800  training loss: 0.04402530565857887

  2%|▏         | 2146/100000 [00:04<02:57, 551.68it/s]
epoch 900  training loss: 0.04068009927868843
epoch 900  clean testing loss: 1.0524163246154785
epoch 1000  training loss: 0.042058832943439484
epoch 1000  clean testing loss: 1.7907471656799316
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size50_noise1.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.03424457088112831
epoch 1100  clean testing loss: 2.66487979888916
epoch 1200  training loss: 0.032659225165843964
epoch 1200  clean testing loss: 3.3816723823547363
epoch 1300  training loss: 0.025353508070111275
epoch 1300  clean testing loss: 3.7317636013031006
epoch 1400  training loss: 0.02357279695570469
epoch 1400  clean testing loss: 3.436901092529297
epoch 1500  training loss: 0.02350008860230446
epoch 1500  clean testing loss: 3.353853702545166
epoch 1600  training loss: 0.021935930475592613
epoch 1600  clean testing loss: 3.760904550552368
epoch 1700  training loss: 0.01958976313471794
epoch 1700  clean testing loss: 3.545351505279541
epoch 1800  training loss: 0.0187221672385931
epoch 1800  clean testing loss: 3.96044659614563
epoch 1900  training loss: 0.02029573917388916

  3%|▎         | 3215/100000 [00:06<02:57, 545.62it/s]
epoch 2000  training loss: 0.01797463931143284
epoch 2000  clean testing loss: 3.3140947818756104
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size50_noise1.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.019159110262989998
epoch 2100  clean testing loss: 3.0777275562286377
epoch 2200  training loss: 0.019214097410440445
epoch 2200  clean testing loss: 3.6600019931793213
epoch 2300  training loss: 0.02051643282175064
epoch 2300  clean testing loss: 2.9422295093536377
epoch 2400  training loss: 0.018747538328170776
epoch 2400  clean testing loss: 3.1211535930633545
epoch 2500  training loss: 0.01976119913160801
epoch 2500  clean testing loss: 2.6764984130859375
epoch 2600  training loss: 0.018878011032938957
epoch 2600  clean testing loss: 2.873295307159424
epoch 2700  training loss: 0.017171956598758698
epoch 2700  clean testing loss: 3.1666510105133057
epoch 2800  training loss: 0.01650361344218254
epoch 2800  clean testing loss: 3.093738317489624
epoch 2900  training loss: 0.015858538448810577
epoch 2900  clean testing loss: 3.194309949874878
epoch 3000  training loss: 0.017208833247423172
epoch 3000  clean testing loss: 2.912437677383423

  4%|▍         | 4295/100000 [00:07<02:51, 556.55it/s]
epoch 3100  training loss: 0.01594594120979309
