
  1%|          | 1008/100000 [00:01<03:02, 543.61it/s]
epoch 0  training loss: 0.6431364417076111
epoch 0  clean testing loss: 0.9197818636894226
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.14528487622737885
epoch 100  clean testing loss: 0.06277614831924438
epoch 200  training loss: 0.12549401819705963
epoch 200  clean testing loss: 0.06506744027137756
epoch 300  training loss: 0.13199836015701294
epoch 300  clean testing loss: 0.11109396070241928
epoch 400  training loss: 0.0784115120768547
epoch 400  clean testing loss: 0.08573968708515167
epoch 500  training loss: 0.0800008773803711
epoch 500  clean testing loss: 0.0683818832039833
epoch 600  training loss: 0.06064391881227493
epoch 600  clean testing loss: 0.07467322796583176
epoch 700  training loss: 0.055763646960258484
epoch 700  clean testing loss: 0.09025842696428299
epoch 800  training loss: 0.05037922412157059

  2%|▏         | 2144/100000 [00:04<02:56, 553.30it/s]
epoch 900  training loss: 0.04639070853590965
epoch 900  clean testing loss: 0.10203900933265686
epoch 1000  training loss: 0.23934108018875122
epoch 1000  clean testing loss: 0.13653090596199036
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.0747591182589531
epoch 1100  clean testing loss: 0.07148987799882889
epoch 1200  training loss: 0.06413593888282776
epoch 1200  clean testing loss: 0.07987874746322632
epoch 1300  training loss: 0.04864530637860298
epoch 1300  clean testing loss: 0.08470877259969711
epoch 1400  training loss: 0.04099619388580322
epoch 1400  clean testing loss: 0.08450846374034882
epoch 1500  training loss: 0.04115164652466774
epoch 1500  clean testing loss: 0.07728411257266998
epoch 1600  training loss: 0.06514529138803482
epoch 1600  clean testing loss: 0.08077577501535416
epoch 1700  training loss: 0.03828035295009613
epoch 1700  clean testing loss: 0.07937590777873993
epoch 1800  training loss: 0.03763287514448166
epoch 1800  clean testing loss: 0.09243649244308472
epoch 1900  training loss: 0.04742185026407242

  3%|▎         | 3280/100000 [00:06<02:52, 561.83it/s]
epoch 2000  training loss: 0.037459757179021835
epoch 2000  clean testing loss: 0.08708284795284271
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.04200484976172447
epoch 2100  clean testing loss: 0.07195944339036942
epoch 2200  training loss: 0.04847186058759689
epoch 2200  clean testing loss: 0.09733432531356812
epoch 2300  training loss: 0.03524351492524147
epoch 2300  clean testing loss: 0.0910530835390091
epoch 2400  training loss: 0.03781544417142868
epoch 2400  clean testing loss: 0.08965764194726944
epoch 2500  training loss: 0.04109838232398033
epoch 2500  clean testing loss: 0.0914771631360054
epoch 2600  training loss: 0.04052402079105377
epoch 2600  clean testing loss: 0.09013422578573227
epoch 2700  training loss: 0.03315035626292229
epoch 2700  clean testing loss: 0.08687736093997955
epoch 2800  training loss: 0.03615390136837959
epoch 2800  clean testing loss: 0.08698728680610657
epoch 2900  training loss: 0.03566555306315422
epoch 2900  clean testing loss: 0.12065961211919785
epoch 3000  training loss: 0.035920873284339905
epoch 3000  clean testing loss: 0.07590223103761673

  4%|▍         | 4078/100000 [00:07<02:52, 556.25it/s]
epoch 3100  training loss: 0.03227510303258896
epoch 3100  clean testing loss: 0.09570939838886261
epoch 3200  training loss: 0.031782228499650955
epoch 3200  clean testing loss: 0.09716719388961792
epoch 3300  training loss: 0.03238147497177124
epoch 3300  clean testing loss: 0.10179275274276733
epoch 3400  training loss: 0.031045598909258842
epoch 3400  clean testing loss: 0.10090624541044235
epoch 3500  training loss: 0.034465089440345764
epoch 3500  clean testing loss: 0.10017003864049911
epoch 3600  training loss: 0.046614889055490494
epoch 3600  clean testing loss: 0.0916299819946289
epoch 3700  training loss: 0.03599105775356293
epoch 3700  clean testing loss: 0.0927957147359848
epoch 3800  training loss: 0.030684126541018486
epoch 3800  clean testing loss: 0.10727117210626602
epoch 3900  training loss: 0.0312252976000309
epoch 3900  clean testing loss: 0.10246498137712479
epoch 4000  training loss: 0.03231761232018471
epoch 4000  clean testing loss: 0.11158885806798935
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 4100  training loss: 0.03155601769685745

  5%|▌         | 5215/100000 [00:09<02:50, 556.74it/s]
epoch 4200  training loss: 0.03135499730706215
epoch 4200  clean testing loss: 0.10302206873893738
epoch 4300  training loss: 0.03171854838728905
epoch 4300  clean testing loss: 0.10580357164144516
epoch 4400  training loss: 0.03226041421294212
epoch 4400  clean testing loss: 0.09793299436569214
epoch 4500  training loss: 0.03180709481239319
epoch 4500  clean testing loss: 0.08921913057565689
epoch 4600  training loss: 0.030156435444951057
epoch 4600  clean testing loss: 0.1106821820139885
epoch 4700  training loss: 0.030294310301542282
epoch 4700  clean testing loss: 0.10171288996934891
epoch 4800  training loss: 0.029937664046883583
epoch 4800  clean testing loss: 0.11253231018781662
epoch 4900  training loss: 0.05482378229498863
epoch 4900  clean testing loss: 0.10130180418491364
epoch 5000  training loss: 0.03365109860897064
epoch 5000  clean testing loss: 0.10018898546695709
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 5100  training loss: 0.031246520578861237
epoch 5100  clean testing loss: 0.10524255782365799
epoch 5200  training loss: 0.03136485442519188

  6%|▋         | 6353/100000 [00:11<02:47, 558.64it/s]
epoch 5300  training loss: 0.03469010815024376
epoch 5300  clean testing loss: 0.13549794256687164
epoch 5400  training loss: 0.031936075538396835
epoch 5400  clean testing loss: 0.11581090837717056
epoch 5500  training loss: 0.03397270292043686
epoch 5500  clean testing loss: 0.11151392757892609
epoch 5600  training loss: 0.03576570749282837
epoch 5600  clean testing loss: 0.09274922311306
epoch 5700  training loss: 0.054767265915870667
epoch 5700  clean testing loss: 0.1576920598745346
epoch 5800  training loss: 0.0323818102478981
epoch 5800  clean testing loss: 0.10068725049495697
epoch 5900  training loss: 0.03498498350381851
epoch 5900  clean testing loss: 0.10950904339551926
epoch 6000  training loss: 0.031361863017082214
epoch 6000  clean testing loss: 0.11347626149654388
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 6100  training loss: 0.03010455146431923
epoch 6100  clean testing loss: 0.11187482625246048
epoch 6200  training loss: 0.030859746038913727
epoch 6200  clean testing loss: 0.11094377934932709
epoch 6300  training loss: 0.029295140877366066

  7%|▋         | 7431/100000 [00:13<02:46, 556.43it/s]
epoch 6400  training loss: 0.030948298051953316
epoch 6400  clean testing loss: 0.11733590811491013
epoch 6500  training loss: 0.03152571618556976
epoch 6500  clean testing loss: 0.1058572456240654
epoch 6600  training loss: 0.02926216460764408
epoch 6600  clean testing loss: 0.11463690549135208
epoch 6700  training loss: 0.030254725366830826
epoch 6700  clean testing loss: 0.10958372056484222
epoch 6800  training loss: 0.029936999082565308
epoch 6800  clean testing loss: 0.11100418120622635
epoch 6900  training loss: 0.029293522238731384
epoch 6900  clean testing loss: 0.11510410159826279
epoch 7000  training loss: 0.03005692921578884
epoch 7000  clean testing loss: 0.1239834576845169
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 7100  training loss: 0.030908090993762016
epoch 7100  clean testing loss: 0.11715858429670334
epoch 7200  training loss: 0.03042890504002571
epoch 7200  clean testing loss: 0.12010165303945541
epoch 7300  training loss: 0.029056664556264877
epoch 7300  clean testing loss: 0.11591928452253342
epoch 7400  training loss: 0.04291604086756706
epoch 7400  clean testing loss: 0.10983788967132568
epoch 7500  training loss: 0.029147766530513763

  9%|▊         | 8564/100000 [00:15<02:43, 559.96it/s]
epoch 7600  training loss: 0.03046557866036892
epoch 7600  clean testing loss: 0.11733885854482651
epoch 7700  training loss: 0.0302138552069664
epoch 7700  clean testing loss: 0.11102286726236343
epoch 7800  training loss: 0.029273800551891327
epoch 7800  clean testing loss: 0.1157921701669693
epoch 7900  training loss: 0.030024489387869835
epoch 7900  clean testing loss: 0.11136727780103683
epoch 8000  training loss: 0.028879808261990547
epoch 8000  clean testing loss: 0.1159040778875351
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 8100  training loss: 0.02908230945467949
epoch 8100  clean testing loss: 0.11312919110059738
epoch 8200  training loss: 0.030435489490628242
epoch 8200  clean testing loss: 0.10561753064393997
epoch 8300  training loss: 0.030576828867197037
epoch 8300  clean testing loss: 0.1205231174826622
epoch 8400  training loss: 0.03221166878938675
epoch 8400  clean testing loss: 0.10341826826334
epoch 8500  training loss: 0.029642337933182716
epoch 8500  clean testing loss: 0.11523332446813583
epoch 8600  training loss: 0.03423802927136421

 10%|▉         | 9640/100000 [00:17<02:41, 558.79it/s]
epoch 8700  training loss: 0.03666367381811142
epoch 8700  clean testing loss: 0.09558876603841782
epoch 8800  training loss: 0.02909264527261257
epoch 8800  clean testing loss: 0.11877977848052979
epoch 8900  training loss: 0.029859572649002075
epoch 8900  clean testing loss: 0.11459138244390488
epoch 9000  training loss: 0.03272044286131859
epoch 9000  clean testing loss: 0.1050872951745987
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size100_noise1.00e-01_invop0_lr0.005 ...
epoch 9100  training loss: 0.028884755447506905
epoch 9100  clean testing loss: 0.11057524383068085
epoch 9200  training loss: 0.028845908120274544
epoch 9200  clean testing loss: 0.11280574649572372
epoch 9300  training loss: 0.02960975095629692
epoch 9300  clean testing loss: 0.10926370322704315
epoch 9400  training loss: 0.02853993885219097
epoch 9400  clean testing loss: 0.11605553328990936
epoch 9500  training loss: 0.02938941866159439
epoch 9500  clean testing loss: 0.1142413318157196
epoch 9600  training loss: 0.028842585161328316
epoch 9600  clean testing loss: 0.11661441624164581
epoch 9700  training loss: 0.0301638413220644

 11%|█         | 10776/100000 [00:19<02:38, 561.64it/s]
epoch 9800  training loss: 0.034693893045186996
epoch 9800  clean testing loss: 0.1019628494977951
epoch 9900  training loss: 0.03068334050476551
epoch 9900  clean testing loss: 0.11476602405309677
epoch 10000  training loss: 0.029468240216374397
