
  1%|          | 1007/100000 [00:01<03:01, 544.38it/s]
epoch 0  training loss: 0.6064775586128235
epoch 0  clean testing loss: 1.5411195755004883
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 100  training loss: 0.15701599419116974
epoch 100  clean testing loss: 0.05523311719298363
epoch 200  training loss: 0.14082549512386322
epoch 200  clean testing loss: 0.04167606681585312
epoch 300  training loss: 0.15783236920833588
epoch 300  clean testing loss: 0.0752006396651268
epoch 400  training loss: 0.12510895729064941
epoch 400  clean testing loss: 0.03298265486955643
epoch 500  training loss: 0.12137210369110107
epoch 500  clean testing loss: 0.029509052634239197
epoch 600  training loss: 0.1582612246274948
epoch 600  clean testing loss: 0.04054165631532669
epoch 700  training loss: 0.1168217808008194
epoch 700  clean testing loss: 0.02696370519697666
epoch 800  training loss: 0.1130586564540863

  2%|▏         | 2147/100000 [00:04<02:56, 555.47it/s]
epoch 900  training loss: 0.1111147329211235
epoch 900  clean testing loss: 0.025109020993113518
epoch 1000  training loss: 0.13642209768295288
epoch 1000  clean testing loss: 0.02918987348675728
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 1100  training loss: 0.11304853111505508
epoch 1100  clean testing loss: 0.024973196908831596
epoch 1200  training loss: 0.10666444897651672
epoch 1200  clean testing loss: 0.024959230795502663
epoch 1300  training loss: 0.10627031326293945
epoch 1300  clean testing loss: 0.02632221020758152
epoch 1400  training loss: 0.11472246050834656
epoch 1400  clean testing loss: 0.03842977434396744
epoch 1500  training loss: 0.10521037876605988
epoch 1500  clean testing loss: 0.024778058752417564
epoch 1600  training loss: 0.10389004647731781
epoch 1600  clean testing loss: 0.02486247755587101
epoch 1700  training loss: 0.10300200432538986
epoch 1700  clean testing loss: 0.029033726081252098
epoch 1800  training loss: 0.1220306009054184
epoch 1800  clean testing loss: 0.035245511680841446
epoch 1900  training loss: 0.11843039840459824

  3%|▎         | 3230/100000 [00:05<02:53, 558.99it/s]
epoch 2000  training loss: 0.11146640032529831
epoch 2000  clean testing loss: 0.028757469728589058
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 2100  training loss: 0.10831885039806366
epoch 2100  clean testing loss: 0.02851492166519165
epoch 2200  training loss: 0.10379654169082642
epoch 2200  clean testing loss: 0.0257125124335289
epoch 2300  training loss: 0.19972743093967438
epoch 2300  clean testing loss: 0.06295805424451828
epoch 2400  training loss: 0.1260487586259842
epoch 2400  clean testing loss: 0.03423348441720009
epoch 2500  training loss: 0.1212540939450264
epoch 2500  clean testing loss: 0.030488859862089157
epoch 2600  training loss: 0.11773557960987091
epoch 2600  clean testing loss: 0.02916637808084488
epoch 2700  training loss: 0.12180972844362259
epoch 2700  clean testing loss: 0.032928574830293655
epoch 2800  training loss: 0.11146164685487747
epoch 2800  clean testing loss: 0.029310079291462898
epoch 2900  training loss: 0.10974793136119843
epoch 2900  clean testing loss: 0.029303472489118576
epoch 3000  training loss: 0.11272018402814865
epoch 3000  clean testing loss: 0.02781037986278534

  4%|▍         | 4085/100000 [00:07<02:52, 556.99it/s]
epoch 3100  training loss: 0.10572026669979095
epoch 3100  clean testing loss: 0.027069076895713806
epoch 3200  training loss: 0.10349413007497787
epoch 3200  clean testing loss: 0.026877228170633316
epoch 3300  training loss: 0.1029534637928009
epoch 3300  clean testing loss: 0.028307117521762848
epoch 3400  training loss: 0.11614218354225159
epoch 3400  clean testing loss: 0.03605826571583748
epoch 3500  training loss: 0.10097066313028336
epoch 3500  clean testing loss: 0.026954831555485725
epoch 3600  training loss: 0.10595925152301788
epoch 3600  clean testing loss: 0.03386404737830162
epoch 3700  training loss: 0.10279387980699539
epoch 3700  clean testing loss: 0.02621728740632534
epoch 3800  training loss: 0.09898534417152405
epoch 3800  clean testing loss: 0.02753741666674614
epoch 3900  training loss: 0.09674351662397385
epoch 3900  clean testing loss: 0.026123806834220886
epoch 4000  training loss: 0.0982130914926529
epoch 4000  clean testing loss: 0.028799710795283318
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 4100  training loss: 0.10247202217578888

  5%|▌         | 5220/100000 [00:09<02:49, 558.22it/s]
epoch 4200  training loss: 0.0951872318983078
epoch 4200  clean testing loss: 0.02571670152246952
epoch 4300  training loss: 0.09493645280599594
epoch 4300  clean testing loss: 0.026463259011507034
epoch 4400  training loss: 0.09401966631412506
epoch 4400  clean testing loss: 0.026163138449192047
epoch 4500  training loss: 0.104856938123703
epoch 4500  clean testing loss: 0.044655222445726395
epoch 4600  training loss: 0.09416571259498596
epoch 4600  clean testing loss: 0.025439275428652763
epoch 4700  training loss: 0.0936606228351593
epoch 4700  clean testing loss: 0.02575044333934784
epoch 4800  training loss: 0.09398963302373886
epoch 4800  clean testing loss: 0.02735794708132744
epoch 4900  training loss: 0.0967920646071434
epoch 4900  clean testing loss: 0.02538454905152321
epoch 5000  training loss: 0.0930999219417572
epoch 5000  clean testing loss: 0.025720616802573204
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 5100  training loss: 0.09231540560722351
epoch 5100  clean testing loss: 0.026142332702875137
epoch 5200  training loss: 0.09202151745557785

  6%|▋         | 6304/100000 [00:11<02:48, 557.01it/s]
epoch 5300  training loss: 0.09166081994771957
epoch 5300  clean testing loss: 0.026045983657240868
epoch 5400  training loss: 0.09217504411935806
epoch 5400  clean testing loss: 0.026763061061501503
epoch 5500  training loss: 0.0975559651851654
epoch 5500  clean testing loss: 0.04208005219697952
epoch 5600  training loss: 0.10945174843072891
epoch 5600  clean testing loss: 0.031129911541938782
epoch 5700  training loss: 0.09086505323648453
epoch 5700  clean testing loss: 0.026401497423648834
epoch 5800  training loss: 0.09014888852834702
epoch 5800  clean testing loss: 0.026797190308570862
epoch 5900  training loss: 0.09009204804897308
epoch 5900  clean testing loss: 0.027155354619026184
epoch 6000  training loss: 0.09069191664457321
epoch 6000  clean testing loss: 0.027027934789657593
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 6100  training loss: 0.0893208459019661
epoch 6100  clean testing loss: 0.027094479650259018
epoch 6200  training loss: 0.08867732435464859
epoch 6200  clean testing loss: 0.027981320396065712
epoch 6300  training loss: 0.08864884078502655
epoch 6300  clean testing loss: 0.027934525161981583
epoch 6400  training loss: 0.08815649896860123

  7%|▋         | 7442/100000 [00:13<02:45, 558.48it/s]
epoch 6500  training loss: 0.0909634605050087
epoch 6500  clean testing loss: 0.03210057318210602
epoch 6600  training loss: 0.08773709833621979
epoch 6600  clean testing loss: 0.028013840317726135
epoch 6700  training loss: 0.08676602691411972
epoch 6700  clean testing loss: 0.02861594595015049
epoch 6800  training loss: 0.08649279922246933
epoch 6800  clean testing loss: 0.02947026491165161
epoch 6900  training loss: 0.09294597059488297
epoch 6900  clean testing loss: 0.030701760202646255
epoch 7000  training loss: 0.08726822584867477
epoch 7000  clean testing loss: 0.02816898189485073
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 7100  training loss: 0.08613564074039459
epoch 7100  clean testing loss: 0.029256466776132584
epoch 7200  training loss: 0.08619841188192368
epoch 7200  clean testing loss: 0.030537568032741547
epoch 7300  training loss: 0.08998861908912659
epoch 7300  clean testing loss: 0.03765710070729256
epoch 7400  training loss: 0.08882463723421097
epoch 7400  clean testing loss: 0.03383248299360275
epoch 7500  training loss: 0.08491088449954987

  9%|▊         | 8580/100000 [00:15<02:42, 563.40it/s]
epoch 7600  training loss: 0.08860141783952713
epoch 7600  clean testing loss: 0.03540712222456932
epoch 7700  training loss: 0.08443638682365417
epoch 7700  clean testing loss: 0.030895674601197243
epoch 7800  training loss: 0.10138359665870667
epoch 7800  clean testing loss: 0.04550306126475334
